"KodeUnit","KT","NoBuku","No_Ver","Tgl_Ver","NoInput","Tanggal","RekKB",
"13","KK","00004","KAS201612-V00004","09-12-2016 00:00:00","KAS201612-00004","09-12-2016 00:00:00","100000000",
"13","KK","00005","KAS201612-V00005","09-12-2016 00:00:00","KAS201612-00005","09-12-2016 00:00:00","100000000",
"13","KK","00006","KAS201612-V00006","09-12-2016 00:00:00","KAS201612-00006","09-12-2016 00:00:00","100000000",
"13","KK","00007","KAS201612-V00007","09-12-2016 00:00:00","KAS201612-00007","09-12-2016 00:00:00","100000000",
"13","KK","00008","KAS201612-V00008","09-12-2016 00:00:00","KAS201612-00008","09-12-2016 00:00:00","100000000",
"13","KK","00009","KAS201612-V00009","09-12-2016 00:00:00","KAS201612-00009","09-12-2016 00:00:00","100000000",
"13","KK","00010","KAS201612-V00010","09-12-2016 00:00:00","KAS201612-00010","09-12-2016 00:00:00","100000000",
"13","KK","00011","KAS201612-V00011","09-12-2016 00:00:00","KAS201612-00011","09-12-2016 00:00:00","100000000",
"13","KK","00012","KAS201612-V00012","09-12-2016 00:00:00","KAS201612-00012","09-12-2016 00:00:00","100000000",
"13","KK","00013","KAS201612-V00013","09-12-2016 00:00:00","KAS201612-00013","09-12-2016 00:00:00","100000000",
"13","KK","00014","KAS201612-V00014","09-12-2016 00:00:00","KAS201612-00014","09-12-2016 00:00:00","100000000",
"13","KK","00015","KAS201612-V00015","09-12-2016 00:00:00","KAS201612-00015","09-12-2016 00:00:00","100000000",
"13","KK","00016","KAS201612-V00016","09-12-2016 00:00:00","KAS201612-00016","09-12-2016 00:00:00","100000000",
"13","KK","00017","KAS201612-V00017","09-12-2016 00:00:00","KAS201612-00017","09-12-2016 00:00:00","100000000",
"13","KK","00018","KAS201612-V00018","09-12-2016 00:00:00","KAS201612-00018","09-12-2016 00:00:00","100000000",
"13","KK","00019","KAS201612-V00019","09-12-2016 00:00:00","KAS201612-00019","09-12-2016 00:00:00","100000000",
"13","KK","00020","KAS201612-V00020","09-12-2016 00:00:00","KAS201612-00020","09-12-2016 00:00:00","100000000",
"13","KK","00021","KAS201612-V00021","09-12-2016 00:00:00","KAS201612-00021","09-12-2016 00:00:00","100000000",
"13","KK","00022","KAS201612-V00022","13-12-2016 00:00:00","KAS201612-00022","13-12-2016 00:00:00","100000000",
"13","KK","00023","KAS201612-V00023","13-12-2016 00:00:00","KAS201612-00023","13-12-2016 00:00:00","100000000",
"13","KK","00024","KAS201612-V00024","14-12-2016 00:00:00","KAS201612-00024","14-12-2016 00:00:00","100000000",
"13","KK","00025","KAS201612-V00025","15-12-2016 00:00:00","KAS201612-00025","15-12-2016 00:00:00","100000000",
"13","KK","00026","KAS201612-V00026","15-12-2016 00:00:00","KAS201612-00026","15-12-2016 00:00:00","100000000",
"13","KK","00027","KAS201612-V00027","15-12-2016 00:00:00","KAS201612-00027","15-12-2016 00:00:00","100000000",
"13","KK","00028","KAS201612-V00028","15-12-2016 00:00:00","KAS201612-00028","15-12-2016 00:00:00","100000000",
"13","KK","00029","KAS201612-V00029","15-12-2016 00:00:00","KAS201612-00029","15-12-2016 00:00:00","100000000",
"13","KK","00030","KAS201612-V00030","16-12-2016 00:00:00","KAS201612-00030","16-12-2016 00:00:00","100000000",
"13","KK","00032","KAS201612-V00032","16-12-2016 00:00:00","KAS201612-00032","16-12-2016 00:00:00","100000000",
"13","KK","00033","KAS201612-V00033","16-12-2016 00:00:00","KAS201612-00033","16-12-2016 00:00:00","100000000",
"13","KK","00031","KAS201612-V00031","17-12-2016 00:00:00","KAS201612-00031","17-12-2016 00:00:00","100000000",
"13","KK","00034","KAS201612-V00034","17-12-2016 00:00:00","KAS201612-00034","17-12-2016 00:00:00","100000000",
"13","KK","00035","KAS201612-V00035","17-12-2016 00:00:00","KAS201612-00035","17-12-2016 00:00:00","100000000",
"13","KK","00036","KAS201612-V00036","19-12-2016 00:00:00","KAS201612-00036","19-12-2016 00:00:00","100000000",
"13","KK","00037","KAS201612-V00037","19-12-2016 00:00:00","KAS201612-00037","19-12-2016 00:00:00","100000000",
"13","KK","00038","KAS201612-V00038","20-12-2016 00:00:00","KAS201612-00038","20-12-2016 00:00:00","100000000",
"13","KK","00041","KAS201612-V00041","28-12-2016 00:00:00","KAS201612-00041","28-12-2016 00:00:00","100000000",
"13","KK","00042","KAS201612-V00042","28-12-2016 00:00:00","KAS201612-00042","28-12-2016 00:00:00","100000000",
"13","KK","00043","KAS201612-V00043","29-12-2016 00:00:00","KAS201612-00043","29-12-2016 00:00:00","100000000",
"13","KK","00044","KAS201612-V00044","29-12-2016 00:00:00","KAS201612-00044","29-12-2016 00:00:00","100000000",
"13","KK","00045","KAS201612-V00045","30-12-2016 00:00:00","KAS201612-00045","30-12-2016 00:00:00","100000000",
"13","KK","00047","KAS201612-V00047","30-12-2016 00:00:00","KAS201612-00047","30-12-2016 00:00:00","100000000",
