"KodeUnit","KT","NoBuku","No_Ver","Tgl_Ver","NoInput","Tanggal","RekKB",
"13","KT","00001","KAS201612-V00001","09-12-2016 00:00:00","KAS201612-00001","09-12-2016 00:00:00","100000000",
"13","KT","00039","KAS201612-V00039","27-12-2016 00:00:00","KAS201612-00039","27-12-2016 00:00:00","100000000",
"13","KT","00040","KAS201612-V00040","27-12-2016 00:00:00","KAS201612-00040","27-12-2016 00:00:00","100000000",
"13","KT","00046","KAS201612-V00046","30-12-2016 00:00:00","KAS201612-00046","30-12-2016 00:00:00","100000000",
"13","KT","00048","KAS201612-V00048","31-12-2016 00:00:00","KAS201612-00048","31-12-2016 00:00:00","100000000",
"13","BT","00001","BNK201612-V00001","05-12-2016 00:00:00","BNK201612-00001","05-12-2016 00:00:00","110000002",
"13","BT","00002","BNK201612-V00002","05-12-2016 00:00:00","BNK201612-00002","05-12-2016 00:00:00","110000002",
"13","BT","00006","BNK201612-V00006","08-12-2016 00:00:00","BNK201612-00006","08-12-2016 00:00:00","110000002",
"13","BT","00015","BNK201612-V00015","23-12-2016 00:00:00","BNK201612-00015","23-12-2016 00:00:00","110000002",
"13","BT","00025","BNK201612-V00025","28-12-2016 00:00:00","BNK201612-00025","28-12-2016 00:00:00","110000002",
"13","BT","00027","BNK201612-V00027","28-12-2016 00:00:00","BNK201612-00027","28-12-2016 00:00:00","110000002",
"13","BT","00028","BNK201612-V00028","28-12-2016 00:00:00","BNK201612-00028","28-12-2016 00:00:00","110000002",
"13","BT","00029","BNK201612-V00029","28-12-2016 00:00:00","BNK201612-00029","28-12-2016 00:00:00","110000002",
"13","BK","00003","BNK201612-V00003","06-12-2016 00:00:00","BNK201612-00003","06-12-2016 00:00:00","110000002",
"13","BK","00004","BNK201612-V00004","06-12-2016 00:00:00","BNK201612-00004","06-12-2016 00:00:00","110000002",
"13","BK","00005","BNK201612-V00005","06-12-2016 00:00:00","BNK201612-00005","06-12-2016 00:00:00","110000002",
"13","BK","00007","BNK201612-V00007","09-12-2016 00:00:00","BNK201612-00007","09-12-2016 00:00:00","110000002",
"13","BK","00008","BNK201612-V00008","09-12-2016 00:00:00","BNK201612-00008","09-12-2016 00:00:00","110000002",
"13","BK","00009","BNK201612-V00009","09-12-2016 00:00:00","BNK201612-00009","09-12-2016 00:00:00","110000002",
"13","BK","00010","BNK201612-V00010","14-12-2016 00:00:00","BNK201612-00010","14-12-2016 00:00:00","110000002",
"13","BK","00011","BNK201612-V00011","14-12-2016 00:00:00","BNK201612-00011","14-12-2016 00:00:00","110000002",
"13","BK","00012","BNK201612-V00012","14-12-2016 00:00:00","BNK201612-00012","14-12-2016 00:00:00","110000002",
"13","BK","00013","BNK201612-V00013","15-12-2016 00:00:00","BNK201612-00013","15-12-2016 00:00:00","110000002",
"13","BK","00014","BNK201612-V00014","15-12-2016 00:00:00","BNK201612-00014","15-12-2016 00:00:00","110000002",
"13","BK","00016","BNK201612-V00016","27-12-2016 00:00:00","BNK201612-00016","27-12-2016 00:00:00","110000002",
"13","BK","00017","BNK201612-V00017","27-12-2016 00:00:00","BNK201612-00017","27-12-2016 00:00:00","110000002",
"13","BK","00018","BNK201612-V00018","27-12-2016 00:00:00","BNK201612-00018","27-12-2016 00:00:00","110000002",
"13","BK","00019","BNK201612-V00019","27-12-2016 00:00:00","BNK201612-00019","27-12-2016 00:00:00","110000002",
"13","BK","00020","BNK201612-V00020","27-12-2016 00:00:00","BNK201612-00020","27-12-2016 00:00:00","110000002",
"13","BK","00021","BNK201612-V00021","27-12-2016 00:00:00","BNK201612-00021","27-12-2016 00:00:00","110000002",
"13","BK","00022","BNK201612-V00022","27-12-2016 00:00:00","BNK201612-00022","27-12-2016 00:00:00","110000002",
"13","BK","00023","BNK201612-V00023","27-12-2016 00:00:00","BNK201612-00023","27-12-2016 00:00:00","110000002",
"13","BK","00024","BNK201612-V00024","27-12-2016 00:00:00","BNK201612-00024","27-12-2016 00:00:00","110000002",
"13","BK","00026","BNK201612-V00026","28-12-2016 00:00:00","BNK201612-00026","28-12-2016 00:00:00","110000002",
"13","BK","00030","BNK201612-V00030","29-12-2016 00:00:00","BNK201612-00030","29-12-2016 00:00:00","110000002",
"13","BK","00031","BNK201612-V00031","29-12-2016 00:00:00","BNK201612-00031","29-12-2016 00:00:00","110000002",
"13","BK","00032","BNK201612-V00032","29-12-2016 00:00:00","BNK201612-00032","29-12-2016 00:00:00","110000002",
"13","BK","00033","BNK201612-V00033","29-12-2016 00:00:00","BNK201612-00033","29-12-2016 00:00:00","110000002",
"13","BK","00034","BNK201612-V00034","30-12-2016 00:00:00","BNK201612-00034","30-12-2016 00:00:00","110000002",
"13","KK","00002","KAS201612-V00002","09-12-2016 00:00:00","KAS201612-00002","09-12-2016 00:00:00","100000000",
"13","KK","00003","KAS201612-V00003","09-12-2016 00:00:00","KAS201612-00003","09-12-2016 00:00:00","100000000",
