"GOLBARU","GOL","KDGOL","MK","GPO","T_TETAP","B_PERSH","B_PRIB","A_PERSH","A_PRIB","PIP_PERS","PIP_PRIB",
"0813","IID","08","13","2694000","897000","60579","51703","31142","13719","60579","51703",
"0814","IID","08","14","2743000","914000","61813","52757","31777","13999","61813","52757",
"0902","IIIA","09","02","3027000","1009000","68317","58308","35120","15472","68317","58308",
"0903","IIIA","09","03","3088000","1028000","69771","59548","35868","15801","69771","59548",
"0904","IIIA","09","04","3148000","1048000","71224","60789","36615","16130","71224","60789",
"0905","IIIA","09","05","3207000","1069000","72678","62030","37362","16459","72678","62030",
"0906","IIIA","09","06","3268000","1088000","74131","63270","38109","16788","74131","63270",
"0907","IIIA","09","07","3328000","1108000","75585","64511","38857","17117","75585","64511",
"0908","IIIA","09","08","3388000","1128000","77039","65751","39604","17447","77039","65751",
"0909","IIIA","09","09","3448000","1148000","78492","66992","40351","17776","78492","66992",
"0910","IIIA","09","10","3508000","1168000","79946","68232","41098","18105","79946","68232",
"0911","IIIA","09","11","3568000","1188000","81399","69473","41846","18434","81399","69473",
"1000","IIIB","10","00","3373000","1124000","75621","64542","38875","17126","75621","64542",
"1001","IIIB","10","01","3433000","1144000","77257","65937","39716","17496","77257","65937",
"1002","IIIB","10","02","3493000","1164000","78892","67333","40557","17866","78892","67333",
"1003","IIIB","10","03","3553000","1184000","80527","68729","41397","18237","80527","68729",
"1004","IIIB","10","04","3614000","1203000","82162","70124","42238","18607","82162","70124",
"1005","IIIB","10","05","3683000","1227000","83798","71520","43079","18977","83798","71520",
"1006","IIIB","10","06","3753000","1250000","85433","72916","43919","19348","85433","72916",
"1007","IIIB","10","07","3823000","1274000","87068","74311","44760","19718","87068","74311",
"1008","IIIB","10","08","3893000","1297000","88703","75707","45600","20088","88703","75707",
"1009","IIIB","10","09","3963000","1320000","90338","77102","46441","20459","90338","77102",
"1010","IIIB","10","10","4032000","1344000","91974","78498","47282","20829","91974","78498",
"1100","IIIC","11","00","3838000","1278000","87105","74342","44779","19726","87105","74342",
"1101","IIIC","11","01","3917000","1306000","88921","75893","45713","20138","88921","75893",
"1102","IIIC","11","02","3997000","1332000","90738","77444","46647","20549","90738","77444",
"1103","IIIC","11","03","4077000","1359000","92555","78995","47581","20961","92555","78995",
"1104","IIIC","11","04","4157000","1385000","94372","80545","48515","21372","94372","80545",
"1105","IIIC","11","05","4237000","1412000","96189","82096","49449","21784","96189","82096",
"1106","IIIC","11","06","4317000","1438000","98006","83647","50383","22195","98006","83647",
"1107","IIIC","11","07","4397000","1465000","99823","85198","51317","22607","99823","85198",
"1200","IIID","12","00","4444000","1480000","99860","85229","51336","22615","99860","85229",
"1201","IIID","12","01","4523000","1507000","101858","86934","52363","23067","101858","86934",
"1202","IIID","12","02","4603000","1534000","103857","88640","53390","23520","103857","88640",
"1203","IIID","12","03","4682000","1561000","105855","90346","54418","23973","105855","90346",
"1204","IIID","12","04","4763000","1588000","107854","92052","55445","24425","107854","92052",
"1205","IIID","12","05","4843000","1613000","109853","93758","56473","24878","109853","93758",
"1206","IIID","12","06","4923000","1640000","111851","95463","57500","25331","111851","95463",
"1207","IIID","12","07","5002000","1667000","113850","97169","58528","25783","113850","97169",
"1208","IIID","12","08","5083000","1693000","115848","98875","59555","26236","115848","98875",
"1209","IIID","12","09","5163000","1720000","117847","100581","60583","26688","117847","100581",
"1210","IIID","12","10","5242000","1747000","119846","102287","61610","27141","119846","102287",
"1211","IIID","12","11","5323000","1773000","121844","103992","62638","27594","121844","103992",
"1300","IVA","13","00","5417000","1804000","122462","104520","62955","27734","122462","104520",
"1301","IVA","13","01","5506000","1835000","124643","106381","64076","28227","124643","106381",
"1302","IVA","13","02","5596000","1865000","126823","108242","65197","28721","126823","108242",
"1303","IVA","13","03","5686000","1895000","129003","110103","66318","29215","129003","110103",
"1304","IVA","13","04","5776000","1925000","131184","111963","67439","29709","131184","111963",
"1305","IVA","13","05","5866000","1955000","133364","113824","68559","30202","133364","113824",
"1306","IVA","13","06","5956000","1984000","135545","115685","69680","30696","135545","115685",
"1307","IVA","13","07","6045000","2015000","137725","117546","70801","31190","137725","117546",
"1308","IVA","13","08","6136000","2044000","139905","119407","71922","31684","139905","119407",
"1309","IVA","13","09","6226000","2074000","142086","121268","73043","32178","142086","121268",
"1310","IVA","13","10","6315000","2105000","144266","123129","74164","32671","144266","123129",
"1400","IVB","14","00","6353000","2118000","144302","123160","74182","32680","144302","123160",
"1401","IVB","14","01","6443000","2148000","146664","125176","75397","33214","146664","125176",
"1402","IVB","14","02","6534000","2177000","149026","127192","76611","33749","149026","127192",
"1403","IVB","14","03","6624000","2207000","151388","129208","77825","34284","151388","129208",
"1404","IVB","14","04","6713000","2238000","153750","131223","79040","34819","153750","131223",
"1405","IVB","14","05","6804000","2267000","156112","133239","80254","35354","156112","133239",
"1406","IVB","14","06","6893000","2298000","158474","135255","81468","35889","158474","135255",
"1500","IVC","15","00","6942000","2314000","158801","135535","81636","35963","158801","135535",
"1501","IVC","15","01","7043000","2346000","161527","137861","83037","36580","161527","137861",
"1502","IVC","15","02","7142000","2380000","164252","140187","84438","37198","164252","140187",
"1503","IVC","15","03","7241000","2414000","166978","142513","85839","37815","166978","142513",
"1504","IVC","15","04","7392000","2463000","169703","144839","87241","38432","169703","144839",
"1505","IVC","15","05","7542000","2513000","172429","147165","88642","39049","172429","147165",
"1506","IVC","15","06","7692000","2563000","175154","149491","90043","39666","175154","149491",
"1507","IVC","15","07","7791000","2597000","177879","151817","91444","40284","177879","151817",
"1508","IVC","15","08","7891000","2630000","180605","154144","92845","40901","180605","154144",
"1509","IVC","15","09","7991000","2663000","183330","156470","94246","41518","183330","156470",
"1600","IVD","16","00","8024000","2675000","183730","156811","94451","41609","183730","156811",
"1601","IVD","16","01","8124000","2707000","186637","159292","95946","42267","186637","159292",
"1602","IVD","16","02","8224000","2740000","189544","161773","97440","42925","189544","161773",
"1603","IVD","16","03","8374000","2790000","192451","164254","98935","43584","192451","164254",
"1604","IVD","16","04","8523000","2841000","195358","166735","100429","44242","195358","166735",
"1605","IVD","16","05","8674000","2890000","198266","169217","101924","44900","198266","169217",
"1606","IVD","16","06","8823000","2941000","201173","171698","103418","45559","201173","171698",
"0900","IIIA","09","00","2908000","969000","65410","55827","33626","14813","65410","55827",
"0901","IIIA","09","01","2968000","989000","66864","57067","34373","15142","66864","57067",
"0100","IA","01","00","999000","333000","20299","17325","10435","4597","20299","17325",
"0101","IA","01","01","1001000","333000","20434","17440","10505","4628","20434","17440",
"0102","IA","01","02","1003000","334000","20569","17555","10574","4658","20569","17555",
"0103","IA","01","03","1005000","334000","20703","17670","10643","4689","20703","17670",
"0104","IA","01","04","1007000","336000","20838","17785","10713","4719","20838","17785",
"0105","IA","01","05","1008000","336000","20973","17900","10782","4750","20973","17900",
"0106","IA","01","06","1010000","337000","21108","18015","10851","4780","21108","18015",
"0107","IA","01","07","1013000","337000","21242","18130","10920","4811","21242","18130",
"0108","IA","01","08","1014000","337000","21377","18245","10990","4841","21377","18245",
"0109","IA","01","09","1016000","338000","21512","18360","11059","4872","21512","18360",
"0110","IA","01","10","1017000","339000","21647","18475","11128","4902","21647","18475",
"0111","IA","01","11","1019000","339000","21782","18590","11198","4933","21782","18590",
"0112","IA","01","12","1021000","340000","21916","18705","11267","4963","21916","18705",
"0113","IA","01","13","1022000","341000","22051","18820","11336","4994","22051","18820",
"0114","IA","01","14","1025000","341000","22186","18935","11405","5024","22186","18935",
"0115","IA","01","15","1026000","342000","22321","19050","11475","5055","22321","19050",
"0200","IB","02","00","1066000","354000","22456","19166","11544","5085","22456","19166",
"0201","IB","02","01","1071000","356000","22844","19497","11744","5173","22844","19497",
"0202","IB","02","02","1076000","358000","23232","19828","11943","5261","23232","19828",
"0203","IB","02","03","1080000","360000","23620","20160","12143","5349","23620","20160",
"0204","IB","02","04","1086000","361000","24009","20491","12342","5437","24009","20491",
"0205","IB","02","05","1106000","368000","24397","20822","12542","5525","24397","20822",
"0206","IB","02","06","1125000","375000","24785","21154","12741","5613","24785","21154",
"0207","IB","02","07","1146000","381000","25173","21485","12941","5701","25173","21485",
"0208","IB","02","08","1165000","388000","25562","21816","13141","5789","25562","21816",
"0209","IB","02","09","1185000","395000","25950","22148","13340","5877","25950","22148",
"0210","IB","02","10","1206000","401000","26338","22479","13540","5965","26338","22479",
"0211","IB","02","11","1225000","408000","26726","22810","13739","6053","26726","22810",
"0300","IC","03","00","1187000","395000","25173","21485","12941","5701","25173","21485",
"0301","IC","03","01","1197000","398000","25615","21862","13168","5801","25615","21862",
"0302","IC","03","02","1206000","401000","26057","22239","13395","5901","26057","22239",
"0303","IC","03","03","1215000","405000","26499","22617","13623","6001","26499","22617",
"0304","IC","03","04","1224000","408000","26941","22994","13850","6101","26941","22994",
"0305","IC","03","05","1245000","414000","27384","23371","14077","6201","27384","23371",
"0306","IC","03","06","1264000","421000","27826","23749","14305","6302","27826","23749",
"0307","IC","03","07","1284000","428000","28268","24126","14532","6402","28268","24126",
"0308","IC","03","08","1304000","434000","28710","24504","14759","6502","28710","24504",
"0309","IC","03","09","1324000","441000","29152","24881","14986","6602","29152","24881",
"0400","ID","04","00","1308000","435000","27826","23749","14305","6302","27826","23749",
"0401","ID","04","01","1318000","439000","28327","24177","14562","6415","28327","24177",
"0402","ID","04","02","1329000","442000","28829","24605","14820","6529","28829","24605",
"0403","ID","04","03","1339000","446000","29330","25033","15078","6642","29330","25033",
"0404","ID","04","04","1360000","452000","29832","25461","15336","6756","29832","25461",
"0405","ID","04","05","1379000","459000","30333","25889","15593","6869","30333","25889",
"0406","ID","04","06","1399000","466000","30834","26317","15851","6983","30834","26317",
"0407","ID","04","07","1420000","472000","31336","26745","16109","7096","31336","26745",
"0500","IIA","05","00","1437000","478000","30834","26317","15851","6983","30834","26317",
"0501","IIA","05","01","1451000","484000","31400","26800","16142","7111","31400","26800",
"0502","IIA","05","02","1466000","488000","31966","27283","16433","7239","31966","27283",
"0503","IIA","05","03","1481000","494000","32533","27766","16724","7368","32533","27766",
"0504","IIA","05","04","1496000","498000","33099","28249","17015","7496","33099","28249",
"0505","IIA","05","05","1517000","504000","33665","28732","17306","7624","33665","28732",
"0506","IIA","05","06","1537000","511000","34231","29215","17597","7752","34231","29215",
"0507","IIA","05","07","1556000","518000","34797","29699","17888","7880","34797","29699",
"0508","IIA","05","08","1576000","525000","35363","30182","18179","8009","35363","30182",
"0600","IIB","06","00","1596000","532000","34797","29699","17888","7880","34797","29699",
"0601","IIB","06","01","1616000","539000","35482","30283","18240","8035","35482","30283",
"0602","IIB","06","02","1646000","548000","36166","30867","18592","8190","36166","30867",
"0603","IIB","06","03","1676000","558000","36851","31452","18944","8346","36851","31452",
"0604","IIB","06","04","1706000","568000","37536","32036","19296","8501","37536","32036",
"0605","IIB","06","05","1736000","579000","38220","32621","19648","8656","38220","32621",
"0606","IIB","06","06","1766000","589000","38905","33205","20000","8811","38905","33205",
"0700","IIC","07","00","1804000","601000","39763","33937","20441","9005","39763","33937",
"0701","IIC","07","01","1822000","606000","40620","34668","20882","9199","40620","34668",
"0702","IIC","07","02","1840000","612000","41477","35400","21322","9393","41477","35400",
"0703","IIC","07","03","1880000","627000","42334","36132","21763","9587","42334","36132",
"0704","IIC","07","04","1920000","639000","43192","36863","22204","9781","43192","36863",
"0705","IIC","07","05","1959000","653000","44049","37595","22645","9976","44049","37595",
"0706","IIC","07","06","1999000","666000","44906","38327","23085","10170","44906","38327",
"0800","IID","08","00","2038000","679000","44529","38005","22891","10084","44529","38005",
"0801","IID","08","01","2079000","693000","45763","39058","23526","10364","45763","39058",
"0802","IID","08","02","2121000","706000","46998","40112","24161","10643","46998","40112",
