"KodeUnit","Tanggal","NoBukti","NoInput","KodeBudidaya","KodeAfdeling","Norek","KodeBarang","Netral","kdblok","KodeUnsur","Uraian","Jml_fisik","Debet","Kredit","Aplikasi",
"13","31-12-2016 00:00:00","SST201612-00001","SST201612-00001","02","02","490000100","","0200","","L","Pembebanan Biaya Penyusutan Tanaman Bulan 12-2016","0","3111789,695","0","AKT",
"13","31-12-2016 00:00:00","SST201612-00001","SST201612-00001","02","02","490000100","","0200","","L","Pembebanan Biaya Penyusutan Tanaman Bulan 12-2016","0","2378366,205","0","AKT",
"13","31-12-2016 00:00:00","SST201612-00001","SST201612-00001","02","02","490000100","","0200","","L","Pembebanan Biaya Penyusutan Tanaman Bulan 12-2016","0","5099185,86333333","0","AKT",
"13","31-12-2016 00:00:00","SST201612-00001","SST201612-00001","02","02","490000100","","0200","","L","Pembebanan Biaya Penyusutan Tanaman Bulan 12-2016","0","2026913,84333333","0","AKT",
"13","31-12-2016 00:00:00","SST201612-00001","SST201612-00001","02","02","490000100","","0200","","L","Pembebanan Biaya Penyusutan Tanaman Bulan 12-2016","0","1052034,74166667","0","AKT",
"13","31-12-2016 00:00:00","SST201612-00001","SST201612-00001","02","02","490000100","","0200","","L","Pembebanan Biaya Penyusutan Tanaman Bulan 12-2016","0","1942233,62166667","0","AKT",
"13","31-12-2016 00:00:00","SST201612-00001","SST201612-00001","02","02","490000100","","0200","","L","Pembebanan Biaya Penyusutan Tanaman Bulan 12-2016","0","117898,226666667","0","AKT",
"13","31-12-2016 00:00:00","SST201612-00001","SST201612-00001","02","02","490000100","","0200","","L","Pembebanan Biaya Penyusutan Tanaman Bulan 12-2016","0","653197,978333333","0","AKT",
"13","31-12-2016 00:00:00","SST201612-00001","SST201612-00001","02","02","490000100","","0200","","L","Pembebanan Biaya Penyusutan Tanaman Bulan 12-2016","0","303130,028333333","0","AKT",
"13","31-12-2016 00:00:00","SST201612-00001","SST201612-00001","02","02","490000100","","0200","","L","Pembebanan Biaya Penyusutan Tanaman Bulan 12-2016","0","87294,4783333333","0","AKT",
"13","31-12-2016 00:00:00","SST201612-00001","SST201612-00001","02","02","490000100","","0200","","L","Pembebanan Biaya Penyusutan Tanaman Bulan 12-2016","0","148697,903333333","0","AKT",
"13","31-12-2016 00:00:00","SST201612-00001","SST201612-00001","02","02","490000100","","0200","","L","Pembebanan Biaya Penyusutan Tanaman Bulan 12-2016","0","894516,66","0","AKT",
"13","31-12-2016 00:00:00","SST201612-00001","SST201612-00001","02","02","490000100","","0200","","L","Pembebanan Biaya Penyusutan Tanaman Bulan 12-2016","0","0,29000000000002","0","AKT",
"13","31-12-2016 00:00:00","SST201612-00001","SST201612-00001","02","02","490000200","","0200","","L","Pembebanan Biaya Penyusutan Non Tanaman Bulan 12-2016","0","49168329,7166667","0","AKT",
"13","31-12-2016 00:00:00","SST201612-00001","SST201612-00001","02","11","490000200","","0200","","L","Pembebanan Biaya Penyusutan Non Tanaman Bulan 12-2016","0","1010639,71666667","0","AKT",
"13","31-12-2016 00:00:00","SST201612-00001","SST201612-00001","02","20","490000200","","0200","","L","Pembebanan Biaya Penyusutan Non Tanaman Bulan 12-2016","0","36314293,0708333","0","AKT",
"13","31-12-2016 00:00:00","SST201612-00001","SST201612-00001","02","21","490000200","","0200","","L","Pembebanan Biaya Penyusutan Non Tanaman Bulan 12-2016","0","9815177,65833333","0","AKT",
"13","31-12-2016 00:00:00","GJI201612V-10102","","02","12","602190111","","0200","","G","Tunjangan Tetap Bulan : 12-2016","0","2426000","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10104","","02","12","404010100","","","","G","Tunj.BPJS Kesehatan Bbn.Persh. Bulan : 12-2016","0","1001319","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10104","","02","12","601190104","","0200","","G","Tunj.Jamsostek & BPJS Bbn.Persh. Bulan : 12-2016","0","560216","0","GUP",
