"Propinsi","DT2","KotaKabupaten","Kecamatan","KodePos",
"Jawa Barat","Kab.","Kuningan","Selajambe","45566",
"Jawa Barat","Kab.","Bekasi","Serang Baru","17330",
"Jawa Barat","Kab.","Subang","Serangpanjang","41282",
"Jawa Barat","Kab.","Bekasi","Setu","17320",
"Jawa Barat","Kab.","Pangandaran","Sidamulih","46365",
"Jawa Barat","Kab.","Sukabumi","Simpenan","43361",
"Jawa Barat","Kab.","Indramayu","Sindang","45221 - 45227",
"Jawa Barat","Kab.","Majalengka","Sindang","45471",
"Jawa Barat","Kab.","Kuningan","Sindangagung","45573",
"Jawa Barat","Kab.","Cianjur","Sindangbarang","43272",
"Jawa Barat","Kab.","Ciamis","Sindangkasih","46268",
"Jawa Barat","Kab.","Bandung Barat","Sindangkerta","40563",
"Jawa Barat","Kab.","Majalengka","Sindangwangi","45474",
"Jawa Barat","Kab.","Garut","Singajaya","44173",
"Jawa Barat","Kab.","Tasikmalaya","Singaparna","46411 - 46418",
"Jawa Barat","Kab.","Sumedang","Situraja","45371",
"Jawa Barat","Kab.","Indramayu","Sliyeg","45281",
"Jawa Barat","Kab.","Bogor","Jasinga","16670",
"Jawa Barat","Kota","Bekasi","Jati Sampurna","17432 - 17435",
"Jawa Barat","Kota","Bekasi","Jatiasih","17421 - 17426",
"Jawa Barat","Kab.","Indramayu","Jatibarang","45273",
"Jawa Barat","Kab.","Sumedang","Jatigede","45377",
"Jawa Barat","Kab.","Purwakarta","Jatiluhur","41152 - 41161",
"Jawa Barat","Kab.","Ciamis","Jatinagara","46273",
"Jawa Barat","Kab.","Sumedang","Jatinangor","45363",
"Jawa Barat","Kab.","Sumedang","Jatinunggal","45376",
"Jawa Barat","Kab.","Karawang","Jatisari","41374",
"Jawa Barat","Kab.","Majalengka","Jatitujuh","45458",
"Jawa Barat","Kab.","Majalengka","Jatiwangi","45454",
"Jawa Barat","Kab.","Tasikmalaya","Jatiwaras","46185",
"Jawa Barat","Kab.","Karawang","Jayakerta","41352",
"Jawa Barat","Kab.","Bogor","Jonggol","16830",
"Jawa Barat","Kab.","Indramayu","Juntinyuat","45282",
"Jawa Barat","Kab.","Sukabumi","Kabandungan","43368",
"Jawa Barat","Kab.","Majalengka","Kadipaten","45452",
"Jawa Barat","Kab.","Tasikmalaya","Kadipaten","46156",
"Jawa Barat","Kab.","Sukabumi","Kadudampit","43153",
"Jawa Barat","Kab.","Kuningan","Kadugede","45561",
"Jawa Barat","Kab.","Garut","Kadungora","44153",
"Jawa Barat","Kab.","Cianjur","Kadupandak","43268",
"Banten","Kab.","Lebak","Warunggunung","42352",
"Banten","Kab.","Pandeglang","Angsana","42277",
"Banten","Kab.","Pandeglang","Banjar","42252",
"Banten","Kab.","Pandeglang","Bojong","42274",
"Banten","Kab.","Pandeglang","Cadasari","42251",
"Banten","Kab.","Pandeglang","Carita","42264",
"Banten","Kab.","Pandeglang","Cibaliung","42285",
"Banten","Kab.","Pandeglang","Cibitung","42285",
"Banten","Kab.","Pandeglang","Cigeulis","42282",
"Banten","Kab.","Pandeglang","Cikeudal (Cikedal)","42271",
"Banten","Kab.","Pandeglang","Cikeusik","42286",
"Banten","Kab.","Pandeglang","Cimanggu","42284",
"Banten","Kab.","Pandeglang","Cimanuk","42271",
"Banten","Kab.","Pandeglang","Cipeucang","42272",
"Banten","Kab.","Pandeglang","Cisata","42273",
"Banten","Kab.","Pandeglang","Jiput","42263",
"Banten","Kab.","Pandeglang","Kaduhejo","42253",
"Banten","Kab.","Pandeglang","Karang Tanjung","42213 - 42251",
"Banten","Kab.","Pandeglang","Koroncong","42251",
"Banten","Kab.","Pandeglang","Labuan","42264",
"Banten","Kab.","Pandeglang","Majasari","42211 - 42217",
"Banten","Kab.","Pandeglang","Mandalawangi","42261",
"Banten","Kab.","Pandeglang","Mekarjaya","42271",
"Banten","Kab.","Pandeglang","Menes","42262",
"Banten","Kab.","Pandeglang","Munjul","42276 - 42277",
"Banten","Kab.","Pandeglang","Pagelaran","42265",
"Banten","Kab.","Pandeglang","Pandeglang","42211 - 42219",
"Banten","Kab.","Pandeglang","Panimbang","42281",
"Banten","Kab.","Pandeglang","Patia","42265",
"Banten","Kab.","Pandeglang","Picung","42213 - 42275",
"Jawa Barat","Kab.","Bandung Barat","Gununghalu","40565",
"Jawa Barat","Kab.","Kuningan","Hantara","45564",
"Jawa Barat","Kota","Bogor","Bogor Selatan - Kota","16131 - 16139",
"Jawa Barat","Kota","Bogor","Bogor Tengah - Kota","16121 - 16129",
"Jawa Barat","Kota","Bogor","Bogor Timur - Kota","16141 - 16146",
"Jawa Barat","Kota","Bogor","Bogor Utara - Kota","16151 - 16158",
"Jawa Barat","Kab.","Purwakarta","Bojong","41164",
"Jawa Barat","Kab.","Sukabumi","Bojong Genteng","43353",
"Jawa Barat","Kab.","Tasikmalaya","Bojongasih","46475",
"Jawa Barat","Kab.","Tasikmalaya","Bojonggambir","46475",
"Jawa Barat","Kab.","Bogor","Bojonggede","16920 - 16923",
"Jawa Barat","Kota","Bandung","Bojongloa Kaler","40231 - 40233",
"Jawa Barat","Kota","Bandung","Bojongloa Kidul","40234 - 40239",
"Jawa Barat","Kab.","Bekasi","Bojongmangu","17350 - 17356",
"Jawa Barat","Kab.","Cianjur","Bojongpicung","43283",
"Jawa Barat","Kota","Depok","Bojongsari","16516 - 16518",
"Jawa Barat","Kab.","Bandung","Bojongsoang","40287 - 40288",
"Jawa Barat","Kab.","Indramayu","Bongas","45255",
"Jawa Barat","Kota","Bandung","Buahbatu (Margacinta)","40286 - 40287",
"Jawa Barat","Kab.","Sumedang","Buahdua","45392",
"Jawa Barat","Kab.","Garut","Bungbulang","44165",
"Jawa Barat","Kab.","Purwakarta","Bungursari","41181",
"Jawa Barat","Kota","Tasikmalaya","Bungursari","46151",
"Jawa Barat","Kab.","Bekasi","Cabangbungin","17720",
"Jawa Barat","Kab.","Cianjur","Campaka","43263",
"Jawa Barat","Kab.","Purwakarta","Campaka","41181",
"Jawa Barat","Kab.","Cianjur","Campaka Mulya","43269",
"Jawa Barat","Kab.","Bandung","Cangkuang","40238",
"Jawa Barat","Kab.","Indramayu","Cantigi","45258",
"Jawa Barat","Kab.","Bogor","Caringin","16730",
"Jawa Barat","Kab.","Garut","Caringin","44166",
"Jawa Barat","Kab.","Sukabumi","Caringin","43154",
"Jawa Barat","Kab.","Bogor","Cariu","16840",
"Jawa Barat","Kab.","Sukabumi","Ciambar","43356",
"Jawa Barat","Kab.","Ciamis","Ciamis","46211 - 46219",
"Jawa Barat","Kab.","Bogor","Ciampea","16620",
"Jawa Barat","Kab.","Karawang","Ciampel","41363",
"Jawa Barat","Kab.","Cianjur","Cianjur","43215 - 43216",
"Jawa Barat","Kab.","Subang","Ciasem","41256",
"Jawa Barat","Kab.","Subang","Ciater","41251 - 41281",
"Jawa Barat","Kab.","Bogor","Ciawi","16720",
"Jawa Barat","Kab.","Tasikmalaya","Ciawi","46156",
"Jawa Barat","Kab.","Kuningan","Ciawigebang","45591 - 45593",
"Jawa Barat","Kab.","Sukabumi","Cibadak","43351",
"Jawa Barat","Kab.","Garut","Cibalong","44176",
"Jawa Barat","Kab.","Tasikmalaya","Cibalong","46185",
"Jawa Barat","Kab.","Bekasi","Cibarusah","17340",
"Jawa Barat","Kab.","Garut","Cibatu","44185",
"Jawa Barat","Kab.","Purwakarta","Cibatu","41181",
"Jawa Barat","Kab.","Cianjur","Cibeber","43262",
"Jawa Barat","Kota","Bandung","Cibeunying Kaler","40122 - 40191",
"Jawa Barat","Kota","Bandung","Cibeunying Kidul","40121 - 40192",
"Jawa Barat","Kab.","Kuningan","Cibeureum","45588",
"Jawa Barat","Kota","Sukabumi","Cibeureum","43142 - 43165",
"Jawa Barat","Kota","Tasikmalaya","Cibeureum","46196 - 46416",
"Jawa Barat","Kab.","Kuningan","Cibingbin","45587",
"Jawa Barat","Kab.","Bogor","Cibinong","16911 - 16918",
"Jawa Barat","Kab.","Cianjur","Cibinong","43271",
"Jawa Barat","Kota","Bandung","Cibiru","40614 - 40615",
"Jawa Barat","Kab.","Bekasi","Cibitung","17520",
"Jawa Barat","Kab.","Sukabumi","Cibitung","43172",
"Jawa Barat","Kab.","Garut","Cibiuk","44193",
"Jawa Barat","Kab.","Subang","Cibogo","41285",
"Jawa Barat","Kab.","Karawang","Cibuaya","41356",
"Jawa Barat","Kab.","Sumedang","Cibugel","45375",
"Jawa Barat","Kab.","Bogor","Cibungbulang","16630",
"Jawa Barat","Kab.","Bandung","Cicalengka","40395",
"Jawa Barat","Kab.","Sukabumi","Cicantayan","43155",
"Jawa Barat","Kota","Bandung","Cicendo","40171 - 40175",
"Jawa Barat","Kab.","Sukabumi","Cicurug","43359",
"Jawa Barat","Kota","Bandung","Cidadap","40141 - 40143",
"Jawa Barat","Kab.","Sukabumi","Cidadap","43183",
"Jawa Barat","Kab.","Kuningan","Cidahu","45595",
"Jawa Barat","Kab.","Sukabumi","Cidahu","43358",
"Jawa Barat","Kab.","Cianjur","Cidaun","43275",
"Jawa Barat","Kab.","Ciamis","Cidolog","46352",
"Jawa Barat","Kab.","Sukabumi","Cidolog","43184",
"Jawa Barat","Kab.","Sukabumi","Ciemas","43177",
"Jawa Barat","Kab.","Tasikmalaya","Cigalontang","46463",
"Jawa Barat","Kab.","Kuningan","Cigandamekar","45556",
"Jawa Barat","Kab.","Majalengka","Cigasong","45476",
"Jawa Barat","Kab.","Garut","Cigedug","44116",
"Jawa Barat","Kab.","Bogor","Cigombong","16110 - 16119",
"Jawa Barat","Kab.","Sukabumi","Kalapa Nunggal","43354",
"Jawa Barat","Kab.","Sukabumi","Kali Bunder","43185",
"Jawa Barat","Kab.","Subang","Kalijati","41271",
"Jawa Barat","Kab.","Kuningan","Kalimanggis","45594",
"Jawa Barat","Kab.","Pangandaran","Kalipucang","46397",
"Jawa Barat","Kab.","Cirebon","Kaliwedi","45165",
"Jawa Barat","Kab.","Indramayu","Kandanghaur","45213 - 45254",
"Jawa Barat","Kab.","Cirebon","Kapetakan","45152",
"Jawa Barat","Kab.","Tasikmalaya","Karang Jaya","46198",
"Jawa Barat","Kab.","Indramayu","Karangampel","45283",
"Jawa Barat","Kab.","Bekasi","Karangbahagia","17530",
"Jawa Barat","Kab.","Kuningan","Karangkancana","45584",
"Jawa Barat","Kab.","Tasikmalaya","Karangnunggal","46186",
"Jawa Barat","Kab.","Garut","Karangpawitan","44182",
"Jawa Barat","Kab.","Cirebon","Karangsembung","45186",
"Jawa Barat","Kab.","Cianjur","Karangtengah","43281",
"Jawa Barat","Kab.","Garut","Karangtengah","44184",
"Jawa Barat","Kab.","Cirebon","Karangwareng","45186",
"Jawa Barat","Kab.","Karawang","Karawang Barat","41311 - 41316",
"Jawa Barat","Kab.","Karawang","Karawang Timur","41314 - 41371",
"Jawa Barat","Kab.","Majalengka","Kasokandel","45453",
"Jawa Barat","Kab.","Subang","Kasomalang","41281 - 41283",
"Jawa Barat","Kab.","Bandung","Katapang","40921",
"Jawa Barat","Kab.","Ciamis","Kawali","46253",
"Jawa Barat","Kota","Tasikmalaya","Kawalu","46182",
"Jawa Barat","Kab.","Sukabumi","Kebonpedes","43194",
"Jawa Barat","Kab.","Cirebon","Kedawung","45153",
"Jawa Barat","Kab.","Indramayu","Kedokan Bunder","45283",
"Jawa Barat","Kab.","Bekasi","Kedung Waringin","17540",
"Jawa Barat","Kota","Cirebon","Kejaksan","45121 - 45123",
"Jawa Barat","Kab.","Bogor","Kemang","16310",
"Jawa Barat","Kab.","Garut","Kersamanah","44185",
"Jawa Barat","Kab.","Majalengka","Kertajati","45457",
"Jawa Barat","Kab.","Bandung","Kertasari","40386",
"Jawa Barat","Kab.","Indramayu","Kertasemaya","45274",
"Jawa Barat","Kota","Cirebon","Kesambi","45131 - 45134",
"Jawa Barat","Kota","Bandung","Kiaracondong","40281 - 40285",
"Jawa Barat","Kab.","Purwakarta","Kiarapedes","41175",
"Jawa Barat","Kab.","Cirebon","Klangenan","45156",
"Jawa Barat","Kab.","Bogor","Klapa Nunggal (Kelapa Nunggal)","16710",
"Jawa Barat","Kab.","Karawang","Klari","41371",
"Jawa Barat","Kab.","Karawang","Kotabaru","41374",
"Jawa Barat","Kab.","Kuningan","Kramat Mulya","45521 - 45553",
"Jawa Barat","Kab.","Indramayu","Krangkeng","45284",
"Jawa Barat","Kab.","Indramayu","Kroya","45265",
"Jawa Barat","Kab.","Kuningan","Kuningan","45511 - 45518",
"Jawa Barat","Kab.","Karawang","Kutawaluya","41358",
"Jawa Barat","Kab.","Bandung","Kutawaringin","40911",
"Jawa Barat","Kab.","Ciamis","Lakbok","46385",
"Jawa Barat","Kab.","Garut","Leles","44119 - 44152",
"Jawa Barat","Kab.","Cirebon","Lemahabang","45183",
"Jawa Barat","Kab.","Karawang","Lemahabang","41383",
"Jawa Barat","Kab.","Majalengka","Lemahsugih","45465",
"Jawa Barat","Kota","Cirebon","Lemahwungkuk","45111 - 45114",
"Jawa Barat","Kab.","Bandung Barat","Lembang","40391",
"Jawa Barat","Kota","Sukabumi","Lembursitu","43134 - 43169",
"Jawa Barat","Kota","Bandung","Lengkong","40261 - 40265",
"Jawa Barat","Kab.","Sukabumi","Lengkong","43174",
"Jawa Barat","Kab.","Garut","Leuwigoong","44192",
"Jawa Barat","Kab.","Bogor","Leuwiliang","16640",
"Jawa Barat","Kab.","Majalengka","Leuwimunding","45473",
"Jawa Barat","Kab.","Bogor","Leuwisadeng","16640",
"Jawa Barat","Kab.","Tasikmalaya","Leuwisari","46464",
"Jawa Barat","Kab.","Majalengka","Ligung","45456",
"Jawa Barat","Kota","Depok","Limo","16512 - 16515",
"Jawa Barat","Kab.","Indramayu","Lohbener","45252",
"Jawa Barat","Kab.","Indramayu","Losarang","45253",
"Jawa Barat","Kab.","Cirebon","Losari","45192",
"Jawa Barat","Kab.","Ciamis","Lumbung","46258",
"Jawa Barat","Kab.","Kuningan","Luragung","45581",
"Jawa Barat","Kab.","Majalengka","Maja","45461",
"Jawa Barat","Kab.","Bogor","Cigudeg","16660",
"Jawa Barat","Kab.","Kuningan","Cigugur","45552",
"Jawa Barat","Kab.","Pangandaran","Cigugur","46392",
"Jawa Barat","Kab.","Bandung Barat","Cihampelas","40562",
"Jawa Barat","Kab.","Ciamis","Cihaurbeuti","46262",
"Jawa Barat","Kota","Tasikmalaya","Cihideung","46121 - 46126",
"Jawa Barat","Kab.","Garut","Cihurip","44173",
"Jawa Barat","Kab.","Subang","Cijambe","41286",
"Jawa Barat","Kab.","Cianjur","Cijati","43284",
"Jawa Barat","Kab.","Bogor","Cijeruk","16740",
"Jawa Barat","Kab.","Ciamis","Cijeungjing","46271",
"Jawa Barat","Kab.","Pangandaran","Cijulang","46394",
"Jawa Barat","Kab.","Cianjur","Cikadu","43284",
"Jawa Barat","Kab.","Garut","Cikajang","44171",
"Jawa Barat","Kab.","Sukabumi","Cikakak","43365",
"Jawa Barat","Kab.","Tasikmalaya","Cikalong","46195",
"Jawa Barat","Kab.","Bandung Barat","Cikalong Wetan","40556",
"Jawa Barat","Kab.","Cianjur","Cikalongkulon","43291",
"Jawa Barat","Kab.","Karawang","Cikampek","41373",
"Jawa Barat","Kab.","Bandung","Cikancung","40396",
"Jawa Barat","Kab.","Bekasi","Cikarang Barat","17530",
"Jawa Barat","Kab.","Bekasi","Cikarang Pusat","17530",
"Jawa Barat","Kab.","Bekasi","Cikarang Selatan","17530",
"Jawa Barat","Kab.","Bekasi","Cikarang Timur","17530",
"Jawa Barat","Kab.","Bekasi","Cikarang Utara","17530",
"Jawa Barat","Kab.","Tasikmalaya","Cikatomas","46193",
"Jawa Barat","Kab.","Subang","Cikaum","41253",
"Jawa Barat","Kab.","Indramayu","Cikedung","45262",
"Jawa Barat","Kab.","Garut","Cikelet","44177",
"Jawa Barat","Kab.","Sukabumi","Cikembar","43157",
"Jawa Barat","Kab.","Sukabumi","Cikidang","43367",
"Jawa Barat","Kab.","Majalengka","Cikijing","45466",
"Jawa Barat","Kota","Sukabumi","Cikole","43111 - 43116",
"Jawa Barat","Kab.","Ciamis","Cikoneng","46261",
"Jawa Barat","Kab.","Cianjur","Cilaku","43285",
"Jawa Barat","Kab.","Karawang","Cilamaya Kulon","41384",
"Jawa Barat","Kab.","Karawang","Cilamaya Wetan","41384",
"Jawa Barat","Kab.","Garut","Cilawu","44181",
"Jawa Barat","Kab.","Kuningan","Cilebak","45585",
"Jawa Barat","Kab.","Karawang","Cilebar","41353 - 41385",
"Jawa Barat","Kab.","Cirebon","Ciledug","45188",
"Jawa Barat","Kab.","Bandung","Cilengkrang","40615 - 40619",
"Jawa Barat","Kab.","Bogor","Cileungsi","16820",
"Jawa Barat","Kab.","Bandung","Cileunyi","40621 - 40626",
"Jawa Barat","Kab.","Bandung Barat","Cililin","40562",
"Jawa Barat","Kab.","Kuningan","Cilimus","45556",
"Jawa Barat","Kota","Depok","Cilodong","16413 - 16415",
"Jawa Barat","Kab.","Kuningan","Cimahi","45582",
"Jawa Barat","Kota","Cimahi","Cimahi Selatan","40531 - 40535",
"Jawa Barat","Kota","Cimahi","Cimahi Tengah","40521 - 40526",
"Jawa Barat","Kota","Cimahi","Cimahi Utara","40511 - 40514",
"Jawa Barat","Kab.","Sumedang","Cimalaka","45353",
"Jawa Barat","Kota","Depok","Cimanggis","16451 - 16454",
"Jawa Barat","Kab.","Sukabumi","Cimanggu","43178",
"Jawa Barat","Kab.","Sumedang","Cimanggung","45364",
"Jawa Barat","Kab.","Ciamis","Cimaragas","46381",
"Jawa Barat","Kab.","Bandung","Cimaung","40374 - 40375",
"Jawa Barat","Kab.","Pangandaran","Cimerak","46395",
"Jawa Barat","Kab.","Bandung","Cimeunyan","40191 - 40198",
"Jawa Barat","Kota","Bandung","Cinambo","40294",
"Jawa Barat","Kab.","Tasikmalaya","Cineam","46198",
"Jawa Barat","Kota","Depok","Cinere","16512 - 16514",
"Jawa Barat","Kab.","Majalengka","Cingambul","45467",
"Jawa Barat","Kab.","Kuningan","Ciniru","45565",
"Jawa Barat","Kab.","Bogor","Ciomas","16610",
"Jawa Barat","Kab.","Ciamis","Cipaku","46252",
"Jawa Barat","Kab.","Cianjur","Cipanas","43253",
"Jawa Barat","Kab.","Bandung","Ciparay","40381",
"Jawa Barat","Kab.","Bandung Barat","Cipatat","40554",
"Jawa Barat","Kab.","Tasikmalaya","Cipatujah","46187 - 46189",
"Jawa Barat","Kota","Depok","Cipayung","16436 - 16439",
"Jawa Barat","Kota","Tasikmalaya","Cipedes","46131 - 46134",
"Jawa Barat","Kab.","Bandung Barat","Cipeundeuy","40558",
"Jawa Barat","Kab.","Subang","Cipeundeuy","41272",
"Jawa Barat","Kab.","Kuningan","Cipicung","45576 - 45592",
"Jawa Barat","Kab.","Bandung Barat","Cipongkor","40564",
"Jawa Barat","Kab.","Subang","Cipunagara","41257",
"Jawa Barat","Kab.","Sukabumi","Ciracap","43176",
"Jawa Barat","Kab.","Cianjur","Ciranjang","43282",
"Jawa Barat","Kab.","Sukabumi","Cireunghas","43193",
"Jawa Barat","Kab.","Sukabumi","Cisaat","43132 - 43152",
"Jawa Barat","Kab.","Ciamis","Cisaga","46386",
"Jawa Barat","Kab.","Bandung","Majalaya","40382",
"Jawa Barat","Kab.","Karawang","Majalaya","41371",
"Jawa Barat","Kab.","Majalengka","Majalengka","45411 - 45419",
"Jawa Barat","Kab.","Garut","Malangbong","44188",
"Jawa Barat","Kab.","Majalengka","Malausma","45464",
"Jawa Barat","Kab.","Kuningan","Maleber","45574 - 45575",
"Jawa Barat","Kota","Bandung","Mandalajati","40195",
"Jawa Barat","Kab.","Cianjur","Mande","43292",
"Jawa Barat","Kab.","Kuningan","Mandirancan","45558",
"Jawa Barat","Kota","Tasikmalaya","Mangkubumi","46181",
"Jawa Barat","Kab.","Pangandaran","Mangunjaya","46371",
"Jawa Barat","Kab.","Tasikmalaya","Mangunreja","46462",
"Jawa Barat","Kab.","Purwakarta","Maniis","41166",
"Jawa Barat","Kab.","Tasikmalaya","Manonjaya","46197",
"Jawa Barat","Kab.","Bandung","Margaasih","40214 - 40218",
"Jawa Barat","Kab.","Bandung","Margahayu","40225 - 40229",
"Jawa Barat","Kota","Bekasi","Medan Satria","17131 - 17143",
"Jawa Barat","Kab.","Bogor","Megamendung","16770",
"Jawa Barat","Kab.","Cianjur","Agrabinta","43273",
"Jawa Barat","Kota","Bandung","Andir","40181 - 40184",
"Jawa Barat","Kab.","Indramayu","Anjatan","45256",
"Jawa Barat","Kota","Bandung","Antapani (Cicadas)","40291",
"Jawa Barat","Kota","Banjar","Langensari","46324 - 46344",
"Jawa Barat","Kab.","Pangandaran","Langkaplancar","46391",
"Jawa Barat","Kab.","Subang","Legonkulon","41254",
"Jawa Barat","Kab.","Indramayu","Lelea","45261",
