"Propinsi","DT2","KotaKabupaten","Kecamatan","KodePos",
"Banten","Kab.","Lebak","Gunung Kencana","42354",
"Banten","Kab.","Lebak","Kalanganyar","42311 - 42312",
"Banten","Kab.","Lebak","Lebakgedong","42355 - 42372",
"Banten","Kab.","Lebak","Leuwidamar","42362",
"Banten","Kab.","Lebak","Maja","42381",
"Banten","Kab.","Lebak","Malingping","42313 - 42391",
"Banten","Kab.","Lebak","Muncang","42364",
"Banten","Kab.","Lebak","Panggarangan","42392",
"Banten","Kab.","Lebak","Rangkasbitung","42311 - 42319",
"Banten","Kab.","Lebak","Sajira","42371",
"Banten","Kab.","Lebak","Sobang","42315 - 42318",
"Banten","Kab.","Lebak","Wanasalam","42396",
"Jawa Barat","Kota","Cirebon","Harjamukti","45141 - 45145",
"Jawa Barat","Kab.","Indramayu","Haurgeulis","45264",
"Jawa Barat","Kab.","Cianjur","Haurwangi","43282 - 43283",
"Jawa Barat","Kab.","Bandung","Ibun","40384",
"Jawa Barat","Kota","Tasikmalaya","Indihiang","46151 - 46411",
"Jawa Barat","Kab.","Indramayu","Indramayu","45211 - 45219",
"Jawa Barat","Kab.","Kuningan","Jalaksana","45554",
"Jawa Barat","Kab.","Subang","Jalancagak","41281",
"Jawa Barat","Kab.","Tasikmalaya","Jamanis","46175",
"Jawa Barat","Kab.","Cirebon","Jamblang","45156",
"Jawa Barat","Kab.","Sukabumi","Jampang Kulon","43178",
"Jawa Barat","Kab.","Sukabumi","Jampang Tengah","43171",
"Jawa Barat","Kab.","Kuningan","Japara","45555",
"Jawa Barat","Kab.","Ciamis","Panjalu","46264",
"Jawa Barat","Kab.","Ciamis","Panumbangan","46263",
"Jawa Barat","Kota","Bandung","Panyileukan","40614",
"Jawa Barat","Kab.","Majalengka","Panyingkiran","45459",
"Jawa Barat","Kab.","Sukabumi","Parakan Salak","43355",
"Jawa Barat","Kab.","Pangandaran","Parigi","46393",
"Jawa Barat","Kab.","Bandung Barat","Parongpong","40559",
"Banten","Kab.","Pandeglang","Pulosari","42253 - 42273",
"Banten","Kab.","Pandeglang","Saketi","42273",
"Banten","Kab.","Pandeglang","Sindangresmi","42276",
"Banten","Kab.","Pandeglang","Sobang","42281",
"Banten","Kab.","Pandeglang","Sukaresmi","42265",
"Banten","Kab.","Pandeglang","Sumur","42283",
"Banten","Kota","Serang","Cipocok Jaya","42121 - 42128",
"Banten","Kota","Serang","Curug","42171",
"Banten","Kota","Serang","Kasemen","42191",
