"KodeUnit","tanggal","waktu","noinput","nobuku","tglfaktur","nofaktur","nama","alamat","KodeAfdeling","KodeBudidaya","nourut","kodebarang","qtyminta","qty","ppn","status","nilai","norek","netral","jml_fisik","kdblok","keterangan","Penjelasan","tglkom","namauser","thntnm","KMK",
"13","08-12-2016 00:00:00","10:51:46","A58201612-00075","A58201612-V00075","08-12-2016 00:00:00","75","AFD KIA","","11","02","002","00201230","35","35","False","","123287,637795276","601070500","0200","0","3800","PD PENTAS","P.DAUN","14-12-2016 00:00:00","hendri","1971","01",
"13","22-12-2016 00:00:00","06:30:10","A53201612-00032","A53201612-V00032","22-12-2016 00:00:00","32","CV PUTRA USAHA","BANDUNG","","02","005","01100930","0","3","True","1","75900","150120353","","0","","","","27-12-2016 00:00:00","hendri","","01",
"13","28-12-2016 00:00:00","08:26:44","A58201612-00310","A58201612-V00310","28-12-2016 00:00:00","310","PAB PUR","","20","02","002","00301044","255","255","False","","550787,135135135","603100300","0200","0","","BBP PUR","PENGEPAKAN","31-12-2016 00:00:00","hendri","","01",
"13","01-12-2016 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00202232","0","-1,33226762955019E-15","False","","-1,30967237055302E-10","","","0","","","","14-12-2016 07:50:04","TUTUP_BUKU","","01",
"13","04-12-2016 00:00:00","10:03:23","A58201612-00022","A58201612-V00022","04-12-2016 00:00:00","22","AFD SRIK","","12","02","001","00202216","0,4","0,4","False","","35120","601060101","0200","0","2800","PAM1","HELOPELTIS","14-12-2016 00:00:00","hendri","1947","01",
"13","04-12-2016 00:00:00","10:04:58","A58201612-00024","A58201612-V00024","04-12-2016 00:00:00","24","AFD KIA","","11","02","001","00301007","30","30","False","","270207,657239342","602130000","0200","0","3800","BBM M.PETIK","BBM M.PETIK","14-12-2016 00:00:00","hendri","","01",
"13","08-12-2016 00:00:00","10:45:54","A58201612-00065","A58201612-V00065","08-12-2016 00:00:00","65","PUR","","20","02","001","00301032","44","44","False","","7810000","603100300","0200","0","","BBP PUR","BBP PUR","14-12-2016 00:00:00","hendri","","01",
"13","04-12-2016 00:00:00","10:04:09","A58201612-00023","A58201612-V00023","04-12-2016 00:00:00","23","AFD SRIK","","12","02","001","00201230","66","66","False","","232485","601070500","0200","0","1600","PD KABEL1","P.DAUN","14-12-2016 00:00:00","hendri","1927","01",
"13","04-12-2016 00:00:00","10:04:09","A58201612-00023","A58201612-V00023","04-12-2016 00:00:00","23","AFD SRIK","","12","02","002","00301007","7","7","False","","63048,4565673521","601070500","0200","0","1600","PD KABEL1","P.DAUN","14-12-2016 00:00:00","hendri","1927","01",
"13","04-12-2016 00:00:00","10:05:54","A58201612-00025","A58201612-V00025","04-12-2016 00:00:00","25","AFD KIA","","11","02","001","00301007","5","5","False","","45034,6123863144","601060201","0200","0","1500","BB E2 CISERO","BLISTER","14-12-2016 00:00:00","hendri","1967","01",
"13","04-12-2016 00:00:00","10:05:54","A58201612-00025","A58201612-V00025","04-12-2016 00:00:00","25","AFD KIA","","11","02","002","00202306","3","3","False","","576000","601060201","0200","0","1500","BB E2 CISERO","BLISTER","14-12-2016 00:00:00","hendri","1967","01",
"13","04-12-2016 00:00:00","10:11:39","A58201612-00026","A58201612-V00026","04-12-2016 00:00:00","26","AFD PUR","","10","02","001","00202306","3,5","3,5","False","","672000","601060201","0200","0","0600","BLISTER CIEUL2","BLISTER","14-12-2016 00:00:00","hendri","1951","01",
"13","04-12-2016 00:00:00","10:11:39","A58201612-00026","A58201612-V00026","04-12-2016 00:00:00","26","AFD PUR","","10","02","002","00301007","6","6","False","","54041,5328403654","601060201","0200","0","0600","BLISTER CIEUL2","BLISTER","14-12-2016 00:00:00","hendri","1951","01",
"13","05-12-2016 00:00:00","10:13:35","A58201612-00027","A58201612-V00027","05-12-2016 00:00:00","27","TEKNIK","","30","02","001","00301002","10","10","False","","81802,9151381756","200030000","D835PN","0","","D835PN","BBM KEND","14-12-2016 00:00:00","hendri","","01",
