"Tahun","KodeBarang","NamaBarang","Tr1","Tr2","Tr3","Tr4",
"2013","00202245","ESTAF 25 EC","97400,00","0,00","0,00","0,00",
"2013","00202238","SUMIALPHA","97400,00","0,00","0,00","0,00",
"2013","00202222","WINDER","611400,00","611400,00","611400,00","632500,00",
"2013","00202234","BETA","73200,00","73200,00","73200,00","89500,00",
"2013","00202903","MARFU","9150,00","9150,00","9150,00","9150,00",
"2013","00202101","BEST UP","34000,00","36000,00","39500,00","0,00",
"2013","00202116","BIO UP 490 SL","35000,00","37000,00","37500,00","50000,00",
"2013","00202227","IMIDA PLUS","370250,00","370250,00","370250,00","287500,00",
"2013","00900156","SEKAT ALUMUNIUM","15750000,00","0,00","0,00","0,00",
"2013","00900130","BAK KOAGULASI","66500000,00","0,00","0,00","0,00",
"2013","01200581","LAKBAN PAPER SACK","29000,00","0,00","29500,00","0,00",
"2013","01200067","LABEL STATUS INSPEKSI","150,00","0,00","0,00","150,00",
"2013","01200222","KANTONG TEA SAMPLE (LAMA)","370,00","0,00","370,00","370,00",
"2013","01200228","KANTONG TEA SAMPLE (BARU)","360,00","0,00","360,00","0,00",
"2013","01200582","STIKER TEA SAMPLE LAMA","75,00","0,00","80,00","80,00",
"2013","01200583","STIKER TEA SAMPLE BARU","75,00","0,00","80,00","0,00",
"2013","01200573","PLASTIK SUNGKUP","43000,00","0,00","47000,00","46400,00",
"2013","01200324","KARUNG BAGOR 120CM X 80CM","3300,00","0,00","3300,00","2800,00",
"2013","01200584","PLASTIK INNER UK. 120CM X 80CM","1300,00","0,00","0,00","0,00",
"2013","01200112","PLASTIK INNER UK. 120CM X 80CM","1300,00","0,00","1300,00","1200,00",
"2013","01200045","PLASTIK BUNGKUS","32400,00","32400,00","32400,00","32000,00",
"2013","01200085","PLASTIK INTERLAYER","27300,00","27000,00","27300,00","27000,00",
"2013","01200530","PLASTIK HITAM","29000,00","29000,00","29000,00","26500,00",
"2013","01200478","BOTTOM PALET","97500,00","0,00","0,00","67250,00",
"2013","00302001","MESRAN SUPER 10W  (KEMSAN DRUM)","21000,00","21000,00","22300,00","0,00",
"2013","00302003","ENVIRO 2T  (KEMSAN DRUM)","31182,00","31182,00","33000,00","33000,00",
"2013","00302004","MEDITRAN S-40  (KEMSAN DRUM)","21650,00","21650,00","22300,00","22300,00",
"2013","00302007","TURALIC  C-68  (KEMSAN DRUM)","22250,00","22250,00","23400,00","23400,00",
"2013","00302008","MESRAN SUPER 10W  (KEMSAN DOOS)","23500,00","23500,00","24800,00","24800,00",
"2013","00302010","ENVIRO 2T (KEMSAN DOOS)","33682,00","33682,00","35500,00","35500,00",
"2013","00302011","MEDITRAN S-40  (KEMSAN DOOS)","26364,00","26364,00","26740,00","26740,00",
"2013","00302014","TURALIC  C-68  (KEMSAN DOOS)","24750,00","24750,00","25900,00","25900,00",
"2013","01501190","BAN GOODYEAR UK.265/70  R16","1700000,00","1700000,00","1700000,00","1700000,00",
"2013","01501191","BAN GOODYEAR UK.265/75  R16","1870000,00","1870000,00","1870000,00","1870000,00",
"2013","01501182","BAN GOODYEAR UK.185/70 R14","1069000,00","0,00","1069000,00","0,00",
"2013","01501183","BAN GOODYEAR UK.195 / 65 R15","1069000,00","1069000,00","1069000,00","1069000,00",
"2013","01501184","BAN GOODYEAR UK.195 / 70 R14","1069000,00","1069000,00","1069000,00","1069000,00",
"2013","01501185","BAN GOODYEAR UK.195/65 15 B 250","1069000,00","1069000,00","1069000,00","0,00",
"2013","01501205","BAN GOODYEAR UK.750 X 16  - 14PR G2020","1978000,00","1978000,00","1978000,00","1978000,00",
"2013","01501201","BAN GOODYEAR UK.700 X 12  - 12PR","2335000,00","2335000,00","2335000,00","0,00",
"2013","01501203","BAN GOODYEAR UK.700 X 15  EXTRA GRIP","1371500,00","1371500,00","1371500,00","1371500,00",
"2013","01501207","BAN GOODYEAR UK.900 X 20 - 14 PR G2020","3498000,00","3498000,00","3498000,00","3498000,00",
"2013","01501179","BAN GOODYEAR UK.175 X 25 - 16PR","11918500,00","0,00","11918500,00","0,00",
"2013","01501200","BAN GOODYEAR UK.650 X 10 -  8PR","4042500,00","4042500,00","4042500,00","0,00",
"2013","01501175","BAN GOODYEAR UK.13.8 X 26 -  6PR","12000000,00","0,00","0,00","0,00",
"2013","01902090","BIBIT KOPI STEK SAMBUNG","8450,00","0,00","0,00","0,00",
"2013","01902091","BIBIT PISANG BARANGAN","5650,00","0,00","6300,00","0,00",
"2013","01902092","BIBIT MANGGIS VARIETAS WANAYASA","22000,00","0,00","0,00","0,00",
"2013","01902093","BIBIT MANGGIS VARIETAS PUSPAHYANG","26000,00","25000,00","25000,00","0,00",
"2013","01902094","BIBIT NANAS","14000,00","0,00","0,00","0,00",
"2013","01900205","BIBIT NANAS","1300,00","0,00","0,00","0,00",
"2013","01900208","BIBIT PEPAYA","4000,00","0,00","0,00","0,00",
"2013","01900169","BIBIT DURIAN","12000,00","0,00","14500,00","0,00",
"2013","01902095","BIBIT SIRSAK VARIETAS LOKAL SUMBAR","6000,00","0,00","0,00","0,00",
"2013","01902096","BIBIT TANAMAN KOPI","2500,00","0,00","0,00","0,00",
"2013","00202715","VITAMIN KARET PLUS","397775,00","0,00","0,00","380000,00",
"2013","01501146","BAN BRIDGESTONE UK.235/70 R15 - 6PR DUELER A/T 683","994500,00","0,00","1137390,00","0,00",
