"kodekebun","kodeafdeling","namaafdeling",
"13","02","Kantor Induk",
"13","10","Purbasari",
"13","11","Kiararoa",
"13","12","Srikandi",
"13","14","Citawa",
"13","20","Pabrik Purbasari",
"13","21","Pabrik Pasir Junghuhn",
"13","30","Teknik",
