"KodeUnit","kd_bud","nm_bud","inti",
"13","02","Teh","",
"13","20","Eucaliptus SP","",
"13","21","Sengon/Albazia","",
"13","29","Kayu Lainnya","",
"13","34","Alpukat","",
"13","36","Kopi","",
"13","37","Jeruk","",
