"kdjabatan","uraian",
"010210100","Kaur Pengemb. Investasi & Usaha Baru",
"010210110","Pjs.Kaur Pengemb. Investasi & Usaha Baru",
"010210120","Pymt.Kaur Pengemb. Investasi & Usaha Baru",
"010210130","Staf Urs.Pengembangan Investasi & Usaha Baru",
"010210140","Kary.Urs.Pengembangan Investasi & Usaha Baru",
"010210200","Kaur Perencanaan",
"010210210","Pjs.Kaur Perencanaan",
"010210220","Pymt.Kaur Perencanaan",
"010210230","Staf Urs.Perencanaan",
"010210240","Kary.Urs.Perencanaan",
"010210300","Kaur Teknologi Informasi & Komunikasi",
"010210310","Staf Urs.Teknologi Informasi & Komunikas",
"010210320","Kary.Urs.Teknologi Informasi & Komunikas",
"010220000","KEPALA BAGIAN TEKNOLOGI INFORMASI",
"070200009","Calon Staf Bidang Medis",
"010220010","KEPALA BAGIAN TEKNOLOGI INFORMASI & MANA",
"010220105","Kasubag Teknologi Informasi (TI)",
"010220110","Staf Urs Teknologi Informasi",
"010220115","Staf Subag Teknologi Informasi (TI)",
"010220120","Kary.Urs Teknologi Informasi",
"010220125","Kary.Subag Teknologi Informasi (TI)",
"010220200","Kaur Sistem Informasi Manajemen",
"010220205","Kasubag Sistem Informasi Manajemen",
"010220210","Staf Urs Sistem Informasi Manajemen",
"010220215","Staf Subag Sistem Informasi Manajemen",
"010220220","Kary.Urs Sistem Informasi Manejemen",
"000020000","DIREKTUR MANAJEMEN ASET",
"010220225","Kary.Subag Sistem Informasi Manejemen",
"010230100","Kepala Urusan Manajemen Kinerja",
"010230105","Pjs. Kepala Urusan Manajemen Kinerja",
"010230107","Kasubag Manajemen Kinerja",
"010230108","Pjs. Kasubag Manajemen Kinerja",
"010230110","Staf Urusan Manajemen Kinerja",
"010230113","Calon Staf Urusan Manajemen Kinerja",
"010230115","Staf Subag Manajemen Kinerja",
"010230120","Karyawan Urusan Manajemen Kinerja",
"010230125","Kary.Subag Manajemen Kinerja",
"010300000","KEPALA BAGIAN PKBL",
"010300010","Pjs.Kepala Bagian PKBL",
"010300020","Pymt.Kepala Bagian PKBL",
"010300100","Kaur Program Kemitraan",
"010300110","Staf Urs. Program Kemitraan",
"010300120","Kary.Urs. Program Kemitraan",
"010300200","Kaur Bina Lingkungan dan CSR",
"010300210","Staf Urs. Bina Lingkungan dan CSR",
"010300220","Kary.Urs. Bina Lingkungan dan CSR",
"010300300","Kaur Penyaluran PKBL & CSR",
"010300310","Staf Urs.Penyaluran PKBL & CSR",
"010300320","Kary.Urs.Penyaluran PKBL & CSR",
"010300400","Kaur Administrasi & Keuangan PKBL & CSR",
"010300410","Staf Urs.Administrasi & Keuangan PKBL &",
"010300420","Kary.Urs.Administrasi & Keuangan PKBL &",
"020100000","Kepala Bagian Akuntansi/komputer",
"020101001","Kaur Anggaran",
"020101002","Staf Anggaran",
"020101100","Kary.Urs.Anggaran",
"020102001","Kaur Pengembangan Sys.Komputerisasi",
"020102002","Staf Pengembangan Sys.Komputerisasi",
"020102100","Karyawan Pengembangan Sys.Komputerisasi",
"020102200","Petugas Teknisi Komputer",
"020103001","Kaur Tabin",
"020103002","Staf Tabin",
"020103100","Kary.Urs.Tabin",
"020104001","Kaur Pengol.Data/Pelap.Ank.Perush.",
"020104002","Staf Pengol.Data/Pelap.Ank.Perush.",
"020104100","Karyawan Pengol.Data/Pelap.Ank.Perush.",
"020110000","KEPALA BAGIAN AKUNTANSI",
"020110001","Pjs.KEPALA BAGIAN AKUNTANSI",
"020110010","Staf Setara Kabag Akuntansi",
"020110011","Pjs.Kaur Akuntansi & Pelaporan",
"020110020","Staf Urs.Akuntansi & Pelaporan",
"020110030","Kary.Urs.Akuntansi & Pelaporan",
"020120010","Kaur Verifikasi & Aktiva Tetap",
"020120020","Staf Urs.Verifikasi & Aktiva Tetap",
"020120021","Pjs.Kaur Verifikasi & Aktiva Tetap",
"020120030","Kary.Urs.Verifikasi & Aktiva Tetap",
"020130001","Kaur PKBL",
"020130002","Staf Urs.PKBL",
"020130003","Kary.Urs.PKBL",
"020130004","Pjs.Kaur PKBL",
"020140010","Kaur Verifikasi",
"020140020","Pjs.Kaur Verifikasi",
"020140030","Pymt.Kaur Verifikasi",
"020140040","Staf Urusan Verifikasi",
"020140050","Kary.Urusan Verifikasi",
"020150010","Kaur Manajemen Kinerja & Pelaporan",
"020150020","Pjs.Kaur Manajemen Kinerja & Pelaporan",
"020150030","Pymt.Kaur Manajemen Kinerja & Pelaporan",
"020150040","Staf Urs. Manajemen Kinerja & Pelaporan",
"020150050","Kary.Urs.Manajemen Kinerja & Pelaporan",
"020160100","Kepala Urusan Akuntansi & Verifikasi",
"020160105","Pjs.Kaur Akuntansi & Verifikasi",
"020160107","Kasubag Akuntansi dan Verifikasi",
"020160110","Staf Urs Akuntansi & Verifikasi",
"020160115","Staf Subag Akuntansi dan Verifikasi",
"020160130","Kary.Urs Akuntansi & Verifikasi",
"020160135","Kary.Subag Akuntansi dan Verifikasi",
"020160200","Kaur Perencanaan Perusahaan",
"020160205","Pjs. Kaur Perencanaan Perusahaan",
"020160206","Kasubag Perencanaan Perusahaan",
"020160207","Pjs.Kasubag Perencanaan Perusahaan",
"020160210","Staf Urs Perencanaan Perusahaan",
"020160215","Staf Subag Perencanaan Perusahaan",
"020160230","Kary.Urs Perencanaan Perusahaan",
"020160235","Kary. Subag Perencanaan Perusahaan",
"020160300","Kaur Manajemen Kinerja",
"020160310","Staf Urs Manajemen Kinerja",
"020160330","Kary.Urs Manajemen Kinerja",
"020200000","KEPALA BAGIAN KEUANGAN",
"020200001","Pjs.KEPALA BAGIAN KEUANGAN",
"020200010","Staf Setara Kabag Keuangan",
"020201001","Kaur TUK",
"020201002","Staf Urs.TUK",
"020201003","Pjs.Kaur TUK",
"020201010","Kasubag TUK",
"020201015","Staf Subag TUK",
"020201100","Kary.Urusan TUK",
"020201110","Calon Staf Urusan TUK",
"020202001","Kaur Pajak & Asuransi",
"020202002","Staf Urs.Pajak & Asuransi",
"020202003","Pjs.Kaur Pajak & Asuransi",
"020202005","Kasubag Pajak & Asuransi",
"020202010","Staf Urs.Pajak & Asuransi",
"020202011","Pjs.Kaur Pajak & Asuransi",
"020202015","Staf Subag Pajak & Asuransi",
"020202100","Kary.Urs.Pajak & Asuransi",
"020202101","Kary.Subag Pajak & Asuransi",
"020203001","Kaur Anggaran",
"020203002","Staf Urs.Anggaran",
"020203003","Kary.Urusan Anggaran",
"020203005","Kasubag Anggaran",
"020203010","Staf Urs.Anggaran",
"020203020","Kary.Urusan Anggaran",
"020203021","Kary.Subag Anggaran",
"020203100","Kaur Pengendalian Anggaran",
"020203110","Pjs.Kaur Pengendalian Anggaran",
"020203120","Pymt.Kaur Pengendalian Anggaran",
"020203121","Kasubag Pengendalian Anggaran",
"020203130","Staf Urs.Pengendalian Anggaran",
"020203135","Staf Subag Pengendalian Anggaran",
"020203140","Kary.Urs.Pengendalian Anggaran",
"020203150","Kary.Urs.Pengendalian Anggaran",
"020300000","KABAG OPTIMALISASI ASET & PENGEMB.USAHA",
"020300010","KABAG OPTIMALISASI ASET",
"020301000","Kaur Pengkajian & Pengembangan Usaha",
"020301010","Staf Urs Pengkajian & Pengembangan Usaha",
"020301030","Kary.Urs Pengkajian & Pengembangan Usaha",
"020302000","Kaur Pendayagunaan Aset",
"020302005","Kasubag Pendayagunaan Aset",
"020302010","Staf Urs Pendayagunaan Aset",
"020302015","Staf Subag Pendayagunaan Aset",
"020302030","Kary.Urs Pendayagunaan Aset",
"020302031","Kary.Subag Pendayagunaan Aset",
"020303000","Kaur Pengkajian Usaha",
