"kdjabatan","uraian",
"060729263","Karyawan Operasional",
"060729264","Karyawan Cleaning Service/Pemeliharaan",
"060729265","Karyawan Pemelihara Bangunan",
"060729270","Kary.Pemeliharaan Sarana Umum",
"070000000","Kepala Rumah Sakit",
"070000001","Manajer Rumah Sakit",
"070100001","Wk.Kepala Rumah Sakit",
"070100002","Kepala Instalasi",
"070100003","Kepala Seksi Pelayanan",
"070100004","Dokter Jaga",
"070100005","Kepala Administrasi",
"070200005","Kepala Seksi Perawatan",
"070200006","Dokter Gigi",
"070200007","Staf Bidang Medis",
"070200008","Staf Bidang Administrasi",
"040400000","INSPEKTUR",
"040401001","Kaur Tanaman",
"040401002","Staf Urs Tanaman",
"040401100","Karyawan Urs.Tanaman",
"040402001","Kaur Teknik/Teknologi",
"040402002","Staf Urs Teknik/Teknologi",
"040402100","Karyawan Urs.Teknik/Teknologi",
"040402104","Petugas Pool/Bengkel",
"040402105","Pengemudi",
"040402106","Petugas Diesel",
"040403001","Kaur Adsi & Umum",
"040403002","Staf Urs Adsi & Umum",
"040403100","Karyawan Urs.Adsi & Umum",
"040403102","Petugas Urs Keuangan/Umum",
"040403103","Petugas Kasir",
"040403105","Sekretaris",
"050130200","Pymt.Kaur Penjualan Aneka Usaha Lainnya",
"050130210","Staf Urs.Penjualan Aneka Usaha Lainnya",
"050130220","Kary.Urs.Penjualan Aneka Usaha Lainnya",
"050140000","Kaur Pemasaran Non Teh",
"050140100","Pjs. Kaur Pemasaran Non Teh",
"050140200","Pymt.Kaur Pemasaran Non Teh",
"050140210","Staf Pemasaran Non Teh",
"050140220","Karyawan Pemasaran Non Teh",
"050200000","KEPALA BAGIAN PENGADAAN BARANG & JASA",
"050200001","Pjs.KEPALA BAGIAN PENGADAAN",
"050201001","Kaur Pengad.Brg.& Js.Sar.Produksi",
"050201002","Staf Urs.Pengad.Brg.& Js.Sar.Produksi",
"050201010","Staf Urs.Pengad.Brg.& Js.Sar.Produksi",
"050201100","Karyawan Urs.Brg.Js.Sar.Produksi",
"050202001","Kaur Pengad.Brg.& Js.Sar.Penunjang",
"050202002","Staf Urs.Pengad.Brg.& Js.Sar.Penunjang",
"050202010","Staf Urs.Pengad.Brg.& Js.Sar.Penunjang",
"050202100","Karyawan Urs.Brg.Js.Sar.Penunjang",
"050203000","Kaur Adsi Pengadaan Barang & Jasa",
"050203010","Pjs.Kaur Adsi Pengadaan Barang & Jasa",
"050203020","Pymt.Kaur Adsi Pengadaan Barang & Jasa",
"050203025","Kasubag Adsi Pengadaan Barang & Jasa",
"050203030","Staf Urs.Adsi Pengadaan Barang & Jasa",
"050203035","Staf Subag Adsi Pengadaan Barang & Jasa",
"050203040","Kary.Urs.Adsi Pengadaan Barang & Jasa",
"050203045","Kary.Subag Adsi Pengadaan Barang & Jasa",
"050204000","Kaur Pengadaan Barang & Jasa",
"050204010","Pjs. Kaur Pengadaan Barang & Jasa",
"050204020","Pymt.Kaur Pengadaan Barang & Jasa",
"050204025","Kasubag Pengadaan Barang & Jasa",
"050204026","Pjs.Kasubag Pengadaan Barang & Jasa",
"050204030","Staf Urs.Pengadaan Barang & Jasa",
"050204035","Staf Subag Pengadaan Barang & Jasa",
"050204040","Kary.Urs.Pengadaan Barang & Jasa",
"050204045","Kary.Subag Pengadaan Barang & Jasa",
"050300000","KEPALA BAGIAN ANEKA USAHA",
"050300001","Pjs.KEPALA BAGIAN ANEKA USAHA",
"050300002","Pymt.KEPALA BAGIAN ANEKA USAHA",
"050300003","Staf Setara Kepala Bagian - Aneka Usaha",
"050301000","Kaur Hortikultura",
"050301001","Pjs.Kaur Hortikultura",
"050301002","Pymt.Kaur Hortikultura",
"050301010","Staf Urs.Hortikultura",
"050301020","Kary.Urs.Hortikultura",
"050302000","Kaur Administrasi Aneka Usaha",
"050302001","Pjs.Kaur Administrasi Aneka Usaha",
"050302002","Pymt.Kaur Administrasi Aneka Usaha",
"050302010","Staf Urs.Administrasi Aneka Usaha",
"050302011","Calon Staf Urs.Administrasi Aneka Usaha",
"050302020","Kary.Urs.Administrasi Aneka Usaha",
"050303000","Kaur Aneka Usaha Lainnya",
"050303001","Pjs.Kaur Aneka Usaha Lainnya",
"050303002","Pymt.Kaur Aneka Usaha Lainnya",
"050303010","Staf Urs.Aneka Usaha Lainnya",
"050303020","Kary.Urs.Aneka Usaha Lainnya",
"051100000","GENERAL MANAGER INDUSTRI HILIR TERPADU",
"051100100","Asisten Manager Bidang Usaha",
"051100110","Staf Bidang Usaha",
"051100130","Karyawan Bidang Usaha",
"051100200","Asisten Manager Bidang Promosi",
"051100210","Staf Bidang Promosi",
"051100230","Karyawan Bidang Promosi",
"051100300","Asisten Manager Bidang Administrasi",
"051100310","Staf Bidang Administrasi",
"051100330","Karyawan Bidang Administrasi",
"051101000","MANAGER INDUSTRI HILIR TEH",
"051101001","MANAJER INDUSTRI HILIR TEH",
"051101100","Asisten Manager Bidang Pemasaran",
"051101105","Asisten Kepala Pemasaran",
"051101110","Staf Bidang Pemasaran",
"051101115","Staf Pemasaran",
"051101130","Karyawan Bidang Pemasaran",
"051101200","Asisten Manager Bidang Produksi",
"051101203","Kepala Produksi",
"051101204","Kepala Pengolahan",
"051101205","Pjs. Kepala Pengolahan",
"051101206","Asisten Kepala Produksi",
"051101207","Asisten Pengolahan",
"051101208","Asisten Produksi",
"051101210","Staf Bidang Produksi",
"051101230","Karyawan Bidang Produksi",
"051101240","Petugas PPIC",
"051101250","Petugas Quality Control",
"051101260","Kepala Pool Kendaraan",
"051101270","Mandor Besar Teknik Mesin",
"051101275","Mandor Teknik",
"051101300","Asisten Manager Bidang Umum",
"051101301","Pjs.Asisten Manager Bidang Umum",
"051101303","Asisten Kepala Umum",
"051101304","Pjs.Asisten Kepala Umum",
"051101305","Asisten Keuangan dan Akuntansi",
"051101310","Staf Bidang Umum",
"051101315","Staf Umum",
"051101330","Kary.Bidang Umum",
"051101335","JTU Umum",
"051102000","MANAGER AGROWISATA",
"051102100","Asisten Manager Bidang Pemasaran",
"051102105","Asisten Kepala Pemasaran",
"051102110","Staf Bidang Pemasaran",
"051102115","Staf Pemasaran",
"051102130","Karyawan Bidang Pemasaran",
"051102200","Asisten Manager Bidang Sarana & Prasaran",
"051102205","Asisten Kepala Sarana & Prasaran",
"051102210","Staf Bidang Sarana & Prasarana",
"051102215","Staf Sarana & Prasarana",
"051102230","Kary.Bidang Sarana & Prasarana",
"051102300","Asisten Manager Bidang Umum",
"051102305","Asisten Kepala Umum",
"051102310","Staf Bidang Umum",
"051102315","Staf Umum",
"051102330","Karyawan Bidang Umum",
"051103000","MANAGER ANEKA USAHA",
"051103001","Pjs.Manajer Aneka Usaha",
"051103002","Pymt.Manajer Aneka Usaha",
"051103003","Staf Setara Manajer Aneka Usha",
"051103004","MANAJER ANEKA USAHA",
"051103010","Pjs.MANAJER ANEKA USAHA",
"051103100","Asisten Manager Bidang Pemasaran",
"051103101","Pjs.Asisten Manager Bidang Pemasaran",
"051103105","Asisten Kepala Pemasaran",
"051103110","Staf Bidang Pemasaran",
"051103112","Staf Pemasaran",
"051103115","Supply Chain & Material Supervisor",
"051103116","Warehouse & QC Supervisor",
"051103117","Staf Supply Chain & Material Supervisor",
"051103118","Staf Warehouse & QC Supervisor",
"051103130","Karyawan Bidang Pemasaran",
"051103200","Asisten Manager Bidang Produksi",
"051103201","Pjs.Asisten Manager Bidang Produksi",
"051103205","Asisten Kepala Produksi",
"051103206","Pjs.Asisten Kepala Produksi",
"051103210","Staf Bidang Produksi",
"051103215","Staf Produksi",
"051103230","Kary.Bidang Produksi",
"051103300","Asisten Manager Bidang Umum",
"051103301","Pjs.Asisten Manager Bidang Umum",
"051103305","Asisten Kepala Umum",
"051103306","Pjs.Asisten Kepala Umum",
"051103310","Staf Bidang Umum",
"051103314","Calon Staf Bidang Umum",
"051103315","Petugas Tabin",
"051103320","Petugas Umum",
"051103330","Kary.Bidang Umum",
"051103341","Petugas Tabin",
"051103351","Petugas Tanaman",
"051103361","Anggota Satpam/Waker",
"051103400","Asisten Manager Supply Chain",
"051103405","Pjs. Asisten Manager Supply Chain",
"051103407","Asisten Kepala Supply Chain",
"051103410","Staf Manager Supply Chain",
"051103430","Karyawan Supply Chain",
"051103500","Asisten Kepala Pemasaran",
"051103510","Asisten Pemasaran",
"051103520","Karyawan Pemasaran",
"040404005","Staf Dpb.Dir.Produksi",
"040405006","Tap Control Wil.III & IV",
"040500000","MANAJER UNIT BISNIS",
"040501000","Kepala Bidang Tanaman",
"040501001","Kaur Tanaman",
"040501002","Staf Tanaman",
"040501100","Karyawan Urs.Tanaman",
"040502000","Kepala Bidang Teknik/Teknologi",
"040502001","Kaur Teknik/Teknologi",
"040502002","Staf Teknik/Teknologi",
"040502100","Karyawan Urs.Teknik/Teknologi",
"040502104","Petugas Pool/Bengkel",
"040502105","Pengemudi",
"040502106","Petugas Diesel",
"040503000","Kepala Bidang Adsi/Keuangan",
"040503001","Kaur Administrasi & Keuangan",
"040503002","Staf Urs Administrasi & Keuangan",
"040503100","Karyawan Urs Adsi & Keuangan",
"040503102","Petugas Urs Keuangan & Umum",
"040503103","Petugas Kasir",
"040503104","Staf Urs Kesehatan",
"040503105","Sekretaris",
"040503106","Kary.Urusan URT",
"040504005","Staf Dpb. Direktur",
"040505006","Taf Kontrol",
"040510001","MANAJER GRUP KOMODITI TEH",
"040510002","MANAJER GRUP KOMODITI NON TEH",
"040510100","Staf Setara Kaur",
"040510101","Staf Kantor Grup",
"040510102","Staf Urs.Tanaman",
"040510110","Kary.Urs.Tanaman",
"040510200","Staf Urs.Teknik dan Pengolahan",
"040510210","Kary.Urs.Teknik & Pengolahan",
"040510211","Pengemudi",
"040510300","Staf Administrasi",
"040510310","Kary.Urs.Administrasi",
"040510311","Anggota Satpam",
"040510312","Pramubakti",
"040510313","Operator Telepon",
"040600000","MANAJER WILAYAH",
"040601000","Kaur Tanaman",
"040601010","Pjs.Kaur Tanaman",
"040601020","Pymt.Kaur Tanaman",
"040601021","Staf Setara Kaur Kantor Wilayah",
"040601030","Staf Urs.Tanaman",
"040601040","Kary.Urs.Tanaman",
"040602000","Kaur Teknik & Pengolahan",
"040602010","Pjs.Kaur Teknik & Pengolahan",
"040602020","Pymt.Kaur Teknik & Pengolahan",
"040602030","Staf Urs.Teknik & Pengolahan",
"040602040","Kary.Urs.Teknik & Pengolahan",
"040602050","Pengemudi",
"040603000","Kaur Administrasi",
"040603010","Pjs.Kaur Administrasi",
"040603020","Pymt.Kaur Administrasi",
"040603030","Staf Urs.Administrasi",
"040603040","Kary.Urs.Administrasi",
"040603050","Anggota Satpam",
"040603060","Pramubakti",
"040700000","MANAGER QUALITY CONTROL",
"040700004","GENERAL MANAGER QUALITY CONTROL",
"040701000","Asisten Manajer Bidang Tanaman",
"040701010","Pjs Asisten Manajer Bidang Tanaman",
"040701020","Pymt Asisten Manajer Bidang Tanaman",
"040701022","Kepala Bidang Tanaman",
"040701023","Pjs.Kepala Bidang Tanaman",
"040701030","Asisten Bidang Tanaman",
"040701035","Staf Bidang Tanaman",
"040701040","Karyawan Bidang Tanaman",
"040702000","Asisten Manajer Bidang Teknik & Pengolah",
"040702010","Pjs Asisten Manajer Bidang Teknik & Peng",
"040702020","Pymt Asisten Manajer Bidang Teknik & Pen",
"040702030","Asisten Bidang Teknik & Pengolahan",
"040702050","Pengemudi",
"040703000","Asisten Manajer Bidang Administrasi",
"040703010","Pjs Asisten Manajer Bidang Administrasi",
"040703020","Pymt Asisten Manajer Bidang Administrasi",
"040703022","Kepala Bidang Administrasi",
"040703023","Pjs.Kepala Bidang Administrasi",
"040703030","Asisten Bidang Administrasi",
"040703035","Staf Bidang Administrasi",
"040703040","Karyawan Bidang Administrasi",
"040703050","Anggota Satpam",
"040703060","Pramubakti",
"040705000","Kepala Bidang Teknik & Pengolahan",
"040705010","Pjs.Kepala Bidang Teknik & Pengolahan",
"040705100","Staf Bidang Teknik & Pengolahan",
"040705200","Karyawan Bidang Teknik & Pengolahan",
"040801000","Asisten Manajer Bidang Usaha",
"040801010","Pjs Asisten Manajer Bidang Usaha",
"040801020","Pymt Asisten Manajer Bidang Usaha",
"040801030","Asisten Bidang Usaha",
"040901000","Asisten Manajer Bidang Promosi",
"040901010","Pjs Asisten Manajer Bidang Promosi",
"040901020","Pymt Asisten Manajer Bidang Promosi",
"040901030","Asisten Bidang Promosi",
"041001000","Asisten Manajer Bidang Umum",
"041001010","Pjs Asisten Manajer Bidang Umum",
"041001020","Pymt Asisten Manajer Bidang Umum",
"041001030","Asisten Bidang Umum",
"041101000","Kepala Bidang Usaha",
"041101100","Staf Bidang Usaha",
"041101200","Karyawan Bidang Usaha",
"041102000","Kepala Bidang Promosi",
"041102100","Staf Bidang Promosi",
"041102200","Karyawan Bidang Promosi",
"041103000","Kepala Bidang Umum",
"041103100","Staf Bidang Umum",
"041103200","Karyawan Bidang Umum",
"050100000","KEPALA BAGIAN PEMASARAN",
"050100001","Pjs.KEPALA BAGIAN PEMASARAN",
"050100002","Pymt.KEPALA BAGIAN PEMASARAN",
"050100010","Staf Setara Kabag Pemasaran",
"050101000","Staf Ahli Direktur Pemasaran",
"050101001","Kaur Pemasaran K3SG",
"050101002","Staf Pemasaran K3SG",
"050101100","Kary.Urs.Pemasaran K3SG",
"050102001","Kaur Pemasaran Teh & Kina",
"050102002","Staf Pemasaran Teh & Kina",
"050102100","Kary.Urs.Pemasaran Teh & Kina",
"050103001","Kaur Adsi Pemasaran",
"050103002","Staf Adsi Pemasaran",
"050103003","Staf Marketing Intelijen",
"050103004","Calon Staf Administrasi Pemasaran",
"050103005","Kasubag Adsi Pemasaran",
"050103010","Staf Adsi Pemasaran",
"050103015","Staf Subag Adsi Pemasaran",
"050103016","Calon Staf Administrasi Pemasaran",
"050103100","Karyawan Urs.Adsi Pemasaran",
"050103110","Karyawan Subag Adsi Pemasaran",
"050104000","Kaur Pemasaran Teh",
"050104001","pymt.Kaur Pemasaran Teh",
"050104002","Pjs.Kaur Pemasaran Teh",
"050104003","Kasubag Pemasaran Teh",
"050104010","Staf Urs Pemasaran Teh",
"050104015","Staf Subag Pemasaran Teh",
"050104030","Kary.Urs Pemasaran Teh",
"050104035","Kary.Subag Pemasaran Teh",
"050105000","Kaur Pemasaran Karet dan Sawit",
"050105001","pymt.Kaur Pemasaran Karet dan Sawit",
"050105002","Pjs.Kaur Pemasaran Karet dan Sawit",
"050105005","Kasubag Pemasaran Karet dan Kelapa Sawit",
"050105010","Staf Urs Pemasaran Karet dan Sawit",
"050105015","Staf Subag Pemasaran Karet dan Sawit",
"050105100","Kary.Urs Pemasaran Karet dan Sawit",
"050105105","Kary.Subag Pemasaran Karet dan Kela",
"050110000","Kaur Persediaan & Distribusi",
"050110100","Pjs.Kaur Persediaan & Distribusi",
"050110200","Pymt.Kaur Persediaan & Distribusi",
"050110210","Staf Urs.Persediaan & Distribusi",
"050110211","Calon Staf Urs.Persediaan & Distribusi",
"050110220","Kary.Urs.Persediaan & Distribusi",
"050120000","Kaur Penjualan",
"050120100","Pjs.Kaur Penjualan",
"050120200","Pymt.Kaur Penjualan",
"050120210","Staf Urs.Penjualan",
"050120215","Calon Staf Urs.Penjualan",
"050120220","Kary.Urs.Penjualan",
"050130000","Kaur Penjualan Aneka Usaha Lainnya",
"050130100","Pjs.Kaur Penjualan Aneka Usaha Lainnya",
"070204002","Kepala Poliklinik/UGD",
"070204100","Wakil Kepala Poliklinik/UGD",
"070204101","Kepala Jaga Poliklinik/UGD",
"070204102","JTU Poliklinik/UGD",
"070204201","Perawat Poliklinik/UGD",
"070204202","Pembantu Perawat Poliklinik/UGD",
"070205100","Penanggung Jawab Kebidanan",
"070205201","Bidan Pelaksana",
"070310002","Kepala Rekam Medis",
"070310101","Pengawas Rekam Medis/Pendaftaran",
"070310201","Karyawan Rekam Medis",
"070310202","Karyawan Pendaftaran",
"070320002","Kepala Apotik",
"070320100","Pengawas/Ass.Apoteker",
"070320201","Karyawan Apotik",
"070330002","Kepala Laboratorium",
"070330100","Pengawas Laboratorium",
"070330201","Karyawan Laboratorium",
"070340002","Kepala Rontgen",
"070340100","Pengawas Rontgen",
"070340201","Karyawan Rontgen",
"070350002","Kepala Fisioterapi",
"070350100","Pengawas Fisioterapi",
"070350201","Karyawan Fisioterapi",
"070360100","Kepala Instalasi Gizi",
"070360101","Pengawas Instalasi Gizi",
"070360201","Karyawan Instalasi Gizi",
"070370100","Kepala Laundry",
"070370101","Pengawas Laundry",
"070370201","Karyawan Laundry",
"070800001","Kepala Administrasi",
"070800002","Sinder TUK",
"070800003","Asisten Sinder TUK.",
"070800004","Pjs.Asisten Kepala Administrasi",
"070800005","Asisten Kepala Administrasi",
"070801100","Petugas PIK",
"070801101","JTU PIK",
"070802100","Petugas Tabin",
"070802146","Pembantu Tabin",
"070802147","JTU TUP",
"070802299","Operator Komputer",
"070803100","Petugas Keuangan/Pengadaan",
"070803148","JTU Pengadaan Barang/Jasa",
"070803149","Kasir",
"070804100","Petugas Kas",
"070804149","JTU Kasir",
"070805100","Petugas Gudang",
"070805150","JTU Gudang",
"070805250","Pelayan Gudang",
"070806100","Petugas Umum",
"070806151","JTU Sekretariat",
"070806152","JTU Personalia/HerRegistrasi",
"070806153","JTU Umum",
"070806154","Rohbun/Guru Agama/Guru TK/Amil",
"070806155","Diklat",
"070806299","Operator Telepon",
"070807100","Kepala Keamanan",
"070807159","Wkl. Kepala Keamanan",
"070807259","Anggota Satpam/Waker",
"070807260","Cleaning Service",
"070808100","Mandor Besar Teknik",
"070808101","Mandor Teknik",
"070808201","Teknik Listrik",
"070808202","Tukang Ledeng/Perairan",
"070808203","Pengemudi",
"070809100","Petugas Rumah Tangga",
"070809101","Koordinator Cleaning Service",
"070809201","Pelaksana Cleaning Service",
"070838002","Kepala Unit Kamar Operasi",
"071000000","MANAJER RUMAH SAKIT",
"071001000","WAKIL MANAJER MEDIK & PELAYANAN",
"071001100","STAF PERAWATAN",
"071001200","STAF PENUNJANG & PELAYANAN MEDIS",
"071002000","WAKIL MANAJER UMUM & KEUANGAN",
"071002100","STAF PELAYANAN",
"071002200","STAF ADMINISTRASI",
"071003000","KEPALA BALAI PENGOBATAN PASIR YUNGHUHN",
"080000000","Administratur IHT",
"080100002","Sinder TUK",
"080100003","Asisten Sinder TUK",
"080100004","Staf IHT",
"080100100","Petugas PIK",
"080101100","Petugas Tabin",
"080101146","Pembantu Tabin",
"080101147","JTU TUP",
"080101299","Operator Komputer",
"080102100","Petugas Pemasaran (Penjualan/Pembelian)",
"080102148","JTU Pemasaran (Penjualan/Pembelian)",
"080103100","Petugas Kas",
"080103149","JTU Kasir",
"080104100","Petugas Gudang",
"080104150","JTU Barang Bahan",
"080104151","JTU Gudang Produksi",
"080104250","Pelayan Gudang",
"080105100","Petugas Umum",
"080105153","JTU Umum",
"080105253","Keamanan/Satpam",
"080105254","Pramubakti",
"080106100","Petugas Keuangan/Pengadaan",
"080106148","JTU Pengadaan Barang/Jasa",
"080106149","Kasir",
"080200002","Sinder Teknik/Teknologi",
"080200010","Asisten Teknik/Teknologi",
"080201100","Mandor Besar Produksi",
"080201101","Mandor Teh Celup",
"080201102","Mandor Teh Curah",
"080201201","Karyawan Produksi",
"080202100","Mandor Besar Teknik",
"080202102","Mandor Teknik",
"080202103","Petugas Uji Mutu",
"080202202","Karyawan Teknik",
"080202203","Pengemudi",
"080203100","Petugas Uji Mutu",
"080209100","JTU Teknik/Pengolahan",
"081000000","MANAJER INDUSTRI HILIR",
"081001000","Wakil Manajer Produksi",
"081001010","Pjs.Wakil Manajer Produksi",
"081001100","Kepala Produksi",
"081001110","Mandor Besar Produksi",
"081001111","Mandor Produksi",
"081001112","Mandor Teh Celup/Curah",
"081001113","Karyawan Produksi",
"081001114","Petugas Uji Mutu",
"081001115","JTU Teknik/Pengolahan",
"081001116","Karyawan Uji Mutu",
"081001200","Kepala Teknik & Pemeliharaan",
"081001210","Mandor Besar Teknik",
"081001211","Mandor Teknik",
"081001213","Karyawan Teknik",
"081001214","Pengemudi",
"081001215","Mandor Listrik",
"081002000","Wakil Manajer Pemasaran",
"081002100","Kepala Pengembangan Produk",
"081002105","Asisten Pengembangan Produk",
"081002200","Kepala Promosi",
"081002300","Kepala Penjualan",
"081002400","Kepala Distribusi",
"081002410","Petugas Distribusi",
"081003000","Wakil Manajer Umum",
"081003111","Petugas Tabin",
"081003112","Pembantu Tabin",
"081003113","JTU TUP",
"081003114","Operator Komputer",
"081003115","Petugas Pemasaran (Penjualan/Pembelian)",
"081003116","JTU Pemasaran (Penjualan/Pembelian)",
"081003117","Petugas Kas",
"081003118","JTU Kasir",
"081003119","Petugas Gudang",
"081003120","JTU Barang Bahan",
"081003121","JTU Gudang Produksi",
"081003122","Pelayan Gudang",
"081003123","Petugas Keuangan/Pengadaan",
"081003124","Karyawan Pemasaran/Penjualan/Distribusi",
"081003200","Kepala Kepegawaian & Pengadaan",
"081003205","Kepala Keamanan",
"081003210","Petugas Umum",
"081003211","JTU Umum",
"081003212","Anggota Satpam",
"081003213","Pramubakti",
"081003214","JTU Pengadaan Barang/Jasa",
"081003215","Kasir",
"081003216","Agendaris",
"081003217","JTU Pembantu",
"081004000","Staf Industri Hilir",
"082000000","MANAJER AGROWISATA",
"082001000","Wakil Manajer Unit II",
"082001100","Kepala Operasi Malabar",
"082001200","Kepala Operasi Rancabali",
"082001300","Kepala Operasi Ciater",
"082001400","Kepala Operasi Sukawana",
"082002000","Wakil Manajer Unit I",
"082002100","Kepala Operasi",
"082002113","Penanggungjawab Restribusi",
"082002120","Koordinator Unit",
"082002200","Kepala Sarana & Prasarana",
"082002210","Penanggungjawab Pondokan",
"082002215","Penanggungjawab Catering",
"082002300","Kepala Administrasi",
"082002305","Asisten Administrasi",
"082002310","Petugas Tabin",
"082002313","Petugas PIK",
"082002314","Anggota PIK",
"082002315","Petugas Kasir",
"020304015","Staf Subag Research And Development (R",
"020304030","Kary.Research And Development (R & D)",
"020304035","Kary.Subag Research And Development",
"030100000","KEPALA BAGIAN SDM",
"030101001","Kaur Personalia",
"030101002","Staf Urs.Personalia",
"030101003","Pjs.Kaur Personalia",
"030101004","Staf Setara Kaur SDM",
"030101100","Kary.Urs.Personalia",
"030102001","Kaur Kesejahteraan",
"030102002","Staf Urs.Kesejahteraan",
"030102003","Kary.Urs.Kesejahteraan",
"030103001","Kaur Diklat",
"030103002","Staf Urs.Diklat",
"030103004","Staf Agendaris",
"030103100","Kary.Urs.Diklat",
"030104000","Dokter Koordinator",
"030104001","Kepala Urusan Kesehatan",
"030104002","Dokter Gigi",
"030104003","Dokter Umum",
"030104004","Staf Kesehatan",
"030104100","Kary.Urs.Kesehatan",
"030105000","Staf Dpb.Direksi",
"030106001","Kaur PSDM & Organisasi",
"030106002","Staf PSDM & Organisasi",
"030106003","Kary.Urs.PSDM & Organisasi",
"030106004","Pjs.Kaur PSDM & Organisasi",
"030107001","Kaur Kesehatan & Kesra",
"030107002","Staf Kesehatan & Kesra",
"030107003","Kary.Urs.Kesehatan & Kesra",
"030107004","Pjs.Kaur Kesejahteraan",
"030108000","Kaur Personalia dan Kesra",
"030108100","Pjs.Kaur Personalia dan Kesra",
"030108110","Pymt.Kaur Personalia dan Kesra",
"030108120","Pymt.Kaur Personalia dan Kesra",
"030108200","Staf Urs.Personalia dan Kesra",
"030108210","Kary.Urs.Personalia dan Kesra",
"030110000","KEPALA BAGIAN PERENC.& PENGENDALIAN SDM",
"030110100","Kaur Perencanaan & Pengembangan SDM",
"030110103","Kasubag Perencanaan & Pengembangan SDM",
"030110105","Pjs.Kaur Perencanaan & Pengembangan SDM",
"030110110","Staf Urs Perencanaan & Pengembangan SDM",
"030110113","Staf Subag Perencanaan & Pengembangan S",
"030110115","Kary.Urs Perencanaan & Pengembangan SDM",
"030110116","Kary.Subag Perencanaan & Pengembangan SDM",
"030110200","Kaur Pengendalian SDM",
"030110205","Kasubag Pengendalian SDM",
"030110210","Staf Urs Pengendalian SDM",
"030110212","Staf Subag Pengendalian SDM",
"030110215","Kary.Urs Pengendalian SDM",
"030111217","Kary.Subag Pengendalian SDM",
"030200000","KEPALA BAGIAN UMUM & HUKUM",
"030200001","Staf Ahli Bagian Umum",
"030200002","Staf Administrasi Bag.Umum",
"030201001","Kepala Urusan Agraria",
"030201002","Staf Urs.Agraria",
"030201100","Kary.Urs.Agraria",
"030202001","Kepala Urusan Hukum",
"030202002","Staf Urs.Hukum",
"030202005","Kasubag Hukum",
"030202100","Kary.Urs.Hukum",
"030203001","Kaur Hukum & Keamanan",
"030203002","Staf Urs.Hukum & Keamanan",
"030203003","Koordinator Keamanan",
"030203100","Kary.Urs.Hukum & Keamanan",
"030203101","Anggota Satpam",
"030204001","Kaur Rumah Tangga",
"030204002","Staf Urs.Rumah Tangga",
"030204100","Kary.Urs.Rumah Tangga",
"030204101","Pengemudi",
"030204102","Pramubakti",
"030205000","Pjs.Kaur Rumah Tangga",
"030210000","KEPALA BAGIAN HUKUM & UMUM",
"030210001","Pjs.KEPALA BAGIAN HUKUM & UMUM",
"030210005","KEPALA BAGIAN HUKUM & PKBL",
"030210010","Staf Setara Kabag Hukum & Umum",
"030210011","Staf Setara Kabag Hukum & Umum",
"030210100","Kaur Hukum & Pertanahan",
"030210110","Pjs.Kaur Hukum & Pertanahan",
"030210120","Pymt.Kaur Hukum & Pertanahan",
"030210121","Staf Setara Kaur Bagian Hukum & Umum",
"030210130","Staf Urs.Hukum & Pertanahan",
"030210140","Kary.Urs.Hukum & Pertanahan",
"030210200","Kaur Umum",
"030210210","Pjs.Kaur Umum",
"030210220","Pymt.Kaur Umum",
"030210230","Staf Urs.Umum",
"030210240","Kary.Urs.Umum",
"030210241","Calon Staf Urs.Umum",
"030210242","Anggota Satpam",
"030210243","Pengemudi",
"030210244","Pramubakti",
"030210245","Petugas Arsip",
"030211000","Kepala Urusan Hukum",
"030211005","Pjs.Kepala Urusan Hukum",
"030211007","Kasubag Hukum",
"030211010","Staf Urusan Hukum",
"030211015","Staf Subag Hukum",
"030211020","Kary.Ursusan Hukum",
"030211021","Kary.Subag Hukum",
"030212000","Kepala Urusan Pertanahan",
"030212005","Kasubag Pertanahan",
"030212010","Staf Urusan Pertanahan",
"030212015","Staf Subag Pertanahan",
"030212020","Kary.Urusan Pertanahan",
"030212021","Kary.Subag Pertanahan",
"030213000","Kepala Urusan PKBL",
"030213007","Kasubag PKBL",
"030213010","Staf Urusan PKBL",
"030213015","Staf Subag PKBL",
"030213020","Karyawan Urusan PKBL",
"030213025","Kary.Subag PKBL",
"030300000","Kepala Bagian Sekretariat",
"030301000","SEKRETARIS PERUSAHAAN",
"030301001","Kepala Urusan Urdal",
"030301002","Staf Urdal",
"030301100","Karyawan Urdal",
"030301200","Pengemudi",
"030302001","Kaur Sekretariat",
"030302002","Staf Urs.Sekretariat",
"030302003","Pjs.Kaur Sekretariat",
"030302004","Calon Staf Urs.Sekretariat",
"030302009","Sekretaris",
"030302100","Kary.Urs.Sekretariat",
"030302202","Pramubakti",
"030302203","Petugas Mess",
"030302204","Resepsionis",
"030302205","Operator Telepon",
"030302206","Petugas Surat-surat/Pos",
"030302207","Petugas Pengarsipan",
"030303001","Kaur Humas",
"030303002","Staf Urs.Humas",
"030303003","Kary.Urs.Humas",
"030303101","Kepala Keamanan",
"030303201","Anggota Satpam",
"030303202","Sekretaris FSP-BUN PTPN Jakarta",
"030304001","Kaur Humas & Agrowisata",
"030304002","Staf Urs.Humas & Agrowisata",
"030304100","Kary.Humas & Agrowisata",
"030305001","Kaur Kepatuhan & GCG",
"030305002","Staf Urs.Kepatuhan & GCG",
"030305003","Kary.Urs.Kepatuhan & GCG",
