"NPP","NoUrut","TKPendidikan","Pendidikan","Nama","Kota","StatAkreditasi","DNLN","TahunAwal","TahunAkhir","StatLulus","NoIjasah","TglIjasah","Nilai","Grade","UserId","TglInput",
"01110674040751","002","","3A00","IPA","BANDUNG","1","D","","1992","Y","No:02 OB og 0170369","12-06-1992 00:00:00","72","6","","01-01-1900 00:00:00",
"02017861015940","001","","1A00","SD","BANDUNG","Diakui","D","","","Y","","01-01-1900 00:00:00","0","","","01-01-1900 00:00:00",
"01110669040752","001","3","3Z00","IPS","BANDUNG","1","D","","2003","L","No:10PC001484","17-11-2003 00:00:00","0","","","01-01-1900 00:00:00",
"01028560024857","001","","1A00","SD/SR","BANDUNG","Diakui","D","","","Y","","01-01-1900 00:00:00","0","","","01-01-1900 00:00:00",
"01048465022741","001","","3A00","UPT SLTA","BANDUNG","Diakui","D","","","Y","","01-01-1900 00:00:00","0","","","01-01-1900 00:00:00",
"01048465022766","001","","2A00","SMP","BANDUNG","Diakui","D","","","Y","","01-01-1900 00:00:00","0","","","01-01-1900 00:00:00",
"01077961018072","001","","1A00","SD","BANDUNG","Diakui","D","","","Y","","01-01-1900 00:00:00","0","","","01-01-1900 00:00:00",
"01078565025611","001","","1A00","SD","BANDUNG","Diakui","D","","","Y","","01-01-1900 00:00:00","0","","","01-01-1900 00:00:00",
"YAYAT WH.","001","","3DC0","SMEA","BANDUNG","Disamakan","D","1982","1985","Y","","01-01-1900 00:00:00","0","","","01-01-1900 00:00:00",
"01048464022718","001","","1A00","SD","BANDUNG","Diakui","D","","","Y","","01-01-1900 00:00:00","0","","","01-01-1900 00:00:00",
"01058567025280","001","","1A00","SD","BANDUNG","Diakui","D","","","Y","","01-01-1900 00:00:00","0","","","01-01-1900 00:00:00",
"01078463023204","001","","1A00","SD","BANDUNG","Diakui","D","","","Y","","01-01-1900 00:00:00","0","","","01-01-1900 00:00:00",
"01108563026372","001","","1A00","SD","BANDUNG","Diakui","D","","","Y","","01-01-1900 00:00:00","0","","","01-01-1900 00:00:00",
"02017862015946","001","","1A00","SD","BANDUNG","Diakui","D","","","Y","","01-01-1900 00:00:00","0","","","01-01-1900 00:00:00",
"01108563026373","001","","2A00","SMP","BANDUNG","Disamakan","D","","","Y","","01-01-1900 00:00:00","0","","","01-01-1900 00:00:00",
"01108563026374","001","","1A00","SD","BANDUNG","Diakui","D","","","Y","","01-01-1900 00:00:00","0","","","01-01-1900 00:00:00",
