"KodeUnit","tanggal","NoInput","NoBukti","Keterangan","NoUrut","kodeafd","kodebud","norek","netral","kdblok","thntnm","uraian","unsur","DK","nilai","JmlFisik","NamaUser","TglInput","KMK",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","1901","","","PUPUK DAUN","","K","3498632,25","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","1903","","","PUPUK DAUN","","K","2477424,29","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","1927","","","PUPUK DAUN","","K","82609685,18","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","1928","","","PUPUK DAUN","","K","89657258,09","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","1930","","","PUPUK DAUN","","K","2249482,3","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","1932","","","PUPUK DAUN","","K","10498391,46","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","1933","","","PUPUK DAUN","","K","1670465,19","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","1934","","","PUPUK DAUN","","K","7358393,78","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","1935","","","PUPUK DAUN","","K","1172883,3","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","1936","","","PUPUK DAUN","","K","2132793,14","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","1939","","","PUPUK DAUN","","K","3012953,7","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","1940","","","PUPUK DAUN","","K","2023392,19","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","1947","","","PUPUK DAUN","","K","10725559,85","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","1948","","","PUPUK DAUN","","K","2073137,86","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","1951","","","PUPUK DAUN","","K","2847361,58","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","1953","","","PUPUK DAUN","","K","2356676,91","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","1954","","","PUPUK DAUN","","K","2194877,35","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","1955","","","PUPUK DAUN","","K","1024770","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","1957","","","PUPUK DAUN","","K","4377723,88","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","1962","","","PUPUK DAUN","","K","2663215,3","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","1967","","","PUPUK DAUN","","K","8404170","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","1968","","","PUPUK DAUN","","K","1414546,89","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","1970","","","PUPUK DAUN","","K","2673301,81","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","1971","","","PUPUK DAUN","","K","46724666,83","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","1980","","","PUPUK DAUN","","K","3556092,7","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","1989","","","PUPUK DAUN","","K","1552339,23","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","1999","","","PUPUK DAUN","","K","2169005,51","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","2000","","","PUPUK DAUN","","K","3591622,36","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","2001","","","PUPUK DAUN","","K","20745597,91","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","2008","","","PUPUK DAUN","","K","28724802,76","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","2009","","","PUPUK DAUN","","K","101636992,77","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","2010","","","PUPUK DAUN","","K","146201567,33","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","2011","","","PUPUK DAUN","","K","147111890,03","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","2012","","","PUPUK DAUN","","K","18104158,77","0","CLOSING","07-12-2016 10:01:58","01",
