"BA41","TEKNIK MESIN KONSTRUKSI",
"BA42","TEKNIK MESIN KAPAL",
"BA50","TEKNIK ELEKTRO",
"BA51","TEKNIK ELEKTRONIKA",
"BA52","TEKNIK LISTRIK",
"BA60","TEKNIK INDUSTRI",
"BA70","TEKNIK KOMPUTER/INFORMATIKA",
"BB00","TEKNOLOGI SIPIL DAN PERENCANAAN",
"BB10","TEKNIK SIPIL",
"BB11","TEKNIK SIPIL BASAH",
"BB12","TEKNIK SIPIL KERING",
"BB13","TEKNIK SIPIL KONSTRUKSI",
"BB14","TEKNIK SIPIL PERHUBUNGAN",
"BB15","TEKNIK SIPIL STRUKTUR",
"BB16","TEKNIK SIPIL TRANSPORTASI",
"BB17","SISTEM DAN TEKNIK JALAN RAYA",
"BB20","TEKNIK ARSITEKTUR",
"BB21","TEKNIK ARSITEKTUR LANSEKAP",
"BB30","TEKNIK GEODESI",
"BB40","TEKNIK LINGKUNGAN",
"BB50","TEKNIK PLANOLOGI",
"BC00","TEKNOLOGI MINERAL",
"BC10","TEKNIK GEOLOGI",
"BC20","TEKNIK PERTAMBANGAN",
"BC30","TEKNIK PERMINYAKAN",
"C000","KEDOKTERAN",
"CA00","KEDOKTERAN UMUM",
"CB00","KEDOKTERAN GIGI",
"D000","SOSIAL",
"DA00","EKONOMI",
"DA10","EKONOMI AKUNTANSI",
"DA20","EKONOMI MANAJEMEN",
"DA30","EKONOMI PERUSAHAAN",
"DA40","EKONOMI PEMBANGUNAN",
"DB00","KEUANGAN DAN PERBANKAN",
"DB10","KEUANGAN",
"DB20","PERBANKAN",
"DC00","AKUNTANSI",
"DD00","TATA NIAGA",
"DE00","MANAJEMEN",
"DE10","MANAJEMEN AKUNTANSI",
"DE20","MANAJEMEN INFORMATIKA",
"DE30","MANAJEMEN JALUR PROFESI",
"DE40","MANAJEMEN KEUANGAN",
"DE50","MANAJEMEN PERBANKAN",
"DE60","MANAJEMEN PERSONALIA",
"DE70","MANAJEMEN PERUSAHAAN",
"DE80","MANAJEMEN PRODUKSI",
"DF00","KESEKRETARIATAN",
"DF10","SEKRETARIS DAN MANAJEMEN",
"DG00","ADMINISTRASI",
"DG10","ADMINISTRASI NEGARA",
"DG20","ADMINISTRASI NIAGA",
"DG30","ADMINISTRASI BISNIS",
"DH00","HUKUM",
"DH10","HUKUM AGRARIA",
"DH20","HUKUM INTERNASIONAL",
"DH30","HUKUM PERDATA",
"DH40","HUKUM PIDANA",
"DI00","SOSIAL POLITIK",
"DJ00","GEOGRAFI DAN KEPENDUDUKAN",
"DJ10","GEOGRAFI",
"DK00","KEPEMIMPINAN",
"DK10","KEPEMIMPINAN NIAGA",
"DK20","KEPEMIMPINAN PERUSAHAAN",
"DL00","PUBLISISTIK",
"DM00","SEJARAH",
"DN00","PARIWISATA",
"E000","AGRONOMI/BUDIDAYA PERTANIAN",
"F000","KESEJAHTERAAN SOSIAL",
"I000","KEGURUAN DAN ILMU PENDIDIKAN",
"IG00","ILMU ADMINISTRASI",
"IG10","ILMU ADMINISTRASI NIAGA",
"IH00","ILMU HUKUM",
"II00","ILMU KESEHATAN MASYARAKAT",
"IJ00","ILMU SEJARAH",
"IK00","PENDIDIKAN OLAH RAGA",
"IL10","ILMU HUBUNGAN MASYARAKAT",
"S000","SASTRA DAN BUDAYA",
"SA20","SASTRA INGGRIS",
"WA00","AKADEMI MILITER",
"WD00","AKADEMI KEPOLISIAN",
"X000","KURSUS",
"X003","KMP",
"X004","KMPL",
"X001","KMPD",
"X002","KMPM",
