"kodeunit","tanggal","kodebud","kodeJenisOlah","kodegrade","kodevar","norek","kodekbn","bi","rbi","pbi",
"13","31-12-2016 00:00:00","02","0200","","BASAH","6090100","12","-40120","0","0",
"13","31-12-2016 00:00:00","02","0200","","BASAH","6090100","37","-8590","0","0",
"13","31-12-2016 00:00:00","02","0200","","BASAH","6090100","23","-19070","0","0",
"13","31-12-2016 00:00:00","02","0200","","BASAH","6090100","15","-13210","0","0",
"13","31-12-2016 00:00:00","02","0200","","BASAH","6090100","39","-5730","0","0",
"13","31-12-2016 00:00:00","02","0200","","BASAH","X","13","908660","1242482","1108320",
"13","31-12-2016 00:00:00","02","0200","","JADI","6090400","12","-13336","0","0",
"13","31-12-2016 00:00:00","02","0200","","JADI","6090400","37","-7760","0","0",
"13","31-12-2016 00:00:00","02","0200","","JADI","6090400","23","-4346","0","0",
"13","31-12-2016 00:00:00","02","0200","","JADI","6090400","15","-2940","0","0",
"13","31-12-2016 00:00:00","02","0200","","JADI","6090400","39","-1266","0","0",
"13","31-12-2016 00:00:00","02","0200","","JADI","X","13","209568","276107","246290",
"13","29-02-2016 00:00:00","02","0200","","BASAH","6090100","10","-281173","0","0",
"13","29-02-2016 00:00:00","02","0200","","BASAH","X","13","859803","1203462","1203462",
"13","29-01-2016 00:00:00","02","0200","","BASAH","X","13","1269745","1096910","1096910",
"13","29-01-2016 00:00:00","02","0200","","BASAH","6080100","15","4485","0","0",
"13","29-01-2016 00:00:00","02","0200","","BASAH","6090100","10","-122380","0","0",
"13","29-01-2016 00:00:00","02","0200","","JADI","X","13","281229","243757","243757",
"13","29-01-2016 00:00:00","02","0200","","JADI","6080400","15","997","0","0",
"13","29-01-2016 00:00:00","02","0200","","JADI","6090400","10","-27328","0","0",
"13","29-02-2016 00:00:00","02","0200","","JADI","6090400","10","-63137","0","0",
"13","29-02-2016 00:00:00","02","0200","","JADI","X","13","194937","267436","267436",
"13","31-03-2016 00:00:00","02","0200","","BASAH","6090100","15","-10510","-5918","-46940",
"13","31-03-2016 00:00:00","02","0200","","BASAH","6090100","10","-4920","0","0",
"13","31-03-2016 00:00:00","02","0200","","BASAH","6090100","39","-4690","0","0",
"13","31-03-2016 00:00:00","02","0200","","BASAH","6090100","34","-4860","0","0",
"13","31-03-2016 00:00:00","02","0200","","BASAH","X","13","768955","1280769","1280769",
"13","31-03-2016 00:00:00","02","0200","","JADI","6090400","15","-2308","-1315","-10431",
"13","31-03-2016 00:00:00","02","0200","","JADI","6090400","10","-1046","0","0",
