"tanggal","kodeunit","kodeafd","kodebud","grup","nobukti","uraian","norek","DK","nilai","netral","thntnm","jmlfisik",
"31-12-2016 00:00:00","13","02","02","01","GJI201612V-00101","Gaji Bulan : 12-2016","400010000","D","8684000","","","0",
"31-12-2016 00:00:00","13","02","02","01","GJI201612V-00101","Gaji Bulan : 12-2016","600000100","D","4157000","0200","","0",
"31-12-2016 00:00:00","13","10","02","01","GJI201612V-00101","Gaji Bulan : 12-2016","600000100","D","2908000","0200","","0",
"31-12-2016 00:00:00","13","12","02","01","GJI201612V-00101","Gaji Bulan : 12-2016","600000100","D","3027000","0200","","0",
"31-12-2016 00:00:00","13","20","02","01","GJI201612V-00101","Gaji Bulan : 12-2016","600000200","D","3148000","0200","","0",
"31-12-2016 00:00:00","13","21","02","01","GJI201612V-00101","Gaji Bulan : 12-2016","600000200","D","3148000","0200","","0",
"31-12-2016 00:00:00","13","30","02","01","GJI201612V-00101","Gaji Bulan : 12-2016","400010000","D","3088000","","","0",
"31-12-2016 00:00:00","13","02","02","01","GJI201612V-00102","Tunjangan Tetap Bulan : 12-2016","403240000","D","2894000","","","0",
"31-12-2016 00:00:00","13","30","02","01","GJI201612V-00102","Tunjangan Tetap Bulan : 12-2016","403240000","D","1028000","","","0",
"31-12-2016 00:00:00","13","02","02","01","GJI201612V-00102","Tunjangan Tetap Bulan :12-2016","600000111","D","1385000","0200","","0",
"31-12-2016 00:00:00","13","10","02","01","GJI201612V-00102","Tunjangan Tetap Bulan :12-2016","600000111","D","969000","0200","","0",
"31-12-2016 00:00:00","13","12","02","01","GJI201612V-00102","Tunjangan Tetap Bulan :12-2016","600000111","D","1009000","0200","","0",
"31-12-2016 00:00:00","13","20","02","01","GJI201612V-00102","Tunjangan Tetap Bulan :12-2016","600000211","D","1048000","0200","","0",
"31-12-2016 00:00:00","13","21","02","01","GJI201612V-00102","Tunjangan Tetap Bulan :12-2016","600000211","D","1048000","0200","","0",
"31-12-2016 00:00:00","13","02","02","01","GJI201612V-00103","Tunjangan Khusus Bulan : 12-2016","600000114","D","1758800","0200","","0",
