"kodeunit","tanggal","kodebud","kodeJenisOlah","kodegrade","kodevar","norek","kodekbn","bi","rbi","pbi",
"20","02-01-2020 00:00:00","00","0000","","BASAH","6080200","20","0","0","0",
"20","02-01-2020 00:00:00","00","0000","","BASAH","X","20","2900","7370,3226","7370,3226",
"20","02-01-2020 00:00:00","00","0003","","JADI","6090400","21","-265","0","0",
"20","02-01-2020 00:00:00","00","0000","","JADI","X","20","665","1842,5806","1842,5806",
"20","02-01-2020 00:00:00","00","0000","","JADI","6080500","20","0","0","0",
"20","02-01-2020 00:00:00","00","0003","","BASAH","6080200","20","0","0","0",
"20","02-01-2020 00:00:00","00","0003","","BASAH","6090100","47","0","0","0",
"20","02-01-2020 00:00:00","00","0003","","BASAH","X","20","885","1842,5806","1842,5806",
"20","02-01-2020 00:00:00","00","0003","","JADI","6080500","20","0","0","0",
"20","02-01-2020 00:00:00","00","0003","","JADI","6090400","47","0","0","0",
"20","02-01-2020 00:00:00","00","0003","","JADI","X","20","360","460,6452","460,6452",
"20","02-01-2020 00:00:00","00","0000","","JADI","6090400","21","-575","-1842,5806","-1842,5806",
"20","02-01-2020 00:00:00","00","0000","","JADI","6090400","19","-90","0","0",
"20","02-01-2020 00:00:00","00","0003","","BASAH","6090100","21","-664","0","0",
"20","02-01-2020 00:00:00","00","0003","","BASAH","6090100","19","-221","-1842,5806","-1842,5806",
"20","02-01-2020 00:00:00","00","0003","","JADI","6090400","19","-95","-460,6452","-460,6452",
"20","02-01-2020 00:00:00","00","0000","","BASAH","6090100","19","-375","0","0",
"20","02-01-2020 00:00:00","00","0000","","BASAH","6090100","21","-2525","-7370,3226","-7370,3226",
