"kodeunit","tanggal","tanggal1","waktu","nourut","kodebln","kodetrans","kodemerk","kodemerk1","kodebud","kodeJenisOlah","kodeasal","kodekemasan","kodegrade","namagrade","kodegrade1","namagrade1","kodekbn","kodeafd","kodevar","thchop","nochop","nopol","pengemudi","norek","kodeterima","kodeLE","nosc","kodepembeli","sack","JmlKg1","JmlKg2","Tarra","rbi","pbi","bbm","pct","pakang","nospa","tglspa","kodeangkutan","kodegudang","nottp","noppt","uraian","inisial","ED","QR","tglinput","userID","BBM1","UTZ","KodeBlok","ThnTnm","BahanOlah","MC","CC","Tinggi","JmlKantong",
"13","01-01-2018 00:00:00","04-05-2017 00:00:00","00:00:00","001","SBL","Pengepakan","130","","02","0200","01","41","1110","PW DUST","","","130","","","2017","KBA55","","","","","","","","40","2000","2008","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","08-01-2018 08:07:37","CLOSING","0","","","","","","","","",
"13","01-01-2018 00:00:00","16-04-2017 00:00:00","00:00:00","004","SBL","Sortasi","130","","02","0200","01","","12","PF","","","130","","","","","","","","","","","","0","2062","7384","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","08-01-2018 08:07:37","CLOSING","7285","","","","","","","","",
"13","01-01-2018 00:00:00","11-12-2017 00:00:00","00:00:00","001","SBL","Pengepakan","130","","02","0200","01","41","205","PLUFF","","","130","","","2017","KB90","","","","","","","","40","1400","1408","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","08-01-2018 08:07:37","CLOSING","0","","","","","","","","",
"13","01-01-2018 00:00:00","01-01-1900 00:00:00","00:00:00","013","SBL","Penerimaan","130","","02","0200","09","","16","DUST III","","","150","","","","","","","","01","","","","0","213","0","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","08-01-2018 08:07:37","CLOSING","0","","","","","","","","",
"13","01-01-2018 00:00:00","01-01-1900 00:00:00","00:00:00","001","SBL","Mutasi Antar Pabrik","131","","02","0200","01","","27","BOPF","","","131","","","","","","","","01","","","","0","-2751","0","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","02-01-2018 07:37:15","CLOSING","0","","","","","","","","",
"13","01-01-2018 00:00:00","01-01-1900 00:00:00","00:00:00","005","SBL","Bahan Olah","130","","02","0200","07","","","","","","120","","","","","","","","","","","","0","3500","3570","0","0","0","0","40","3","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","08-01-2018 08:07:37","CLOSING","0","","","","","","","","",
"13","01-01-2018 00:00:00","25-12-2017 00:00:00","00:00:00","006","SBL","Pengepakan","130","","02","0200","01","41","205","PLUFF","","","130","","","2017","KB95","","","","","","","","40","1400","1408","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","08-01-2018 08:07:37","CLOSING","0","","","","","","","","",
"13","01-01-2018 00:00:00","28-12-2017 00:00:00","00:00:00","002","SBL","Sortasi","130","","02","0200","01","","62","BOP I SP","","","130","","","","","","","","","","","","0","0","5825","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","08-01-2018 08:07:37","CLOSING","4320","","","","","","","","",
"13","01-01-2018 00:00:00","01-01-1900 00:00:00","00:00:00","002","SBL","Bahan Olah","130","","02","0200","01","","","","","","130","11","","","","","","","","","","","0","4980","5020","0","0","0","0","40","3","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","08-01-2018 08:07:37","CLOSING","0","","","","","","","","",
"13","01-01-2018 00:00:00","01-01-1900 00:00:00","00:00:00","001","SBL","RKAP Kering","131","","02","0200","01","","9","BOP I","","","131","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","02-01-2018 07:37:15","CLOSING","0","","","","","","","","",
"13","01-01-2018 00:00:00","01-01-1900 00:00:00","00:00:00","002","SBL","Bahan Olah","130","","02","0200","01","","","","","","130","11","","","","","","","","","","","0","10220","10814","0","0","0","0","43","3","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","08-01-2018 08:07:37","CLOSING","0","","","","","","","","",
"13","01-01-2018 00:00:00","28-11-2017 00:00:00","00:00:00","003","SBL","Pengepakan","130","","02","0200","01","07","23","FANN II","","","130","","","2017","571","","","","","","","","40","2200","2228","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","08-01-2018 08:07:37","CLOSING","0","","","","","","","","",
"13","01-01-2018 00:00:00","08-04-2017 00:00:00","00:00:00","002","SBL","Sortasi","130","","02","0200","01","","1107","BM","","","130","","","","","","","","","","","","0","50","4221","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","08-01-2018 08:07:37","CLOSING","3965","","","","","","","","",
"13","01-01-2018 00:00:00","01-01-1900 00:00:00","00:00:00","002","SBL","Pengiriman","131","","02","0200","08","07","12","PF","","","","","","2017","09","E 9872 D","APIYANDI","","","E","","020032","40","2160","2188","0","0","0","0","0","0","760","01-01-1900 00:00:00","20","18","","","","","","System.Byte[]","02-01-2018 07:37:15","CLOSING","0","","","","","","","","",
"13","01-01-2018 00:00:00","01-01-1900 00:00:00","00:00:00","002","SBL","Pengiriman","131","","02","0200","08","41","205","PLUFF","","","","","","2017","KB05","Z9281HB","UJANG N","","","L","","020095","40","1400","1408","0","0","0","0","0","0","830","23-10-2017 00:00:00","20","03","","","","","","System.Byte[]","02-01-2018 07:37:15","CLOSING","0","","","","","","","","",
"13","01-01-2018 00:00:00","01-01-1900 00:00:00","00:00:00","008","SBL","Bahan Olah","130","","02","0200","07","","","","","","180","","","","","","","","","","","","0","5180","6030","0","0","0","0","40","3","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","08-01-2018 08:07:37","CLOSING","0","","","","","","","","",
"13","01-01-2018 00:00:00","01-01-1900 00:00:00","00:00:00","001","SBL","Bahan Olah","130","","02","0200","01","","","","","","130","10","","","","","","","","","","","0","3140","3150","0","0","0","0","43","3","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","08-01-2018 08:07:37","CLOSING","0","","","","","","","","",
"13","01-01-2018 00:00:00","06-09-2017 00:00:00","00:00:00","005","SBL","Sortasi","130","","02","0200","01","","12","PF","","","130","","","","","","","","","","","","0","1398","4579","0","0","0","0","0","0","","01-01-1900 00:00:00","","","","","","","","System.Byte[]","08-01-2018 08:07:37","CLOSING","4490","","","","","","","","",
"13","01-01-2018 00:00:00","01-01-1900 00:00:00","00:00:00","003","SBL","Pengiriman","131","","02","0200","08","41","205","PLUFF","","","","","","2017","KB06","Z9281HB","UJANG N","","","L","","020095","40","1400","1408","0","0","0","0","0","0","830","23-10-2017 00:00:00","20","03","","","","","","System.Byte[]","02-01-2018 07:37:15","CLOSING","0","","","","","","","","",
