"KodeUnit","tanggal","waktu","noinput","nobuku","tglfaktur","nofaktur","nama","alamat","KodeAfdeling","KodeBudidaya","nourut","kodebarang","qtyminta","qty","ppn","status","nilai","norek","netral","jml_fisik","kdblok","keterangan","Penjelasan","tglkom","namauser","thntnm","KMK",
"13","01-01-2018 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00600977","0","0","False","","0","","","0","","","","02-01-2018 07:36:34","TUTUP_BUKU","","01",
"13","01-01-2018 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00600994","0","0","False","","2,3283064365387E-10","","","0","","","","02-01-2018 07:36:34","TUTUP_BUKU","","01",
"13","01-01-2018 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00601134","0","0","False","","0","","","0","","","","02-01-2018 07:36:34","TUTUP_BUKU","","01",
"13","01-01-2018 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00601232","0","0","False","","-0,130434782244265","","","0","","","","02-01-2018 07:36:34","TUTUP_BUKU","","01",
"13","01-01-2018 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00601244","0","0","False","","0","","","0","","","","02-01-2018 07:36:34","TUTUP_BUKU","","01",
"13","01-01-2018 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00601317","0","0","False","","0","","","0","","","","02-01-2018 07:36:34","TUTUP_BUKU","","01",
"13","01-01-2018 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00601726","0","0","False","","0","","","0","","","","02-01-2018 07:36:34","TUTUP_BUKU","","01",
"13","01-01-2018 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00601815","0","0","False","","0,352272727148375","","","0","","","","02-01-2018 07:36:34","TUTUP_BUKU","","01",
"13","01-01-2018 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00602000","0","0","False","","0","","","0","","","","02-01-2018 07:36:34","TUTUP_BUKU","","01",
"13","01-01-2018 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00602010","0","0","False","","0","","","0","","","","02-01-2018 07:36:34","TUTUP_BUKU","","01",
"13","01-01-2018 00:00:00","00:00:00","SALDO AWAL","","01-01-1900 00:00:00","","","","","","001","00602383","0","0","False","","0","","","0","","","","02-01-2018 07:36:34","TUTUP_BUKU","","01",
