"KodeUnit","KT","NoBuku","No_Ver","Tgl_Ver","NoInput","Tanggal","RekKB",
"74","BK","00007","BRI202002-V00007","29/02/2020 0:00:00","BRI202002-00007","29/02/2020 0:00:00","110000002",
"74","BK","00001","BNI202002-V0001","29/02/2020 0:00:00","BNI202002-00001","29/02/2020 0:00:00","110000000",
"74","BK","00001","MAN202002-V0001","29/02/2020 0:00:00","MAN202002-00001","29/02/2020 0:00:00","110000001",
