"kodeunit","tanggal","kodebud","kodeJenisOlah","kodegrade","kodevar","norek","kodekbn","bi","rbi","pbi",
"14","02-06-2016 00:00:00","02","0200","","BASAH","6080100","15","21390","0","0",
"14","02-06-2016 00:00:00","02","0200","","BASAH","X","14","608360","1504443","1437000",
"14","02-06-2016 00:00:00","02","0200","","JADI","6080400","11","16484","0","0",
"14","02-06-2016 00:00:00","02","0200","","JADI","6090400","12","-8000","-10236","-7079",
"14","02-06-2016 00:00:00","02","0200","","JADI","6900403","29","-4000","0","0",
"14","02-06-2016 00:00:00","02","0200","","JADI","X","14","153753","334321","319204",
"14","04-11-2016 00:00:00","02","0200","","BASAH","X","14","810440","1307236","1188954",
"14","04-11-2016 00:00:00","02","0200","","JADI","6090400","29","-4000","-14341","-1316",
"14","04-11-2016 00:00:00","02","0200","","JADI","X","14","182429","290497","264212",
"14","02-08-2016 00:00:00","02","0200","","BASAH","6080100","11","52330","0","0",
"14","02-08-2016 00:00:00","02","0200","","BASAH","X","14","953020","1160602","955274",
"14","02-08-2016 00:00:00","02","0200","","JADI","6080400","11","11650","0","0",
"14","02-08-2016 00:00:00","02","0200","","JADI","6900403","29","-4700","-41350","-16983",
"14","02-08-2016 00:00:00","02","0200","","JADI","X","14","220502","257911","212283",
"14","02-09-2016 00:00:00","02","0200","","BASAH","X","14","838040","1093455","901000",
"14","02-09-2016 00:00:00","02","0200","","JADI","6080400","15","2375","0","0",
"14","02-09-2016 00:00:00","02","0200","","JADI","6080400","41","2800","0","0",
"14","02-09-2016 00:00:00","02","0200","","JADI","6090400","12","-4000","-48509","-12000",
"14","02-09-2016 00:00:00","02","0200","","JADI","6900403","29","-6500","0","0",
"14","02-09-2016 00:00:00","02","0200","","JADI","X","14","195445","242990","200001",
"14","27-10-2016 00:00:00","36","0000","","BASAH","6080300","14","2040","0","23640",
"14","27-10-2016 00:00:00","36","0000","","BASAH","X","14","226","2324","1360",
"14","27-10-2016 00:00:00","36","0000","","JADI","6080600","14","286","0","15289",
"14","27-10-2016 00:00:00","36","0000","","JADI","X","14","32","372","190",
"14","02-10-2016 00:00:00","02","0200","","BASAH","X","14","923120","1281664","1169613",
"14","02-10-2016 00:00:00","02","0200","","BASAH","6080100","11","2440","0","0",
"14","02-10-2016 00:00:00","02","0200","","JADI","X","14","214396","284814","259914",
"14","02-10-2016 00:00:00","02","0200","","JADI","6080400","11","553","0","0",
"14","02-10-2016 00:00:00","02","0200","","JADI","6090400","12","0","-40000","-389",
"14","02-10-2016 00:00:00","02","0200","","JADI","6900403","29","-12000","-3486","0",
"14","04-12-2016 00:00:00","02","0200","","BASAH","6090100","15","-41180","0","0",
"14","04-12-2016 00:00:00","02","0200","","BASAH","X","14","954970","1433274","1263704",
"14","04-12-2016 00:00:00","02","0200","","JADI","6090400","12","-13084","-46292","-1851",
"14","04-12-2016 00:00:00","02","0200","","JADI","X","14","218118","318505","280823",
"14","04-12-2016 00:00:00","36","0000","","BASAH","X","14","311","2324","1029",
"14","04-12-2016 00:00:00","36","0000","","BASAH","6080300","14","1845","0","16440",
"14","04-12-2016 00:00:00","36","0000","","JADI","X","14","44","372","144",
"14","04-12-2016 00:00:00","36","0000","","JADI","6080600","14","258","0","2302",
"14","02-10-2016 00:00:00","02","0200","","BASAH","6090100","12","0","-195686","0",
