"kodeunit","norek","nourut","kdafd","kdbud","noaktiva","namaaktiva","kelompokaset","satuan","statuspakai",
"14","005010000","00144","30","02","1400500144","Conveyor Crusher","05","UNIT","True",
"14","005010000","00145","30","02","1400500145","Hot Air Ducting","05","UNIT","True",
"14","008010000","00109","30","36","1400800109","Coagulasi","04","UNIT","True",
"14","005010000","00144","30","02","1400500144","Mesin Press Cup ( PC) Ek.Kebu Pal","06","UNIT","True",
"14","005010000","00146","02","02","1400500146","Press Cup ( PC ) Ex Kebun PAL","06","UNIT","True",
