"kodeunit","tgltran","nobukti","noaktiva","kdafd","kdbud","kelompok","norek","tglbeli","nmaktiva","kelompokaset","tarifpct","jmlunit","satuan","sawalp","auditp","rcp","hapusp","rekp","kbnp","murnip","sawals","audits","rcs","hapuss","kbns","reks","murnis","stopr","thntnm","kondisi",
"14","01-02-2016 00:00:00","SALDO AWAL","1400300020","02","02","003","003030000","01-01-1984 00:00:00","BANGUNAN RUMAH","03","20","6","UNIT","21708515","0","0","0","0","0","0","21708509","0","0","0","0","0","0","","","0",
"14","30-04-2016 00:00:00","SST201604-00001","1400100004","02","02","001","001000000","01-01-1973 00:00:00","TM Teh Tahun 1973","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","64839,37","","","0",
"14","29-02-2016 00:00:00","SST201602-00001","1400100034","02","02","001","001000000","01-01-2012 00:00:00","TM Teh Tahun 2012","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","2869077,11","","","0",
"14","29-02-2016 00:00:00","SST201602-00001","1400800060","10","02","008","008010000","01-04-2012 00:00:00","MESIN PETIK OCHAI EX.GUNUNG MAS","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","608333,333333333","","","0",
"14","30-04-2016 00:00:00","SST201604-00001","1400800061","12","02","008","008010000","01-05-2012 00:00:00","MESIN PETIK OCHAI EX.GUNUNG MAS","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","608333,333333333","","","0",
"14","01-02-2016 00:00:00","SALDO AWAL","1400300135","02","02","003","003010000","01-06-2010 00:00:00","BGN RMH KEPALA AFD SANTOSA 13 X 10 M","01","5","1","UNIT","18362493","0","0","0","0","0","0","5164108","0","0","0","0","0","76510","","","0",
"14","01-02-2016 00:00:00","SALDO AWAL","1400500077","02","02","005","005010000","01-01-1991 00:00:00","CUTTER TEA","05","5","1","UNIT","75098821","0","0","0","0","0","0","75098820","0","0","0","0","0","0","","","0",
"14","31-07-2016 00:00:00","SST201607-00001","1400100005","02","02","001","001000000","01-01-1973 00:00:00","TM Teh Tahun 1973","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","37606,8533333333","","","0",
"14","31-08-2016 00:00:00","SST201608-00001","1400100003","02","02","001","001000000","01-01-1973 00:00:00","TM Teh Tahun 1973","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","227056,315","","","0",
"14","30-06-2016 00:00:00","SST201606-00001","1400800061","12","02","008","008010000","01-05-2012 00:00:00","MESIN PETIK OCHAI EX.GUNUNG MAS","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","608333,333333333","","","0",
"14","30-09-2016 00:00:00","ADT201609-00001","1400300028","02","02","003","003030000","01-06-2010 00:00:00","BGN RMH KARY.SANTOSA 6 X 8 ENAR","01","0","0","UNIT","0","0","0","0","0","0","0","0","59562","-59562","0","0","0","0","","","0",
"14","31-08-2016 00:00:00","SST201608-00001","1400800084","10","02","008","008010000","14-03-2014 00:00:00","MESIN PETIK MERK.KAWASAKI","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","2900000","","","0",
"14","30-11-2016 00:00:00","SST201611-00001","1400100003","02","02","001","001000000","01-01-1973 00:00:00","TM Teh Tahun 1973","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","227056,315","","","0",
"14","31-10-2016 00:00:00","SST201610-00001","1400100009","02","02","001","001000000","01-01-1973 00:00:00","TM Teh Tahun 1973","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","37693,3916666667","","","0",
"14","31-12-2016 00:00:00","SST201612-00001","1400100016","02","02","001","001000000","01-01-1980 00:00:00","TM Teh Tahun 1980","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","36560,0616666667","","","0",
"14","31-07-2016 00:00:00","SST201607-00001","1400800062","12","02","008","008010000","01-05-2012 00:00:00","MESIN PETIK OCHAI EX.GUNUNG MAS","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","608333,333333333","","","0",
"14","31-12-2016 00:00:00","SST201612-00001","1400500096","02","02","005","005010000","31-07-2010 00:00:00","MESIN ITX ( INNONA TEA ECHANGER )","05","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","822916,666666667","","","0",
"14","31-12-2016 00:00:00","SST201612-00001","1400500115","30","02","005","005010000","24-07-2014 00:00:00","ITX PABRIK TALUN","05","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","937500","","","0",
"14","30-09-2016 00:00:00","SST201609-00001","1400800070","12","02","008","008010000","05-03-2013 00:00:00","MESIN PETIK KAWASAKI","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","1160000","","","0",
"14","30-09-2016 00:00:00","ADT201609-00001","1400300060","02","02","003","003030000","01-01-1960 00:00:00","RUMAH PANGGUNG CIKEMBANG","03","0","0","UNIT","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","","","0",
"14","30-09-2016 00:00:00","ADT201609-00001","1400300061","02","02","003","003030000","01-01-1960 00:00:00","RUMAH PANGGUNG CIKEMBANG","03","0","0","UNIT","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","","","0",
"14","30-09-2016 00:00:00","ADT201609-00001","1400300062","02","02","003","003030000","01-01-1960 00:00:00","RUMAH PANGGUNG CIKEMBANG","03","0","0","UNIT","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","","","0",
"14","30-09-2016 00:00:00","ADT201609-00001","1400300063","02","02","003","003030000","01-01-1960 00:00:00","RUMAH PANGGUNG CIKEMBANG","03","0","0","UNIT","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","","","0",
"14","30-09-2016 00:00:00","ADT201609-00001","1400300064","02","02","003","003030000","01-01-1960 00:00:00","RUMAH PANGGUNG CIKEMBANG","03","0","0","UNIT","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","","","0",
"14","30-09-2016 00:00:00","ADT201609-00001","1400300065","02","02","003","003030000","01-01-1960 00:00:00","RUMAH PANGGUNG CIKEMBANG","03","0","0","UNIT","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","","","0",
"14","30-09-2016 00:00:00","ADT201609-00001","1400300066","02","02","003","003030000","01-01-1960 00:00:00","RUMAH PANGGUNG CIKEMBANG","03","0","0","UNIT","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","","","0",
"14","30-09-2016 00:00:00","ADT201609-00001","1400300067","02","02","003","003030000","01-01-1960 00:00:00","RUMAH PANGGUNG CIKEMBANG","03","0","0","UNIT","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","","","0",
"14","30-09-2016 00:00:00","ADT201609-00001","1400300068","02","02","003","003030000","01-01-1960 00:00:00","RUMAH PANGGUNG CIKEMBANG","03","0","0","UNIT","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","","","0",
"14","30-09-2016 00:00:00","ADT201609-00001","1400300069","02","02","003","003030000","01-01-1960 00:00:00","RUMAH PANGGUNG CIKEMBANG","03","0","0","UNIT","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","","","0",
"14","30-09-2016 00:00:00","ADT201609-00001","1400300070","02","02","003","003030000","01-01-1960 00:00:00","RUMAH PANGGUNG CIKEMBANG","03","0","0","UNIT","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","","","0",
"14","30-09-2016 00:00:00","ADT201609-00001","1400300071","02","02","003","003030000","01-01-1960 00:00:00","RUMAH PANGGUNG CIKEMBANG","03","0","0","UNIT","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","","","0",
"14","30-09-2016 00:00:00","ADT201609-00002","1400500120","02","02","005","005010000","01-01-1974 00:00:00","TRANSFORMATOR","06","0","0","UNIT","0","0","0","0","0","0","0","0","1","-1","0","0","0","0","","","0",
"14","30-09-2016 00:00:00","ADT201609-00002","1400500121","02","02","005","005020000","01-01-1974 00:00:00","SEKTOR DISTRIK PANEL","05","0","0","UNIT","0","0","0","0","0","0","0","0","2","-2","0","0","0","0","","","0",
"14","31-12-2016 00:00:00","SST201612-00001","1400500111","30","02","005","005010000","01-09-2013 00:00:00","CEROBONG ASAP PABRIK SANTOSA","05","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","364041,666666667","","","0",
"14","31-12-2016 00:00:00","SST201612-00001","1400500143","02","02","005","005020000","31-12-2008 00:00:00","PLTA","05","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","1310833,33333333","","","0",
"14","30-09-2016 00:00:00","SST201609-00001","1400500101","30","02","005","005010000","14-06-2013 00:00:00","MESIN OPEN TOP ROLLER (OTR) SINGLE ACTIO","05","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","1583333,33333333","","","0",
"14","30-09-2016 00:00:00","SST201609-00001","1400500110","30","02","005","005010000","01-09-2013 00:00:00","HE NO. 1 PABRIK SANTOSA","05","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","1381718,75","","","0",
"14","30-09-2016 00:00:00","SST201609-00001","1400500111","30","02","005","005010000","01-09-2013 00:00:00","CEROBONG ASAP PABRIK SANTOSA","05","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","364041,666666667","","","0",
"14","30-09-2016 00:00:00","SST201609-00001","1400500143","02","02","005","005020000","31-12-2008 00:00:00","PLTA","05","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","1310833,33333333","","","0",
"14","30-09-2016 00:00:00","SST201609-00001","1400800077","02","02","008","008010000","01-08-2013 00:00:00","MESIN PETIK EKS. GUNUNG MAS","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","608333,333333333","","","0",
"14","30-09-2016 00:00:00","SST201609-00001","1400800056","10","02","008","008010000","01-12-2011 00:00:00","MESIN PETIK + SKIPING","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","1870000","","","0",
"14","30-09-2016 00:00:00","SST201609-00001","1400800060","10","02","008","008010000","01-04-2012 00:00:00","MESIN PETIK OCHAI EX.GUNUNG MAS","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","608333,333333333","","","0",
"14","30-09-2016 00:00:00","SST201609-00001","1400800066","10","02","008","008010000","25-02-2013 00:00:00","MESIN PETIK RGB AFD.SUKATINGAL","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","1216666,66666667","","","0",
"14","30-09-2016 00:00:00","SST201609-00001","1400800071","10","02","008","008010000","14-06-2013 00:00:00","MESIN PETIK KAWASAKI T-320","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","580000","","","0",
"14","30-09-2016 00:00:00","SST201609-00001","1400800073","10","02","008","008010000","17-07-2013 00:00:00","MESIN SKIPING AFD. SUKATINGAL","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","966666,666666667","","","0",
"14","30-09-2016 00:00:00","SST201609-00001","1400800091","14","02","008","008010000","06-05-2014 00:00:00","MESIN PETIK KAWASAKI + MESIN PERATA","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","1141666,66666667","","","0",
"14","30-09-2016 00:00:00","SST201609-00001","1400800095","14","02","008","008010000","14-07-2014 00:00:00","MESIN PETIK KAWASAKI ( DUA )","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","1160000","","","0",
"14","30-09-2016 00:00:00","SST201609-00001","1400800097","14","02","008","008010000","21-08-2014 00:00:00","MESIN TRIMING AFD.LODAYA","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","527500","","","0",
"14","30-09-2016 00:00:00","SST201609-00001","1400800104","14","02","008","008010000","19-03-2015 00:00:00","MESIN PETIK KAWASAKI AFD.LOD","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","1160000","","","0",
"14","30-09-2016 00:00:00","SST201609-00001","1400800108","14","02","008","008010000","27-05-2015 00:00:00","MESIN PETIK OCHAI AFD. LOD","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","3041666,66666667","","","0",
"14","30-09-2016 00:00:00","SST201609-00001","1400800107","12","02","008","008010000","23-05-2015 00:00:00","MESIN PETIK OCHAI AFD. SAN","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","3041666,66666667","","","0",
"14","30-09-2016 00:00:00","SST201609-00001","1400800059","14","02","008","008010000","01-12-2011 00:00:00","MESIN PETIK + SKIPING","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","2539166,66666667","","","0",
"14","30-09-2016 00:00:00","SST201609-00001","1400800065","14","02","008","008010000","31-12-2012 00:00:00","SKIPPING ( MESIN PERATA ) + MESIN PETIK","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","1063333,33333333","","","0",
