"KodeUnit","KT","NoBuku","No_Ver","Tgl_Ver","NoInput","Tanggal","RekKB",
"14","BT","00001","BBD201612-V00001","05-12-2016 00:00:00","BBD201612-00001","05-12-2016 00:00:00","110000001",
"14","BT","00002","BBD201612-V00002","05-12-2016 00:00:00","BBD201612-00002","05-12-2016 00:00:00","110000001",
"14","BT","00008","BBD201612-V00008","08-12-2016 00:00:00","BBD201612-00008","08-12-2016 00:00:00","110000001",
"14","BT","00012","BBD201612-V00012","19-12-2016 00:00:00","BBD201612-00012","19-12-2016 00:00:00","110000001",
"14","BT","00018","BBD201612-V00018","23-12-2016 00:00:00","BBD201612-00018","23-12-2016 00:00:00","110000001",
"14","BT","00025","BBD201612-V00025","27-12-2016 00:00:00","BBD201612-00025","27-12-2016 00:00:00","110000001",
"14","BT","00026","BBD201612-V00026","28-12-2016 00:00:00","BBD201612-00026","28-12-2016 00:00:00","110000001",
"14","BT","00032","BBD201612-V32","31-12-2016 00:00:00","BBD201612-00032","31-12-2016 00:00:00","110000001",
"14","KK","00002","KAS201612-V00002","09-12-2016 00:00:00","KAS201612-00002","09-12-2016 00:00:00","100000000",
"14","KK","00003","KAS201612-V00003","09-12-2016 00:00:00","KAS201612-00003","09-12-2016 00:00:00","100000000",
"14","KK","00004","KAS201612-V00004","09-12-2016 00:00:00","KAS201612-00004","09-12-2016 00:00:00","100000000",
"14","KK","00005","KAS201612-V00005","09-12-2016 00:00:00","KAS201612-00005","09-12-2016 00:00:00","100000000",
"14","KK","00006","KAS201612-V00006","09-12-2016 00:00:00","KAS201612-00006","09-12-2016 00:00:00","100000000",
"14","KK","00007","KAS201612-V00007","09-12-2016 00:00:00","KAS201612-00007","09-12-2016 00:00:00","100000000",
"14","KK","00008","KAS201612-V00008","09-12-2016 00:00:00","KAS201612-00008","09-12-2016 00:00:00","100000000",
"14","KK","00009","KAS201612-V00009","09-12-2016 00:00:00","KAS201612-00009","09-12-2016 00:00:00","100000000",
"14","KK","00010","KAS201612-V00010","09-12-2016 00:00:00","KAS201612-00010","09-12-2016 00:00:00","100000000",
"14","KK","00011","KAS201612-V00011","09-12-2016 00:00:00","KAS201612-00011","09-12-2016 00:00:00","100000000",
"14","KK","00012","KAS201612-V00012","09-12-2016 00:00:00","KAS201612-00012","09-12-2016 00:00:00","100000000",
"14","KK","00013","KAS201612-V00013","09-12-2016 00:00:00","KAS201612-00013","09-12-2016 00:00:00","100000000",
"14","KK","00014","KAS201612-V00014","09-12-2016 00:00:00","KAS201612-00014","09-12-2016 00:00:00","100000000",
"14","KK","00015","KAS201612-V00015","09-12-2016 00:00:00","KAS201612-00015","09-12-2016 00:00:00","100000000",
"14","KK","00016","KAS201612-V00016","09-12-2016 00:00:00","KAS201612-00016","09-12-2016 00:00:00","100000000",
"14","KK","00017","KAS201612-V00017","09-12-2016 00:00:00","KAS201612-00017","09-12-2016 00:00:00","100000000",
"14","KK","00018","KAS201612-V00018","09-12-2016 00:00:00","KAS201612-00018","09-12-2016 00:00:00","100000000",
"14","KK","00019","KAS201612-V00019","09-12-2016 00:00:00","KAS201612-00019","09-12-2016 00:00:00","100000000",
"14","KK","00020","KAS201612-V00020","13-12-2016 00:00:00","KAS201612-00020","13-12-2016 00:00:00","100000000",
"14","KK","00021","KAS201612-V00021","13-12-2016 00:00:00","KAS201612-00021","13-12-2016 00:00:00","100000000",
"14","KK","00022","KAS201612-V00022","13-12-2016 00:00:00","KAS201612-00022","13-12-2016 00:00:00","100000000",
"14","KK","00023","KAS201612-V23","13-12-2016 00:00:00","KAS201612-00023","13-12-2016 00:00:00","100000000",
"14","KK","00024","KAS201612-V00024","13-12-2016 00:00:00","KAS201612-00024","13-12-2016 00:00:00","100000000",
"14","KK","00025","KAS201612-V00025","13-12-2016 00:00:00","KAS201612-00025","13-12-2016 00:00:00","100000000",
