"kodeunit","tanggal","nourut","noinput","kelompok","noaktiva","noaktivab","tarifpct","nmaktiva","kdafd","kdbud","norek","norekl","tglbeli","nobukti","tglbukti","leveransir","jmlunit","jmlunit1","satuan","nilaiperolehan","nilaipenyusutan","nilaipenyusutan_thl","nilaipenyusutan_sbl","nilaikoreksipenyusutan","kelompokaset","thntnm","statedit",
"14","31-12-2016 00:00:00","001","SUT201612-00001","008","1400800030","","0","MESIN PETIK EX SINUMBRA 1","02","02","008010000","080010300","31-12-2005 00:00:00","","01-01-1900 00:00:00","","0","0","UNIT","0","1","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","002","SUT201612-00001","008","1400800031","","0","MESIN PETIK EX SINUMBRA II","02","02","008010000","080010300","01-08-2007 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","1","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","003","SUT201612-00001","008","1400800036","","0","MESIN PETIK","02","02","008010000","080010300","07-11-2009 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","1","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","004","SUT201612-00001","008","1400800052","","0","MESIN PETIK V8-WORD AFD.TALUN","11","02","008010000","080010300","22-07-2011 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","1","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","005","SUT201612-00001","008","1400800053","","0","MESIN PETIK V8-WORD AFD. SANTOSA","12","02","008010000","080010300","22-07-2011 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","1","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","006","SUT201612-00001","008","1400800054","","0","MESIN PETIK V8-WORD AFD.LODAYA","14","02","008010000","080010300","22-07-2011 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","1","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","007","SUT201612-00001","008","1400800060","","0","MESIN PETIK OCHAI EX.GUNUNG MAS","10","02","008010000","080010300","01-04-2012 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","2433348","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","008","SUT201612-00001","008","1400800061","","0","MESIN PETIK OCHAI EX.GUNUNG MAS","12","02","008010000","080010300","01-05-2012 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","3041681","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","009","SUT201612-00001","008","1400800062","","0","MESIN PETIK OCHAI EX.GUNUNG MAS","12","02","008010000","080010300","01-05-2012 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","3041681","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","010","SUT201612-00001","008","1400800066","","0","MESIN PETIK RGB AFD.SUKATINGAL","10","02","008010000","080010300","25-02-2013 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","17033320","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","011","SUT201612-00001","008","1400800067","","0","MESIN PETIK RG 8 AFD.TALUN","11","02","008010000","080010300","25-02-2013 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","17033320","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","012","SUT201612-00001","008","1400800068","","0","MESIN PETIK RG 8 AFD.SANTOSA","12","02","008010000","080010300","25-02-2013 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","17033320","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","013","SUT201612-00001","008","1400800069","","0","MESIN PETIK RG 8 AFD. LODAYA","14","02","008010000","080010300","25-02-2013 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","17033320","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","014","SUT201612-00001","008","1400800070","","0","MESIN PETIK KAWASAKI","12","02","008010000","080010300","05-03-2013 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","17399999","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","015","SUT201612-00001","008","1400800071","","0","MESIN PETIK KAWASAKI T-320","10","02","008010000","080010300","14-06-2013 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","6379999","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","016","SUT201612-00001","008","1400800072","","0","MESIN PETIK OCHIAI TYPE V8 1210","11","02","008010000","080010300","14-06-2013 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","9125011","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","017","SUT201612-00001","008","1400800077","","0","MESIN PETIK EKS. GUNUNG MAS","02","02","008010000","080010300","01-08-2013 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","12166676","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","018","SUT201612-00001","008","1400800078","","0","MESIN PETIK KAWASAKI","10","02","008010000","080010300","06-12-2013 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","27839999","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","019","SUT201612-00001","008","1400800079","","0","MESIN PETIK KAWASAKI","11","02","008010000","080010300","06-12-2013 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","27839999","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","020","SUT201612-00001","008","1400800080","","0","MESIN PETIK KAWASAKI","12","02","008010000","080010300","06-12-2013 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","13919999","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","021","SUT201612-00001","008","1400800081","","0","MESIN PETIK KAWASAKI","10","02","008010000","080010300","15-02-2014 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","17116674","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","022","SUT201612-00001","008","1400800082","","0","MESIN PETIK KAWASAKI","11","02","008010000","080010300","15-02-2014 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","17116674","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","001","KRC201612-00001","002","1400200009","","0","TBM KOPI TAHUN TANAM 2013 AFD.CIKEMBANG","15","36","002000000","080020900","31-12-2013 00:00:00","","01-01-1900 00:00:00","","0","0","Hektare","-334704566","0","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","002","KRC201612-00001","002","1400200010","","0","TBM KOPI TAHUN TANAM 2014 CIKEMBANG KOPI","15","36","002000000","080020900","31-12-2014 00:00:00","","01-01-1900 00:00:00","","0","0","Hektare","-114998623","0","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","003","KRC201612-00001","002","1400200011","","0","TBM JERUK TAHUN TANAM 2012","11","37","002000000","080020900","31-12-2012 00:00:00","","01-01-1900 00:00:00","","0","0","Hektare","-362438503","0","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","023","SUT201612-00001","008","1400800083","","0","MESIN PETIK KAWASAKI","12","02","008010000","080010300","15-02-2014 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","17116674","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","024","SUT201612-00001","008","1400800084","","0","MESIN PETIK MERK.KAWASAKI","10","02","008010000","080010300","14-03-2014 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","78299999","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","025","SUT201612-00001","008","1400800085","","0","MESIN PETIK MERK.KAWASAKI","11","02","008010000","080010300","14-03-2014 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","46979999","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","026","SUT201612-00001","008","1400800086","","0","MESIN PETIK MERK.KAWASAKI","12","02","008010000","080010300","14-03-2014 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","31319999","0","0","0","04","0","False",
