"kodekebun","kodebudidaya","kodeafdeling","kodeblok","namablok","status","tahuntanam","luas","kodekloon","netral","jmlpohon","tinggipohon","topologi","exareal","KodeTopografi","KodeKetinggian","mdpl","tanggal","jmlPatok",
"14","02","14","3800","HARUMAN","LANCURAN","1925","0,1400","","","0","0","0","Areal6","","","0","01-01-1900 00:00:00","0",
"14","02","14","4200","PASIR PANJANG","LANCURAN","1956","1,7600","","","0","0","0","Areal6","","","0","01-01-1900 00:00:00","0",
"14","21","10","3200","SUKASARI","TTI","2010","1,9100","","212010/04","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","21","10","3300","SUKATINGAL","TTI","2010","4,7700","","212010/04","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","21","10","3400","PASIR IPIS","TTI","2010","9,5500","","212010/04","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","21","10","3500","WASPADA","TTI","2010","10,5600","","212010/04","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","21","10","3600","NYALINDUNG","TTI","2010","0,6800","","212010/04","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","10","3200","SUKASARI","TBM","2010","1,9100","","292010/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","10","3300","SUKATINGAL","TBM","2010","4,7700","","292010/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","10","3400","PASIR IPIS","TBM","2010","2,0000","","292010/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","10","3500","LEWO","TBM","2010","5,2300","","292010/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","10","3600","NYALINDUNG","TBM","2010","2,5000","","292010/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","10","3700","KANCANA","TBM","2010","2,0000","","292010/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","10","3800","PS IPIS","TBM","2010","2,5300","","292010/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","10","3900","LENGKOB","TBM","2010","2,0000","","292010/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","10","4000","SUKAMAJU","TBM","2011","15,0100","","292011/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","10","4100","SIMPANG","TBM","2014","3,7500","","292014/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","10","","","PESEMAIAN","2010","0,6800","","292010/03","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","10","3700","SIMPANG","TTI","2014","3,7500","","292014/04","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","11","3200","BADAK","TBM","2010","2,5600","","292010/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","11","3300","BILUK","TBM","2010","3,6200","","292010/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","11","3400","NEGLA","TBM","2010","3,5600","","292010/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","11","3500","GAMBUNG","TBM","2010","5,0000","","292010/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","11","3600","PASIR LUHUR","TBM","2010","2,6100","","292010/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","11","3700","HEULANG","TBM","2010","4,0000","","292010/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","11","3800","BADAK II","TBM","2010","1,9900","","292010/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","11","3900","JAMUJU","TBM","2010","1,0000","","292010/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","11","4000","BUNTU","TBM","2011","1,5000","","292011/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","11","4100","PASIR LUHUR","TBM","2011","3,5000","","292011/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","11","4200","HEULANG","TBM","2011","3,0000","","292011/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","11","4300","JAMUJU / TEJA","TBM","2011","4,0700","","292011/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","11","4400","BOJONG","TBM","2011","5,1400","","292011/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","11","4500","SIRNAGALIH","TBM","2011","13,8600","","292011/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","11","4600","BUNTU","TBM","2010","2,0000","","292010/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","11","4700","SIRNAGALIH","TBM","2014","2,9700","","292014/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","11","4800","KUYA","TBM","2014","5,9400","","292014/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","11","","","PESEMAIAN","2010","4,0000","","292010/03","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","11","3200","SIRNAGALIH","TTI","2014","2,9700","","292014/04","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","11","3300","KUYA","TTI","2014","5,9400","","292014/04","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","12","5000","KUBANG","TBM","2010","2,5000","","292010/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","12","5100","KUBANG SEREH","TBM","2010","1,7500","","292010/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","12","5200","LG SONO","TBM","2010","4,5000","","292010/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","12","5300","JATI","TBM","2010","2,0000","","292010/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","12","5400","PS KEMAR","TBM","2011","15,2400","","292011/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","12","5500","PEUNTAS","TBM","2011","11,3700","","292011/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","12","5600","ANTANAN","TBM","2011","5,2200","","292011/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","12","5700","KUBANG I","TBM","2012","1,4500","","292012/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","12","5800","KUBANG II","TBM","2012","0,7300","","292012/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","12","5900","PADA AWAS","TBM","2012","1,2700","","292012/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","12","6000","PAGERSARI","TBM","2012","0,5400","","292012/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","12","6100","JATI","TBM","2012","1,1100","","292012/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","12","","","PESEMAIAN","2010","6,4800","","292010/03","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","12","5000","LEGOK SONO","TTI","2011","2,0000","","292011/04","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
