"KodeUnit","tanggal","NoInput","NoBukti","Keterangan","NoUrut","kodeafd","kodebud","norek","netral","kdblok","thntnm","uraian","unsur","DK","nilai","JmlFisik","NamaUser","TglInput","KMK",
"14","01-12-2016 00:00:00","TRANSAKSI","","","","11","02","601070100","2011","1900","","PEMUPUKAN AN-ORGANIK AKAR","","D","23337876,6827258","4000","CLOSING","27-12-2016 09:32:51","01",
"14","01-12-2016 00:00:00","TRANSAKSI","","","","14","02","058032001","292011/02","","","BIAYA TAHUN LALU","","D","5162833,02","0","CLOSING","27-12-2016 09:32:51","01",
"14","01-12-2016 00:00:00","TRANSAKSI","","","","11","02","080021500","","","","PERK. SEDEP","","D","5941653,17","0","CLOSING","27-12-2016 09:32:51","01",
"14","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","050052000","2010","","","BIAYA TAHUN LALU","","K","1838223","0","CLOSING","27-12-2016 09:32:51","01",
"14","31-12-2016 00:00:00","JLL201612-00013","00013","Punishment","003","12","02","144021200","","","","Panishment Upah Panen Bulan Desember 2016","L","D","2662407","0","bin_1","01-01-2017 22:45:58","01",
"14","01-12-2016 00:00:00","TRANSAKSI","","","","15","36","403030000","","","","BIAYA PINDAH","","D","55193,3553630437","0","CLOSING","27-12-2016 09:32:51","01",
"14","31-12-2016 00:00:00","JLL201612-00010","00010","RC","035","02","02","157010000","","","","Pengisaran Remise Biaya PLN Bulan Desember  2016","L","D","195625800","0","bin_1","02-01-2017 09:50:00","01",
"14","01-12-2016 00:00:00","TRANSAKSI","","","","10","02","403010700","","","","BIAYA TRANSPORT PASIEN","","D","145238,231019672","0","CLOSING","27-12-2016 09:32:51","01",
"14","01-12-2016 00:00:00","TRANSAKSI","","","","11","02","604190205","0200","","","DAPENBUN","","D","44642","0","CLOSING","27-12-2016 09:32:51","01",
"14","01-12-2016 00:00:00","TRANSAKSI","","","","20","02","603030004","0200","","","UPAH FERMENTASI","","D","5443995","0","CLOSING","27-12-2016 09:32:51","01",
"14","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","201100000","D8528CV","","","SEWA KENDARAAN","","D","12000000","0","CLOSING","27-12-2016 09:32:51","01",
"14","01-12-2016 00:00:00","TRANSAKSI","","","","10","02","601070600","0200","","","PEMUPUKAN AN-ORGANIK AKAR U/ MESIN PETIK","","D","386990,4","0","CLOSING","27-12-2016 09:32:51","01",
"14","01-12-2016 00:00:00","TRANSAKSI","","","","30","02","201190111","D8975VK","","","TUNJANGAN TETAP","","D","1849000","0","CLOSING","27-12-2016 09:32:51","01",
"14","01-12-2016 00:00:00","TRANSAKSI","","","","12","02","601060201","1974","3200","","BLISTER BLIGHT","","D","233230,30302117","9,45","CLOSING","27-12-2016 09:32:51","01",
"14","01-12-2016 00:00:00","TRANSAKSI","","","","11","02","601190105","0200","","","DAPENBUN","","D","1516598","0","CLOSING","27-12-2016 09:32:51","01",
"14","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","100000000","D8975VK","","","KAS","","K","969500","0","CLOSING","27-12-2016 09:32:51","01",
"14","01-12-2016 00:00:00","TRANSAKSI","","","","30","02","490000200","0200","","","BIAYA PENYUSUTAN NON TANAMAN","","D","182601874,958333","0","CLOSING","27-12-2016 09:32:51","01",
"14","01-12-2016 00:00:00","TRANSAKSI","","","","10","02","154041000","","","","GAJI KARYAWAN LEPAS SUKATINGAL","","K","33429874,0054985","0","CLOSING","27-12-2016 09:32:51","01",
"14","01-12-2016 00:00:00","TRANSAKSI","","","","21","02","058032001","292011/02","","","BIAYA TAHUN LALU","","D","1076410,38","0","CLOSING","27-12-2016 09:32:51","01",
"14","01-12-2016 00:00:00","TRANSAKSI","","","","10","29","058032001","292010/04","","","BIAYA TAHUN LALU","","D","1838529","0","CLOSING","27-12-2016 09:32:51","01",
"14","01-12-2016 00:00:00","TRANSAKSI","","","","10","29","058032001","292011/02","","","BIAYA TAHUN LALU","","D","40009803,21","0","CLOSING","27-12-2016 09:32:51","01",
"14","01-12-2016 00:00:00","TRANSAKSI","","","","10","29","058032001","292011/04","","","BIAYA TAHUN LALU","","D","7892909,01","0","CLOSING","27-12-2016 09:32:51","01",
"14","01-12-2016 00:00:00","TRANSAKSI","","","","10","29","058032001","292012/02","","","BIAYA TAHUN LALU","","D","4995434,22","0","CLOSING","27-12-2016 09:32:51","01",
