"kodekebun","kodeafdeling","namaafdeling",
"14","02","Administrasi",
"14","10","Afdeling Sukatingal",
"14","11","Afdeling Talun",
"14","12","Afdeling Santosa",
"14","14","Afdeling Lodaya",
"14","15","Afdeling Cikembang",
"14","20","Pengolahan Santosa",
"14","21","Pengolahan Talun",
"14","30","Teknik",
