"KodeUnit","Tanggal","NoBukti","NoInput","KodeBudidaya","KodeAfdeling","Norek","KodeBarang","Netral","kdblok","KodeUnsur","Uraian","Jml_fisik","Debet","Kredit","Aplikasi",
"14","21-12-2016 00:00:00","A53201612-V00018","A53201612-00018","02","","300110000","01100930","","","B","Penerimaan 6 BATU GURINDA POTONG 4""","0","150000","0","TUP",
"14","23-12-2016 00:00:00","A53201612-V00028","A53201612-00028","02","","300110000","01100930","","","B","Penerimaan 6 BATU GURINDA POTONG 4""","0","65100","0","TUP",
"14","21-12-2016 00:00:00","A53201612-V00018","A53201612-00018","02","","300110000","01101453","","","B","Penerimaan 1 MUR BAUD 5/8 X 3","0","165000","0","TUP",
"14","23-12-2016 00:00:00","A53201612-V00028","A53201612-00028","02","","300110000","01101518","","","B","Penerimaan 1 MUR BAUD 3/4X5""","0","187500","0","TUP",
"14","21-12-2016 00:00:00","A53201612-V00018","A53201612-00018","02","","300110000","01101521","","","B","Penerimaan 20 KAWAT LAS RD 3,2","0","690000","0","TUP",
"14","23-12-2016 00:00:00","A53201612-V00028","A53201612-00028","02","","300110000","01101521","","","B","Penerimaan 20 KAWAT LAS RD 3,2","0","690000","0","TUP",
"14","21-12-2016 00:00:00","A53201612-V00018","A53201612-00018","02","","300110000","01101522","","","B","Penerimaan 2 KAWAT LAS SS","0","307500","0","TUP",
"14","23-12-2016 00:00:00","A53201612-V00028","A53201612-00028","02","","300110000","01101522","","","B","Penerimaan 2 KAWAT LAS SS","0","307500","0","TUP",
"14","20-12-2016 00:00:00","A53201612-V00015","A53201612-00015","02","","300110000","01101530","","","B","Penerimaan 2 MUR BAUD 1/2X3""","0","305000","0","TUP",
"14","20-12-2016 00:00:00","A53201612-V00015","A53201612-00015","02","","300110000","01101615","","","B","Penerimaan 2 RANTAI RS 40","0","650000","0","TUP",
"14","23-12-2016 00:00:00","A53201612-V00028","A53201612-00028","02","","300110000","01101629","","","B","Penerimaan 1 MUR BAUD 5/8X2""","0","153750","0","TUP",
"14","20-12-2016 00:00:00","A53201612-V00015","A53201612-00015","02","","300110000","01101747","","","B","Penerimaan 3 SPROKET 50 T22","0","375000","0","TUP",
"14","26-12-2016 00:00:00","A53201612-V00034","A53201612-00034","02","","300110000","01102690","","","B","Penerimaan 1 TINOL 2MM","0","65000","0","TUP",
"14","24-12-2016 00:00:00","A53201612-V00031","A53201612-00031","02","","300110000","01102734","","","B","Penerimaan 10 MUR BAUD 3/4X6","0","210000","0","TUP",
"14","20-12-2016 00:00:00","A53201612-V00015","A53201612-00015","02","","300110000","01102964","","","B","Penerimaan 4 PLAT STRIP 5MMX4X6M","0","340000","0","TUP",
"14","21-12-2016 00:00:00","A53201612-V00020","A53201612-00020","02","","300120000","01200468","","","B","Penerimaan 100 TALI PALLET","0","6500000","0","TUP",
"14","24-12-2016 00:00:00","A53201612-V00031","A53201612-00031","02","","300140000","01400788","","","B","Penerimaan 3 BEARING 2309","0","1462500","0","TUP",
"14","26-12-2016 00:00:00","A53201612-V00034","A53201612-00034","02","","300140000","01402227","","","B","Penerimaan 2 LAGER RLS 12 KOYO","0","358000","0","TUP",
"14","21-12-2016 00:00:00","A53201612-V00018","A53201612-00018","02","","300140000","01402228","","","B","Penerimaan 3 BEARING 22209 FAG","0","1207500","0","TUP",
"14","20-12-2016 00:00:00","A53201612-V00015","A53201612-00015","02","","300140000","01402677","","","B","Penerimaan 3 SPROKET RS 50 T 18","0","195000","0","TUP",
"14","21-12-2016 00:00:00","A53201612-V00018","A53201612-00018","02","","300140000","01403369","","","B","Penerimaan 1 BEARING 22218 K","0","1380000","0","TUP",
"14","26-12-2016 00:00:00","A53201612-V00034","A53201612-00034","02","","300140000","01403932","","","B","Penerimaan 2 BEARING 6208 ZZ","0","234000","0","TUP",
"14","24-12-2016 00:00:00","A53201612-V00031","A53201612-00031","02","","300140000","01404063","","","B","Penerimaan 3 BEARING 30208","0","500250","0","TUP",
"14","20-12-2016 00:00:00","A53201612-V00015","A53201612-00015","02","","300140000","01404065","","","B","Penerimaan 2 UCP 208 DIAMETER 40 FYH","0","483000","0","TUP",
"14","20-12-2016 00:00:00","A53201612-V00015","A53201612-00015","02","","300140000","01404067","","","B","Penerimaan 2 UCP 206 DIAMETER 30 FYH","0","372000","0","TUP",
"14","20-12-2016 00:00:00","A53201612-V00015","A53201612-00015","02","","300140000","01404079","","","B","Penerimaan 15 CARIER MONORAIL U.17CM","0","2490750","0","TUP",
"14","21-12-2016 00:00:00","A53201612-V00018","A53201612-00018","02","","300140000","01404106","","","B","Penerimaan 1 CHAIN COUPLING KC 8022","0","1518000","0","TUP",
"14","26-12-2016 00:00:00","A53201612-V00035","A53201612-00035","02","","300140000","01404192","","","B","Penerimaan 1 BURNER WOOD PELET","0","40000000","0","TUP",
"14","30-12-2016 00:00:00","A53201612-V00046","A53201612-00046","02","","300140000","01404192","","","B","Penerimaan 1 BURNER WOOD PELET","0","40000000","0","TUP",
"14","28-12-2016 00:00:00","A53201612-V00041","A53201612-00041","02","","300140000","01404192","","","B","Penerimaan 1 BURNER WOOD PELET","0","40000000","0","TUP",
"14","15-12-2016 00:00:00","A58201612-V00170","A58201612-00170","36","15","042070400","00201434","2013","1600","B","Pemakaian 495 PCM (PUPUK CAIR MAGOT) Utk.Afdeling/Bagian Afdeling Cikembang","495","1380853,08355062","0","TUP",
"14","31-12-2016 00:00:00","A58201612-V00458","A58201612-00458","02","12","601070300","00201434","2009","2700","B","Pemakaian 3.7 PCM (PUPUK CAIR MAGOT) Utk.Afdeling/Bagian Afdeling Santosa","3,7","10321,5281748147","0","TUP",
"14","21-12-2016 00:00:00","A58201612-V00267","A58201612-00267","02","11","601050200","00202133","2001","2700","B","Pemakaian 9 VINO 640 SL Utk.Afdeling/Bagian Afdeling Talun","9","358183,116691285","0","TUP",
"14","27-12-2016 00:00:00","A58201612-V00383","A58201612-00383","02","14","601050200","00202133","1986","0600","B","Pemakaian 14 VINO 640 SL Utk.Afdeling/Bagian Afdeling Lodaya","14","557173,740752254","0","TUP",
"14","20-12-2016 00:00:00","A58201612-V00246","A58201612-00246","02","10","601050200","00202133","1990","0200","B","Pemakaian 9 VINO 640 SL Utk.Afdeling/Bagian Afdeling Sukatingal","9","358183,116074052","0","TUP",
"14","19-12-2016 00:00:00","A58201612-V00232","A58201612-00232","02","12","601050200","00202133","1990","0600","B","Pemakaian 6 VINO 640 SL Utk.Afdeling/Bagian Afdeling Santosa","6","238788,744948755","0","TUP",
"14","21-12-2016 00:00:00","A58201612-V00272","A58201612-00272","02","12","601050200","00202133","2009","3300","B","Pemakaian 17 VINO 640 SL Utk.Afdeling/Bagian Afdeling Santosa","17","676568,11048411","0","TUP",
"14","17-12-2016 00:00:00","A58201612-V00206","A58201612-00206","02","14","601050200","00202133","2011","3400","B","Pemakaian 10 VINO 640 SL Utk.Afdeling/Bagian Afdeling Lodaya","10","397981,240708977","0","TUP",
"14","28-12-2016 00:00:00","A58201612-V00408","A58201612-00408","02","14","601050200","00202133","1999","1000","B","Pemakaian 16 VINO 640 SL Utk.Afdeling/Bagian Afdeling Lodaya","16","636769,986829727","0","TUP",
"14","17-12-2016 00:00:00","A58201612-V00197","A58201612-00197","02","10","601050200","00202133","2012","2300","B","Pemakaian 15 VINO 640 SL Utk.Afdeling/Bagian Afdeling Sukatingal","15","596971,865630205","0","TUP",
"14","17-12-2016 00:00:00","A58201612-V00199","A58201612-00199","02","11","601050200","00202133","1983","1000","B","Pemakaian 21 VINO 640 SL Utk.Afdeling/Bagian Afdeling Talun","21","835760,610302352","0","TUP",
"14","17-12-2016 00:00:00","A58201612-V00202","A58201612-00202","02","12","601050200","00202133","1974","1500","B","Pemakaian 16 VINO 640 SL Utk.Afdeling/Bagian Afdeling Santosa","16","636769,985269122","0","TUP",
"14","18-12-2016 00:00:00","A58201612-V00223","A58201612-00223","02","14","601050200","00202133","1991","0800","B","Pemakaian 6 VINO 640 SL Utk.Afdeling/Bagian Afdeling Lodaya","6","238788,746328822","0","TUP",
"14","19-12-2016 00:00:00","A58201612-V00227","A58201612-00227","02","10","601050200","00202133","2000","1600","B","Pemakaian 13 VINO 640 SL Utk.Afdeling/Bagian Afdeling Sukatingal","13","517375,616971811","0","TUP",
"14","18-12-2016 00:00:00","A58201612-V00223","A58201612-00223","02","14","601050200","00202133","1999","0900","B","Pemakaian 10 VINO 640 SL Utk.Afdeling/Bagian Afdeling Lodaya","10","397981,243881371","0","TUP",
"14","13-12-2016 00:00:00","A58201612-V00128","A58201612-00128","02","12","601050200","00202133","1990","0700","B","Pemakaian 2 VINO 640 SL Utk.Afdeling/Bagian Afdeling Santosa","2","79596,2484536082","0","TUP",
"14","14-12-2016 00:00:00","A58201612-V00144","A58201612-00144","02","12","601050200","00202133","2010","2900","B","Pemakaian 19 VINO 640 SL Utk.Afdeling/Bagian Afdeling Santosa","19","756164,361357702","0","TUP",
"14","15-12-2016 00:00:00","A58201612-V00167","A58201612-00167","02","14","601050200","00202133","1986","0600","B","Pemakaian 27 VINO 640 SL Utk.Afdeling/Bagian Afdeling Lodaya","27","1074549,35132218","0","TUP",
"14","16-12-2016 00:00:00","A58201612-V00181","A58201612-00181","02","12","601050200","00202133","2000","2000","B","Pemakaian 10 VINO 640 SL Utk.Afdeling/Bagian Afdeling Santosa","10","397981,243154436","0","TUP",
"14","16-12-2016 00:00:00","A58201612-V00185","A58201612-00185","02","14","601050200","00202133","2011","3200","B","Pemakaian 15 VINO 640 SL Utk.Afdeling/Bagian Afdeling Lodaya","15","596971,866740088","0","TUP",
"14","14-12-2016 00:00:00","A58201612-V00149","A58201612-00149","02","14","601050200","00202133","2000","1900","B","Pemakaian 19 VINO 640 SL Utk.Afdeling/Bagian Afdeling Lodaya","19","756164,364978903","0","TUP",
"14","23-12-2016 00:00:00","A58201612-V00320","A58201612-00320","02","11","601050200","00202133","1918","2500","B","Pemakaian 7 VINO 640 SL Utk.Afdeling/Bagian Afdeling Talun","7","278586,871016692","0","TUP",
"14","23-12-2016 00:00:00","A58201612-V00325","A58201612-00325","02","14","601050200","00202133","1999","1000","B","Pemakaian 16 VINO 640 SL Utk.Afdeling/Bagian Afdeling Lodaya","16","636769,989637306","0","TUP",
"14","26-12-2016 00:00:00","A58201612-V00365","A58201612-00365","02","12","601050200","00202133","2008","2500","B","Pemakaian 5 VINO 640 SL Utk.Afdeling/Bagian Afdeling Santosa","5","198990,619770685","0","TUP",
