"tanggal","kodeunit","kodeafd","kodebud","grup","nobukti","uraian","norek","DK","nilai","netral","thntnm","jmlfisik",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00101","Gaji Bulan : 12-2016","400010000","D","11922000","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00101","Gaji Bulan : 12-2016","600000100","D","23661000","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00101","Gaji Bulan : 12-2016","600000200","D","6721000","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00102","Tunjangan Tetap Bulan : 12-2016","403240000","D","3972000","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00102","Tunjangan Tetap Bulan :12-2016","600000111","D","7883000","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00102","Tunjangan Tetap Bulan :12-2016","600000211","D","2239000","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00103","Tunjangan Khusus Bulan : 12-2016","600000114","D","2129200","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00104","Tunj.Jamsostek & BPJS Bbn.Persh. Bulan : 12-2016","403100000","D","1034553","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00104","BPJS Kesehatan Bulan : 12-2016","403010100","D","2232680","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00104","Tunj.Jamsostek & BPJS Bbn.Persh. Bulan : 12-2016","600000104","D","2062978","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00104","Tunj.Jamsostek & BPJS Bbn.Persh. Bulan : 12-2016","600000204","D","585984","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00105","Tunj.Dapenbun Bulan : 12-2016","403060000","D","269998","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00105","Tunj.Dapenbun Bulan : 12-2016","600000105","D","468591","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00105","Tunj.Dapenbun Bulan : 12-2016","600000205","D","85433","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00106","Tunjangan Trans.Sepeda Motor Bulan : 12-2016","600000110","D","900000","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00112","Tunjangan PPIP Bulan : 12-2016","600000105","D","65410","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00112","Tunjangan PPIP Bulan : 12-2016","600000205","D","66864","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00202","Tunjangan Struktural Bulan : 12-2016","403250000","D","5052000","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00203","Tunjangan Jabatan Bulan : 12-2016","403260000","D","5447000","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00203","Tunjangan Jabatan Bulan : 12-2016","600000113","D","6400000","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00203","Tunjangan Jabatan Bulan : 12-2016","600000213","D","1694000","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00301","Potongan Jamsostek & BPJS Bulan : 12-2016","154010000","D","8163848","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00302","Potongan Dapenbun Bulan : 12-2016","154010000","D","1527315","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00303","Pinjaman Peg.Staf Bulan : 12-2016","154010000","D","15548057","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00304","Potongan Koperasi Bulan : 12-2016","154010000","D","4269550","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00305","Potongan PPIP Bulan : 12-2016","154010000","D","245168","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00401","Tunjangan PPH Ps.21 Bulan : 12-2016","403120000","D","1354058","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00401","Tunjangan PPH Ps.21 Bulan : 12-2016","600000107","D","220740","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00401","Tunjangan PPH Ps.21 Bulan : 12-2016","600000207","D","72929","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00402","Potongan PPH Ps.21 Bulan : 12-2016","154010000","D","1647727","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00101","Gaji Bulan :12-2016","154010000","K","42304000","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00102","Tunjangan Tetap Bulan : 12-2016","154010000","K","14094000","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00103","Tunjangan Khusus Bulan : 12-2016","154010000","K","2129200","","","0",
