"kodeunit","tanggal","norek","netral","kdtrans","kodeafd","kodebud","kdblok","thntnm","kdselisihRK","uraian","rk","saldo_klas_a","saldo_klas_b","saldo_klas_c","saldo_bl_diseleksi","fisik_awal_tahun","biaya_awal_tahun","penambahan_bi","penambahan_sd_bl","ke_tti_bi","ke_tti_bl","ke_tbm_bi","ke_tbm_bl","ke_tm_bi","ke_tm_bl","ke_polybag_bi","ke_polybag_bl","dikirim_bi","dikirim_bl","dijual_bi","dijual_bl","mati_bi","mati_bl","HariKerja","BarangBahan","HasilKerja","HariKerjaKL",
"14","04-12-2016 00:00:00","080010100","","RK","","","","","","","97946074160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"14","02-12-2016 00:00:00","","","PRK","","","","","EKSPLOITASI","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",
