"NPP","NoUrut","TKPendidikan","Pendidikan","Nama","Kota","StatAkreditasi","DNLN","TahunAwal","TahunAkhir","StatLulus","NoIjasah","TglIjasah","Nilai","Grade","UserId","TglInput",
"01019975033564","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
"01019975033571","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
"01019976033546","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
"01019977033566","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
"01027962017522","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
"01027963017523","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
"01028061019217","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
"01028063019218","01","2","2A00","SMP","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
"01028063019218","02","3","3AC0","SMA","BANDUNG","0","D","2003","2004","L","10PC001507","01-01-1900 00:00:00","30,2","C","MIGRASI","07-05-2015 08:59:04",
"01028463022291","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
"01028565024911","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
"01028566024912","01","2","2A00","SMP","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
"01030268037306","01","1","1000","SD","BANDUNG","1","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
"01030268037309","01","2","2000","","","2","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
"01030270037305","01","1","1000","","","1","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
"01030270037310","01","2","2000","","","2","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
"01030274037307","01","3","3A00","SMA","BANDUNG","1","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
"01030275037308","01","2","2000","UMUM","","0","D","","","L","02DI 0364621","28-06-1994 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
"01030276037312","01","1","1000","","","1","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
"01030276037313","01","1","1000","","","1","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
"01030280037311","01","1","1000","","","1","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
