"KodeUnit","tanggal","NoInput","NoBukti","Keterangan","NoUrut","kodeafd","kodebud","norek","netral","kdblok","thntnm","uraian","unsur","DK","nilai","JmlFisik","NamaUser","TglInput","KMK",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","14","02","601070500","1969","1400","","PEMUPUKAN DAUN LAINNYA","","D","545826,694978131","91,09","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","14","02","601070500","1969","1900","","PEMUPUKAN DAUN LAINNYA","","D","150542,415174333","24,99","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","14","02","601070500","1969","2000","","PEMUPUKAN DAUN LAINNYA","","D","153449,854496671","25,36","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","14","02","601070500","1969","2100","","PEMUPUKAN DAUN LAINNYA","","D","387214,989278755","65","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","14","02","601070500","1969","2300","","PEMUPUKAN DAUN LAINNYA","","D","140636,434907518","23,37","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","14","02","601070500","1969","2400","","PEMUPUKAN DAUN LAINNYA","","D","646854,499736555","97,94","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","14","02","601070500","2000","1800","","PEMUPUKAN DAUN LAINNYA","","D","530770,327139884","89,28","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","14","02","601070500","2001","2500","","PEMUPUKAN DAUN LAINNYA","","D","69925,766749647","11,42","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","14","02","601070500","2010","2700","","PEMUPUKAN DAUN LAINNYA","","D","322032,671258356","54","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","10","02","601071900","","0100","","EAP","","D","66974,8439893835","15","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","10","02","601071900","","0500","","EAP","","D","66974,8439893835","15","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","10","02","601071900","","0700","","EAP","","D","85838,2953550679","15","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","10","02","601071900","","0800","","EAP","","D","53579,8751915068","12","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","10","02","601071900","","1100","","EAP","","D","71439,8335886757","16","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","10","02","601071900","","1300","","EAP","","D","97283,4014024103","17","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","10","02","601071900","","1400","","EAP","","D","85838,2953550679","15","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","10","02","601071900","","1600","","EAP","","D","100078,891782403","15","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","10","02","601071900","","1800","","EAP","","D","133949,687978767","30","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","10","02","601071900","","2000","","EAP","","D","66974,8439893835","15","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","10","02","601071900","","2100","","EAP","","D","66974,8439893835","15","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","10","02","601071900","","2200","","EAP","","D","66974,8439893835","15","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","10","02","601071900","","2300","","EAP","","D","84834,8023865524","19","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","10","02","601071900","","2500","","EAP","","D","75904,823187968","17","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","10","02","601071900","","2600","","EAP","","D","49114,8855922146","11","CLOSING","30-04-2019 15:49:50","01",
