"tanggal","kodeunit","kodeafd","kodebud","grup","nobukti","uraian","norek","DK","nilai","netral","thntnm","jmlfisik",
"31-01-2017 00:00:00","71","30","00","02","GJI201701V-10102","Tunjangan Tetap Bulan : 01-2017","201190111","D","452000","D8907EO","","0",
"31-01-2017 00:00:00","71","30","00","02","GJI201701V-10102","Tunjangan Tetap Bulan : 01-2017","201190111","D","551000","D8108DQ","","0",
"31-01-2017 00:00:00","71","30","00","02","GJI201701V-10102","Tunjangan Tetap Bulan : 01-2017","201190111","D","598000","D8502DT","","0",
"31-01-2017 00:00:00","71","30","00","02","GJI201701V-10102","Tunjangan Tetap Bulan : 01-2017","201190111","D","416000","D8906EO","","0",
"31-01-2017 00:00:00","71","30","00","02","GJI201701V-10102","Tunjangan Tetap Bulan : 01-2017","201190111","D","533000","D8907EO","","0",
"31-01-2017 00:00:00","71","21","00","02","GJI201701V-10102","Tunjangan Tetap Bulan : 01-2017","080026900","D","387000","","","0",
"31-01-2017 00:00:00","71","02","00","02","GJI201701V-10102","Tunjangan Tetap Bulan : 01-2017","154020200","K","10934000","","","0",
"31-01-2017 00:00:00","71","10","00","02","GJI201701V-10102","Tunjangan Tetap Bulan : 01-2017","154021000","K","3484000","","","0",
"31-01-2017 00:00:00","71","11","00","02","GJI201701V-10102","Tunjangan Tetap Bulan : 01-2017","154021100","K","4237000","","","0",
"31-01-2017 00:00:00","71","12","00","02","GJI201701V-10102","Tunjangan Tetap Bulan : 01-2017","154021200","K","4037000","","","0",
"31-01-2017 00:00:00","71","13","31","02","GJI201701V-10102","Tunjangan Tetap Bulan : 01-2017","154021300","K","1527000","","","0",
"31-01-2017 00:00:00","71","14","31","02","GJI201701V-10102","Tunjangan Tetap Bulan : 01-2017","154021400","K","2837000","","","0",
"31-01-2017 00:00:00","71","15","31","02","GJI201701V-10102","Tunjangan Tetap Bulan : 01-2017","154021500","K","1044000","","","0",
"31-01-2017 00:00:00","71","21","00","02","GJI201701V-10102","Tunjangan Tetap Bulan : 01-2017","154022100","K","3924000","","","0",
"31-01-2017 00:00:00","71","30","00","02","GJI201701V-10102","Tunjangan Tetap Bulan : 01-2017","154023000","K","8011000","","","0",
"31-01-2017 00:00:00","71","02","00","02","GJI201701V-10104","Tunj.Jamsostek & BPJS Bbn.Persh. Bulan : 01-2017","404100000","D","2526141","","","0",
"31-01-2017 00:00:00","71","10","00","02","GJI201701V-10104","Tunj.Jamsostek & BPJS Bbn.Persh. Bulan : 01-2017","404100000","D","144207","","","0",
"31-01-2017 00:00:00","71","12","00","02","GJI201701V-10104","Tunj.Jamsostek & BPJS Bbn.Persh. Bulan : 01-2017","404100000","D","127334","","","0",
"31-01-2017 00:00:00","71","13","31","02","GJI201701V-10104","Tunj.Jamsostek & BPJS Bbn.Persh. Bulan : 01-2017","404100000","D","144207","","","0",
"31-01-2017 00:00:00","71","21","00","02","GJI201701V-10104","Tunj.Jamsostek & BPJS Bbn.Persh. Bulan : 01-2017","404100000","D","208430","","","0",
"31-01-2017 00:00:00","71","30","00","02","GJI201701V-10104","Tunj.Jamsostek & BPJS Bbn.Persh. Bulan : 01-2017","404100000","D","950000","","","0",
"31-01-2017 00:00:00","71","02","00","02","GJI201701V-10104","Tunj.BPJS Kesehatan Bbn.Persh. Bulan : 01-2017","404010100","D","1969358","","","0",
"31-01-2017 00:00:00","71","10","00","02","GJI201701V-10104","Tunj.BPJS Kesehatan Bbn.Persh. Bulan : 01-2017","404010100","D","615102","","","0",
"31-01-2017 00:00:00","71","11","00","02","GJI201701V-10104","Tunj.BPJS Kesehatan Bbn.Persh. Bulan : 01-2017","404010100","D","802599","","","0",
"31-01-2017 00:00:00","71","12","00","02","GJI201701V-10104","Tunj.BPJS Kesehatan Bbn.Persh. Bulan : 01-2017","404010100","D","790736","","","0",
"31-01-2017 00:00:00","71","13","31","02","GJI201701V-10104","Tunj.BPJS Kesehatan Bbn.Persh. Bulan : 01-2017","404010100","D","269977","","","0",
