"kodekebun","kodebudidaya","kodeafdeling","kodeblok","namablok","status","tahuntanam","luas","kodekloon","netral","jmlpohon","tinggipohon","topologi","exareal","KodeTopografi","KodeKetinggian","mdpl","tanggal","jmlPatok",
"71","00","12","0026","BLOK 26","TM","1998","73,0400","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"71","31","12","0009","TM INTERCROP 14.6 HA","TM","2014","14,6000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"71","31","12","0023","TM INTERCROP SUTET 2.27 HA","TM","2014","2,2700","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"71","31","13","0001","MONOCROP ARTANA","TM","2012","2,2300","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"71","31","13","0002","MONOCROP ARTANA","TM","2013","2,7700","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"71","31","13","0003","MONOCROP AFD IV","TM","2013","10,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"71","31","13","0004","MONOCROP AFD IV","TM","2014","9,4300","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"71","31","13","0005","MONOCROP AFD IV","TM","2013","8,5000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"71","31","13","0006","MONOCROP AFD IV","TM","2014","7,7500","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"71","31","14","0003","03 MONOCROP","TM","2014","1,5000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"71","31","14","0004","04 MONOCROP","TM","2014","9,5000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"71","31","14","0005","TM MONOCROP AFD V","TM","2013","1,7500","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"71","31","14","0006","TM MONOCROP AFD V","TM","2014","13,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"71","31","14","0007","TM MONOCROP AFD V","TM","2013","17,5100","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"71","31","14","0008","TM MONOCROP AFD V","TM","2013","20,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"71","31","14","0009","TM MONOCROP AFD V","TM","2013","19,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"71","31","15","0005","TM MONOCROP AFD VI","TM","2013","3,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"71","31","15","0006","TM MONOCROP AFD VI","TM","2013","9,0000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"71","31","15","0007","TM MONOCROP AFD VI","TM","2013","18,5000","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"71","31","15","0008","TM MONOCROP AFD VI","TM","2014","4,3900","","","0","0","0","Areal1","","","0","01-01-1900 00:00:00","0",
"71","00","11","0002","Blok 02","TBM","2012","25,3600","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"71","00","11","0005","Blok 05","TBM","2012","36,1500","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"71","00","11","0014","Blok 14","TBM","2014","41,9800","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"71","30","11","0001","01 TBM PEPAYA EXOTICA AFD II","TBM","2014","0,7000","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"71","30","11","0002","02 TBM PEPAYA AFD II","TBM","2014","1,0000","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"71","30","11","0003","03 TBM PEPAYA AFD II","TBM","2014","4,0000","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"71","00","12","0009","09 TBM Mandaling","TBM","2013","86,4200","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"71","31","13","0006","06 MONO ARTANA","TBM","2013","10,0000","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"71","31","13","0007","06 MONO ARTANA","TBM","2013","8,5000","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"71","31","13","0010","10 MONO ARTANA","TBM","2014","9,4300","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"71","31","13","0011","11 MONO ARTANA","TBM","2014","7,7500","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
"71","31","13","0012","12 MONO ARTANA","TBM","2014","6,8200","","","0","0","0","Areal2","","","0","01-01-1900 00:00:00","0",
