"Aplikasi","bulan",
"AKT","31-01-2017 00:00:00",
"KAS","31-01-2017 00:00:00",
"TUP","31-01-2017 00:00:00",
"AKN","31-01-2017 00:00:00",
"PRD","31-01-2017 00:00:00",
"EAP","31-01-2017 00:00:00",
"GUP","31-01-2017 00:00:00",
