"NPP","NoUrut","TKPendidikan","Pendidikan","Nama","Kota","StatAkreditasi","DNLN","TahunAwal","TahunAkhir","StatLulus","NoIjasah","TglIjasah","Nilai","Grade","UserId","TglInput",
"01109570031909","001","","7000","INSTITUT PERTANIAN BOGOR","BOGOR","Disamakan","D","1988","1994","Y","","01-01-1900 00:00:00","0","","","01-01-1900 00:00:00",
"01079969034934","01","1","1A00","SEKOLAH DASAR","SUKABUMI","2","D","1978","1984","L","","01-01-1900 00:00:00","0","","MIGRASI","11-05-2015 15:41:59",
"01079970034932","01","1","1A00","SEKOLAH DASAR","SUKABUMI","2","D","1981","1987","L","","01-01-1900 00:00:00","0","","MIGRASI","11-05-2015 15:41:59",
"01079970034944","01","1","1A00","SEKOLAH DASAR","SUKABUMI","2","D","1980","1987","L","","01-01-1900 00:00:00","0","","MIGRASI","11-05-2015 15:41:59",
"01079971034918","01","1","1A00","SEKOLAH DASAR","SUKABUMI","2","D","1980","1986","L","","01-01-1900 00:00:00","0","","MIGRASI","11-05-2015 15:41:59",
"01079971034918","02","2","2000","SLTP","SUKABUMI","2","D","1986","1989","L","","01-01-1900 00:00:00","0","","MIGRASI","11-05-2015 15:41:59",
"01079972034926","01","1","1A00","SEKOLAH DASAR","SUKABUMI","2","D","1983","1989","L","","01-01-1900 00:00:00","0","","MIGRASI","11-05-2015 15:42:00",
"01079974034946","01","1","1A00","SEKOLAH DASAR","SUKABUMI","2","D","1983","1989","L","","01-01-1900 00:00:00","0","","MIGRASI","11-05-2015 15:42:00",
"01080263038283","01","1","1A00","SEKOLAH DASAR","","0","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","11-05-2015 15:42:00",
"01080264038282","01","1","1A00","SEKOLAH DASAR","","0","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","11-05-2015 15:42:00",
"01080264038284","01","1","1A00","SEKOLAH DASAR","","0","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","11-05-2015 15:42:00",
"01080265038291","01","1","1A00","SEKOLAH DASAR","","0","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","11-05-2015 15:42:00",
"01080267038281","01","1","1A00","SEKOLAH DASAR","","0","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","11-05-2015 15:42:00",
"01080267038286","01","1","1A00","SEKOLAH DASAR","","0","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","11-05-2015 15:42:00",
"01080267038288","01","1","1A00","SEKOLAH DASAR","","0","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","11-05-2015 15:42:00",
"01080267038290","01","1","1A00","SEKOLAH DASAR","","0","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","11-05-2015 15:42:00",
"01080268038280","01","1","1A00","SEKOLAH DASAR","","0","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","11-05-2015 15:42:00",
