"kodeunit","tgltran","nobukti","noaktiva","kdafd","kdbud","kelompok","norek","tglbeli","nmaktiva","kelompokaset","tarifpct","jmlunit","satuan","sawalp","auditp","rcp","hapusp","rekp","kbnp","murnip","sawals","audits","rcs","hapuss","kbns","reks","murnis","stopr","thntnm","kondisi",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800058","21","00","008","008050000","30-11-2011 00:00:00","SKAT ALUMUNIUM","04","20","500","BUAH","79750000","0","0","0","0","0","0","79749500","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800059","21","00","008","008050000","31-12-2009 00:00:00","SKAT ALUMUNIUM 5 SET","04","20","500","BUAH","64250000","0","0","0","0","0","0","64249980","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800060","21","00","008","008060000","01-01-1972 00:00:00","BALPRES TANGAN","04","20","2","BUAH","148920","0","0","0","0","0","0","148918","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800061","30","00","008","008060000","01-01-1972 00:00:00","TIMBANGAN JEMBATAN","04","20","1","BUAH","74460","0","0","0","0","0","0","74459","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800062","21","00","008","008060000","01-01-1989 00:00:00","TIMBANGAN","04","20","1","BUAH","5500000","0","0","0","0","0","0","5499999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800063","30","00","008","008060000","31-12-1999 00:00:00","POMPA AIR SIHI","04","20","1","BUAH","19800000","0","0","0","0","0","0","19799999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100800064","21","00","008","008190000","01-10-2009 00:00:00","SEKAT ALUMINIUM","04","20","594","BUAH","76329000","0","0","0","0","0","0","76328406","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7101100006","02","00","011","011010000","30-09-2005 00:00:00","HGU/BPHTB AFD.IV/ARTANA","04","0","1","Hektare","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7101100007","02","00","011","011050000","19-08-2002 00:00:00","PEMBUATAN PATOK BATAS HGU BOTE","04","0","511","BUAH","45990000","0","0","0","0","0","0","24681326","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7101100008","02","00","011","011050000","01-01-1983 00:00:00","TANAH HGU  *","04","0","2","Hektare","1385620000","0","0","0","0","0","0","1385619998","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7101100009","02","00","011","011050000","01-01-1984 00:00:00","TANAH HGU  *","04","0","1","Hektare","23804170","0","0","0","0","0","0","23804169","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7101100010","02","00","011","011050000","01-01-1989 00:00:00","TANAH HGU  *","04","0","1","Hektare","46170000","0","0","0","0","0","0","46169999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7101100011","02","00","011","011050000","01-01-1990 00:00:00","TANAH HGU  *","04","0","13","Hektare","8725178","0","0","0","0","0","0","8725165","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7101100012","02","00","011","011050000","30-09-1900 00:00:00","BIAYA PEMERIK.TANAH","04","0","1","Hektare","10079826","0","0","0","0","0","0","10079825","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7101100013","02","00","011","011050000","31-12-1999 00:00:00","PERPANJANGAN SERTIFIKAT","04","0","1","Hektare","55778000","0","0","0","0","0","0","55777999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7101100014","02","00","011","011050000","31-03-2000 00:00:00","PRA SURVEY HGU","04","0","1","Hektare","13077500","0","0","0","0","0","0","13077499","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7101100015","02","00","011","011050000","01-01-1994 00:00:00","TANAH HGU  *","04","0","1","Hektare","23804500","0","0","0","0","0","0","21027245","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7101100016","02","00","011","011050000","30-11-2001 00:00:00","BY.PENDAP TANAH HGU BOTE U/PERPANJANGAN","04","0","1","Hektare","5000000","0","0","0","0","0","0","3008719","0","0","0","0","0","0","","","0",
"71","31-01-2017 00:00:00","SST201701-00001","7100100019","10","00","001","001000000","01-01-1994 00:00:00","TM AFD.I TAHUN TANAM 1986","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","46912,49","","","0",
"71","31-01-2017 00:00:00","SST201701-00001","7100100043","12","00","001","001000000","01-01-2012 00:00:00","TM TAHUN TANAM 2006","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","8061277,86666667","","","0",
"71","31-01-2017 00:00:00","SST201701-00001","7100100030","12","00","001","001000000","21-01-2004 00:00:00","TM AFD.III TAHUN TANAM 1996","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","2853802,83","","","0",
"71","31-01-2017 00:00:00","SST201701-00001","7100100032","12","00","001","001000000","01-01-2005 00:00:00","TM AFD.III TAHUN TANAM 1998","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","11489542,7366667","","","0",
"71","31-01-2017 00:00:00","SST201701-00001","7100100033","12","00","001","001000000","01-01-2005 00:00:00","TM AFD.III TAHUN TANAM 1997","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","1786694,18333333","","","0",
"71","31-01-2017 00:00:00","SST201701-00001","7100100038","12","00","001","001000000","25-01-2006 00:00:00","TM AFD.III TAHUN TANAM 1999","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","13576656,4833333","","","0",
"71","31-01-2017 00:00:00","SST201701-00001","7100100040","12","00","001","001000000","01-01-2007 00:00:00","TM AFD.III TAHUN TANAM 2001","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","13848835,2766667","","","0",
"71","31-01-2017 00:00:00","SST201701-00001","7100100041","12","00","001","001000000","01-01-2009 00:00:00","TM TAHUN TANAM 2003","04","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","6592509,44","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100400052","12","00","004","004190000","30-11-2001 00:00:00","PEMBUATAN TPH UK.16M2","02","10","1","UNIT","11994000","0","0","0","0","0","0","11993999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100400053","21","00","004","004190000","30-11-2001 00:00:00","PEMBUATAN 5 UNT TUNGKU KAMAR ASAP 172M2","01","5","1","UNIT","0","0","0","0","0","0","0","-2081250","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100400054","21","00","004","004190000","30-11-2001 00:00:00","PEMBUATAN 1 UNT BAK AIR PENJERNIHAN 45M3","01","5","1","UNIT","19931000","0","0","0","0","0","0","19930999","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100400055","21","00","004","004190000","31-12-2003 00:00:00","RUMAH ASAP PERMANEN NO.IV","01","5","1","UNIT","265495456","0","0","0","0","0","0","248550196,733333","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100400056","21","00","004","004190000","31-12-2007 00:00:00","KAMAR ASAP BARU PERMANEN (5KAMAR)","01","5","1","UNIT","522941818","0","0","0","0","0","0","278937148,658333","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100400057","21","00","004","004190000","31-10-2009 00:00:00","PAGAR BETON PANEL  (LOKASI RSS KASAP)","01","5","1","UNIT","105000000","0","0","0","0","0","0","38062500","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100400058","10","00","004","004190000","30-06-2010 00:00:00","TPH UK.25 M2 PERMANEN DI AFD.I","01","5","1","UNIT","23875000","0","0","0","0","0","0","7858842,83333334","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100400059","12","00","004","004190000","30-06-2010 00:00:00","TPH UK.25 M2 PERMANEN DI AFD.III","01","5","1","UNIT","23875000","0","0","0","0","0","0","7858842,83333333","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100400060","10","00","004","004190000","31-12-2011 00:00:00","TPH AFD.I","01","5","1","UNIT","38984680","0","0","0","0","0","0","9908597,83333335","0","0","0","0","0","0","","","0",
