"kodeunit","tanggal","kodebud","kodeJenisOlah","kodegrade","kodevar","norek","kodekbn","bi","rbi","pbi",
"71","31-01-2017 00:00:00","00","0000","","BASAH","6080200","71","154462","66667","66667",
"71","31-01-2017 00:00:00","00","0000","","BASAH","6090100","69","-68344","-114815","-114815",
"71","31-01-2017 00:00:00","00","0000","","BASAH","X","71","323946","507407","507407",
"71","31-01-2017 00:00:00","00","0000","","JADI","6080400","50","339","0","0",
"71","31-01-2017 00:00:00","00","0000","","JADI","6080500","71","40160","18000","18000",
"71","31-01-2017 00:00:00","00","0000","","JADI","6090400","69","-35539","-31000","-31000",
"71","31-01-2017 00:00:00","00","0000","","JADI","X","71","86000","137000","137000",
"71","01-01-2017 00:00:00","31","3100","","JADI","X","71","99985","92092","89785",
