"KodeUnit","tanggal","waktu","noinput","nobuku","tglfaktur","nofaktur","nama","alamat","KodeAfdeling","KodeBudidaya","nourut","kodebarang","qtyminta","qty","ppn","status","nilai","norek","netral","jml_fisik","kdblok","keterangan","Penjelasan","tglkom","namauser","thntnm","KMK",
"71","03-01-2017 00:00:00","08:44:32","A58201701-00024","A58201701-V00024","03-01-2017 00:00:00","","Teknik","","30","00","008","00301002","20","20","False","","154059,973474801","201030000","D8502DT","0","","","u/ Bahan bakar","07-01-2017 00:00:00","sutarja","","01",
"71","03-01-2017 00:00:00","08:46:27","A58201701-00025","A58201701-V00025","03-01-2017 00:00:00","","Afd.II anti beku lateks","","11","00","001","00100008","15","15","False","","37500","602120000","1986","0","0008","","u/ Anti beku lateks","07-01-2017 00:00:00","sutarja","","01",
"71","03-01-2017 00:00:00","08:46:27","A58201701-00025","A58201701-V00025","03-01-2017 00:00:00","","Afd.II anti beku lateks","","11","00","002","00100008","18","18","False","","45000","608060000","0000","0","","","u/ Anti beku lateks","07-01-2017 00:00:00","sutarja","","01",
"71","03-01-2017 00:00:00","08:47:23","A58201701-00026","A58201701-V00026","03-01-2017 00:00:00","","Afd.III anti beku lateks","","12","00","001","00100008","20","20","False","","50000","602120000","1996","0","0014","","u/ Anti beku lateks","07-01-2017 00:00:00","sutarja","","01",
"71","03-01-2017 00:00:00","08:47:23","A58201701-00026","A58201701-V00026","03-01-2017 00:00:00","","Afd.III anti beku lateks","","12","00","002","00100008","20","20","False","","50000","602120000","1997","0","0015","","u/ Anti beku lateks","07-01-2017 00:00:00","sutarja","","01",
"71","03-01-2017 00:00:00","08:47:23","A58201701-00026","A58201701-V00026","03-01-2017 00:00:00","","Afd.III anti beku lateks","","12","00","003","00100008","20","20","False","","50000","602120000","1990","0","0016","","u/ Anti beku lateks","07-01-2017 00:00:00","sutarja","","01",
"71","03-01-2017 00:00:00","09:03:11","A58201701-00027","A58201701-V00027","03-01-2017 00:00:00","","Pabrik RSS","","21","00","001","00301015","30","30","False","","3198318,42424242","603100300","0000","0","","","u/ Pengasapan RSS","07-01-2017 00:00:00","sutarja","","01",
"71","03-01-2017 00:00:00","09:03:59","A58201701-00028","A58201701-V00028","03-01-2017 00:00:00","","Afd.II anti beku lateks","","11","00","001","00100008","20","20","False","","50000","602120000","1990","0","0009","","u/ Anti beku lateks","07-01-2017 00:00:00","sutarja","","01",
"71","03-01-2017 00:00:00","09:05:07","A58201701-00029","A58201701-V00029","03-01-2017 00:00:00","","Afd.IV anti beku lateks","","13","00","001","00100008","20","20","False","","50000","608060000","0000","0","","","u/ Anti beku lateks","07-01-2017 00:00:00","sutarja","","01",
"71","04-01-2017 00:00:00","08:44:08","A58201701-00032","A58201701-V00032","04-01-2017 00:00:00","","Afd IV, anti beku latek","","13","00","001","00100008","8","8","False","","20000","608060000","0000","0","","","untuk anti beku latek praolah","09-01-2017 00:00:00","sutarja","","01",
