"KodeUnit","KodeBudidaya","KodeJenisOlah","Uraian",
"71","00","0000","RSS",
"71","00","0003","LUMP (CR)",
"71","00","0004","TPC",
"71","31","3100","PENGEPAKAN PISANG",
