"kodeunit","tanggal","kodebud","kodeJenisOlah","kodegrade","kodevar","norek","kodekbn","bi","rbi","pbi",
"71","01-11-2017 00:00:00","31","3100","","JADI","X","71","32591","32591","32591",
"71","01-11-2017 00:00:00","00","0003","","BASAH","X","71","738","0","0",
"71","01-11-2017 00:00:00","00","0003","","BASAH","6080200","71","207","0","0",
"71","01-11-2017 00:00:00","00","0003","","JADI","X","71","332","0","0",
"71","01-11-2017 00:00:00","00","0003","","JADI","6080500","71","93","0","0",
"71","01-11-2017 00:00:00","00","0000","","BASAH","6080200","71","2304","55556","0",
"71","01-11-2017 00:00:00","00","0000","","BASAH","6090100","69","0","-91111","0",
"71","01-11-2017 00:00:00","00","0000","","BASAH","X","71","4996","400000","0",
"71","01-11-2017 00:00:00","00","0000","","JADI","6080500","71","599","15000","0",
"71","01-11-2017 00:00:00","00","0000","","JADI","6090400","69","0","-24600","0",
"71","01-11-2017 00:00:00","00","0000","","JADI","X","71","1299","108000","0",
"71","01-11-2017 00:00:00","00","0000","","JADI","6080400","72","4972","0","0",
