"kodeunit","tanggal","kodebud","kodeJenisOlah","kodegrade","kodevar","norek","kodekbn","bi","rbi","pbi",
"50","01-01-2018 00:00:00","00","0000","","BASAH","6080200","50","382","55407","55407",
"50","01-01-2018 00:00:00","00","0000","","BASAH","X","50","3281","137185","137185",
"50","01-01-2018 00:00:00","00","0000","","JADI","6080500","50","109","14960","14960",
"50","01-01-2018 00:00:00","00","0000","","JADI","6090400","71","0","0","0",
"50","01-01-2018 00:00:00","00","0000","","JADI","X","50","744","37040","37040",
"50","01-01-2018 00:00:00","00","0003","","BASAH","6080200","50","14","13852","13852",
"50","01-01-2018 00:00:00","00","0003","","BASAH","6090100","69","0","-48148","-48148",
"50","01-01-2018 00:00:00","00","0003","","BASAH","X","50","659","34296","34296",
"50","01-01-2018 00:00:00","00","0003","","JADI","6080500","50","6","3740","3740",
"50","01-01-2018 00:00:00","00","0003","","JADI","6090400","69","0","-13000","-13000",
"50","01-01-2018 00:00:00","00","0003","","JADI","X","50","284","9260","9260",
