"kodeunit","tanggal","nourut","noinput","kelompok","noaktiva","noaktivab","tarifpct","nmaktiva","kdafd","kdbud","norek","norekl","tglbeli","nobukti","tglbukti","leveransir","jmlunit","jmlunit1","satuan","nilaiperolehan","nilaipenyusutan","nilaipenyusutan_thl","nilaipenyusutan_sbl","nilaikoreksipenyusutan","kelompokaset","thntnm","statedit",
"12","01-01-2018 00:00:00","001","KTM201801-00001","001","1200200015","1200112001","2","TM TAHUN 2018","11","02","002000000","001000000","31-12-2014 00:00:00","","01-01-1900 00:00:00","","10","0","Hektare","1765701205","0","0","0","0","04","2014","False",
"12","01-01-2018 00:00:00","002","KTM201801-00001","001","1200200016","1200112001","0","TM TAHUN 2018","12","02","002000000","001000000","31-12-2014 00:00:00","","01-01-1900 00:00:00","","8,05","0","Hektare","1433847041","0","0","0","0","04","2014","False",
