"KodeUnit","KT","NoBuku","No_Ver","Tgl_Ver","NoInput","Tanggal","RekKB",
"12","BK","00008","BBD202101-V00008","31-01-2021 00:00:00","BBD202101-00008","31-01-2021 00:00:00","110000001",
"12","BT","00009","BBD202101-V00009","31-01-2021 00:00:00","BBD202101-00009","31-01-2021 00:00:00","110000001",
"12","KT","00015","KAS202101-V00015","31-01-2021 00:00:00","KAS202101-00015","31-01-2021 00:00:00","100000000",
