"kodeunit","tanggal","kodebud","kodeJenisOlah","kodegrade","kodevar","norek","kodekbn","bi","rbi","pbi",
"43","01-01-2018 00:00:00","02","0200","","BASAH","X","43","121310","403713","260000",
"43","01-01-2018 00:00:00","02","0200","","BASAH","6080100","44","76290","153683","167310",
"43","01-01-2018 00:00:00","02","0200","","JADI","X","43","21175","91753","57778",
"43","01-01-2018 00:00:00","02","0200","","JADI","6080400","44","14582","0","0",
"43","01-01-2018 00:00:00","02","0200","","JADI","6080400","44","0","34928","37180",
"43","01-01-2018 00:00:00","02","0200","","JADI","6090400","29","-2000","0","0",
"43","01-01-2018 00:00:00","02","0200","","JADI","6900403","29","0","-10113","-28800",
