"KodeUnit","tanggal","NoInput","NoBukti","Keterangan","NoUrut","kodeafd","kodebud","norek","netral","kdblok","thntnm","uraian","unsur","DK","nilai","JmlFisik","NamaUser","TglInput","KMK",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","02","01","300140000","","","","","L","D","81648520","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","02","02","080020902","","","","","L","K","2026959","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","02","01","154021300","","","","","L","K","4686420","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","02","01","300020101","","","","","L","K","91512951","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","02","01","300110000","","","","","L","K","620400","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","02","050002000","","","2012","","L","D","1441108","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","02","01","003020000","","","","","L","D","46754017","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","02","01","300030200","","","","","L","K","13326467,4496178","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","02","050002000","","","2010","","L","D","284677,04","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","02","056032200","","","","","L","D","798019,98","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","02","058012001","","","","","L","D","92632317,07","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","02","058012001","292008/02","","","","L","D","1040000","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","02","058012001","292009/02","","","","L","D","4643345,25","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","02","058012001","292011/04","","","","L","D","1305200","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","02","058022001","","","","","L","D","7473388,04","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","02","058022001","292009/02","","","","L","D","735928","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","02","058022001","292010/04","","","","L","D","13322900","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","02","058022001","292011/04","","","","L","D","6705605","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","02","058032001","","","","","L","D","61740387,25","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","02","058032001","292008/02","","","","L","D","155035677,26","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","02","058032001","292008/04","","","","L","D","11617079,25","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","02","058032001","292009/02","","","","L","D","118627040,18","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","02","058032001","292010/04","","","","L","D","10222768,57","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","02","058032001","292011/04","","","","L","D","3214982,83","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","02","058032001","292012/02","","","","L","D","1475252","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","02","02","080010300","","","","","L","D","208386","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","02","02","080010300","","","","","L","D","95728867","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","02","02","080020900","","","","","L","D","7396684,52","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","02","02","080022900","","","","","L","D","1820607,82","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","02","02","080023700","","","","","L","D","2593181,92","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","02","02","100000000","","","","","L","K","760835451","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","02","02","100000000","","","","","K","K","105039127","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","01","144010200","","","","","L","D","755600","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","01","144011100","","","","","L","K","56989464","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","01","144011100","","","","","G","K","4208951","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","01","144020200","","","","","L","D","154000","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","01","144021100","","","","","L","K","123687003","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","01","144021100","","","","","G","K","10021173","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","01","144031100","","","","","L","K","325600","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","01","146030005","","","","","L","K","10066609","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","01","151060000","","","","","L","K","45700000","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","01","151060000","","","","","G","K","4045000","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","01","154021100","","","","","L","K","9953729,8","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","01","154021100","","","","","G","K","7465586","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","01","154021100","","","","","K","D","8696030","0","CLOSING","07-01-2018 19:48:41","01",
"43","01-01-2018 00:00:00","SALDO AWAL","","","","11","01","154031000","","","","","L","D","30264076","0","CLOSING","07-01-2018 19:48:41","01",
