"Kodeunit","kdbeli","nofaktur","tglfaktur","tglkembali","jmlpak","jmlkg","nilai","mutasi","nilaibayar","Batal",
"29","L07273","FAK201907V00549","25/07/2019 0:00:00","28/07/2019 0:00:00","128","32","1870246,4","0","0","",
"29","L07273","FAK201907V00550","25/07/2019 0:00:00","28/07/2019 0:00:00","152","17,6","1263363,2","0","0","",
"29","L07273","FAK201907V00551","25/07/2019 0:00:00","28/07/2019 0:00:00","160","40","2337808","0","0","",
"29","L07273","FAK201907V00523","15/07/2019 0:00:00","18/07/2019 0:00:00","304","54,4","3292643,2","0","0","",
"29","L07273","FAK201907V00524","15/07/2019 0:00:00","18/07/2019 0:00:00","72","7,2","477417,6","0","0","",
"29","L07273","FAK201907V00525","15/07/2019 0:00:00","18/07/2019 0:00:00","160","40","2337808","0","0","",
"29","L07273","FAK201907V00506","04/07/2019 0:00:00","07/07/2019 0:00:00","32","8","467561,6","0","0","",
"29","L07044","FAK201902V00091","28/02/2019 0:00:00","27/03/2019 0:00:00","48","2,16","858000","0","0","",
"29","L07044","FAK201810V00869","08/10/2018 0:00:00","16/11/2018 0:00:00","48","2,16","899989,2","0","0","",
"29","L07044","FAK201807V00465","03/07/2018 0:00:00","02/08/2018 0:00:00","1000","1,8","750002","0","0","",
"29","L07044","FAK201804V00225","24/04/2018 0:00:00","30/05/2018 0:00:00","1000","1,8","750002","0","0","",
"29","L07182","FAK201808V00674","24/08/2018 0:00:00","26/09/2018 0:00:00","11280","2550","115233360","0","0","",
"29","L07182","FAK201808V00675","24/08/2018 0:00:00","26/09/2018 0:00:00","16000","4000","165440000","0","0","",
"29","L07182","FAK201808V00676","24/08/2018 0:00:00","26/09/2018 0:00:00","16000","4000","165440000","0","0","",
"29","L07182","FAK201806V00458","30/06/2018 0:00:00","30/07/2018 0:00:00","3120","146,4","23205600","0","0","",
"29","LO7282","FAK201811V01021","14/11/2018 0:00:00","30/11/2018 0:00:00","7680","355,2","96959955,84","0","0","",
"29","L07021","FAK201804V00182","10/04/2018 0:00:00","18/04/2018 0:00:00","15500","27,9","11082500","0","0","",
"29","L07182","FAK201806V00459","30/06/2018 0:00:00","30/07/2018 0:00:00","47680","8656","364783760","0","0","",
"29","L00068","FAK201902V00102","28/02/2019 0:00:00","27/03/2019 0:00:00","480","21,6","4871011,2","0","0","",
"29","L00068","FAK201809V00817","27/09/2018 0:00:00","26/10/2018 0:00:00","720","32,4","6721440","0","0","",
"29","L00052","FAK201804V00192","12/04/2018 0:00:00","16/05/2018 0:00:00","216","9,84","2053920","0","0","",
"29","L07273","FAK201906V00473","27/06/2019 0:00:00","30/06/2019 0:00:00","216","21,6","1432252,8","0","0","",
"29","L07273","FAK201906V00455","24/06/2019 0:00:00","27/06/2019 0:00:00","304","54,4","3292643,2","0","0","",
"29","L07273","FAK201906V00437","14/06/2019 0:00:00","17/06/2019 0:00:00","144","14,4","954835,2","0","0","",
"29","L07273","FAK201906V00438","14/06/2019 0:00:00","17/06/2019 0:00:00","32","8","467561,6","0","0","",
"29","L07273","FAK201906V00439","14/06/2019 0:00:00","17/06/2019 0:00:00","48","2,4","318384","0","0","",
"29","L07273","FAK201906V00440","14/06/2019 0:00:00","17/06/2019 0:00:00","48","2,4","318384","0","0","",
"29","L07273","FAK201905V00393","29/05/2019 0:00:00","29/05/2019 0:00:00","400","78,4","4695328","0","0","",
"29","L07273","FAK201905V00327","27/05/2019 0:00:00","29/05/2019 0:00:00","208","30,4","1889958,4","0","0","",
"29","L07273","FAK201905V00328","27/05/2019 0:00:00","29/05/2019 0:00:00","64","16","935123,2","0","0","",
"29","L07083","FAK201801V00075","31/01/2018 0:00:00","01/02/2018 0:00:00","35000","3500","146999930","0","0","",
"29","L07071","FAK201907V00497","02/07/2019 0:00:00","04/07/2019 0:00:00","32","8","470387,46","0","0","",
"29","L07071","FAK201906V00459","24/06/2019 0:00:00","29/06/2019 0:00:00","32","8","470387,46","0","0","",
"29","L07071","FAK201906V00433","14/06/2019 0:00:00","19/06/2019 0:00:00","72","7,2","479822,11","0","0","",
"29","L07040","FAK201805V00311","17/05/2018 0:00:00","11/06/2018 0:00:00","6000","10,8","3900006","0","0","",
"29","L07071","FAK201905V00370","31/05/2019 0:00:00","31/05/2019 0:00:00","312","15,6","1475894,11","0","0","",
"29","L07071","FAK201905V00348","28/05/2019 0:00:00","29/05/2019 0:00:00","48","2,16","941740,8","0","0","",
"29","L07071","FAK201905V00335","27/05/2019 0:00:00","29/05/2019 0:00:00","48","2,4","233081,38","0","0","",
"29","L07071","FAK201905V00388","20/05/2019 0:00:00","29/05/2019 0:00:00","32","8","470387,46","0","0","",
"29","L07071","FAK201905V00372","15/05/2019 0:00:00","29/05/2019 0:00:00","360","18","1795775,52","0","0","",
"29","L07071","FAK201905V00369","15/05/2019 0:00:00","29/05/2019 0:00:00","96","4,8","639762,82","0","0","",
"29","L07071","FAK201905V00371","15/05/2019 0:00:00","29/05/2019 0:00:00","96","4,8","639762,82","0","0","",
"29","L07071","FAK201905V00373","15/05/2019 0:00:00","29/05/2019 0:00:00","96","4,8","639762,82","0","0","",
"29","L07071","FAK201905V00374","15/05/2019 0:00:00","29/05/2019 0:00:00","360","18","1795775,52","0","0","",
"29","L07071","FAK201905V00375","15/05/2019 0:00:00","29/05/2019 0:00:00","96","4,8","639762,82","0","0","",
"29","L07071","FAK201905V00367","15/05/2019 0:00:00","01/01/1900 0:00:00","360","18","1795775,52","0","0","",
"29","L07071","FAK201905V00368","15/05/2019 0:00:00","29/05/2019 0:00:00","264","13,2","1156012,7","0","0","",
"29","L07071","FAK201905V00351","14/05/2019 0:00:00","29/05/2019 0:00:00","48","2,16","941740,8","0","0","",
"29","L07071","FAK201904V00303","30/04/2019 0:00:00","07/05/2019 0:00:00","132","6,6","345138,95","0","0","",
"29","L07071","FAK201904V00310","30/04/2019 0:00:00","07/05/2019 0:00:00","416","30,8","1656467,92","0","0","",
"29","L07071","FAK201904V00287","25/04/2019 0:00:00","07/05/2019 0:00:00","48","2,4","233081,38","0","0","",
"29","L07071","FAK201904V00288","25/04/2019 0:00:00","07/05/2019 0:00:00","96","4,8","466162,75","0","0","",
"29","L07071","FAK201904V00278","16/04/2019 0:00:00","07/05/2019 0:00:00","32","8","374522,72","0","0","",
"29","L07071","FAK201904V00232","11/04/2019 0:00:00","07/05/2019 0:00:00","72","7,2","358585,92","0","0","",
"29","L07071","FAK201904V00236","04/04/2019 0:00:00","07/05/2019 0:00:00","48","2,4","233081,38","0","0","",
"29","L07071","FAK201903V00153","31/03/2019 0:00:00","05/04/2019 0:00:00","144","14,4","954835,2","0","0","",
"29","L07071","FAK201903V00154","31/03/2019 0:00:00","05/04/2019 0:00:00","32","8","374522,72","0","0","",
"29","L07071","FAK201903V00186","27/03/2019 0:00:00","05/04/2019 0:00:00","72","7,2","358585,92","0","0","",
"29","L07071","FAK201902V00108","28/02/2019 0:00:00","27/03/2019 0:00:00","80","10,4","607604,1","0","0","",
"29","L07071","FAK201902V00100","15/02/2019 0:00:00","27/03/2019 0:00:00","96","4,8","466162,75","0","0","",
"29","L07071","FAK201902V00080","12/02/2019 0:00:00","27/03/2019 0:00:00","32","8","374522,72","0","0","",
"29","L07071","FAK201902V00074","11/02/2019 0:00:00","27/03/2019 0:00:00","48","2,4","233081,38","0","0","",
"29","L07071","FAK201901V00041","30/01/2019 0:00:00","27/03/2019 0:00:00","132","6,6","345138,95","0","0","",
"29","L07084","FAK201901V00035","25/01/2019 0:00:00","06/05/2019 0:00:00","4200","210","17639160","0","0","",
