"Kodeunit","KodeMerk","TglInput","Waktu","NoInput","kdBeli","NoFaktur","TglFaktur","NoUrut","kd_produk","JmlPak","JmlKG","HrgSat","JmlNilai","norek","PPN","Keterangan","StatPPN","tglkom","namauser",
"29","290","01/09/2019 0:00:00","19:43:40","RTR201909V00017","L07267","FAK201810V00910","","003","8992829111145","1","0,1000","5151,2300","5151,23","","515,123","MEMO 034 - SHZ1-R-D19-5335","Y","25/09/2019 19:43:40","aldi",
"29","290","01/09/2019 0:00:00","19:47:12","RTR201909V00018","L07272","FAK201901V00017","","001","8992829111156","3","0,7500","12918,1700","38754,51","130227272","3875,451","MEMO 035 - 999D01195","Y","25/09/2019 19:47:12","aldi",
"29","290","01/09/2019 0:00:00","19:47:12","RTR201909V00018","L07272","FAK201901V00017","","002","8992829110037","4","0,2000","5790,9100","23163,64","130227272","2316,364","MEMO 035 - 999D01195","Y","25/09/2019 19:47:12","aldi",
"29","290","01/09/2019 0:00:00","19:47:12","RTR201909V00018","L07272","FAK201901V00017","","003","8992829100016","5","0,2500","13809,0800","69045,40","130227272","6904,54","MEMO 035 - 999D01195","Y","25/09/2019 19:47:12","aldi",
"29","290","01/09/2019 0:00:00","19:47:12","RTR201909V00018","L07272","FAK201901V00017","","004","8992829100022","1","0,0450","13809,0800","13809,08","130227272","1380,908","MEMO 035 - 999D01195","Y","25/09/2019 19:47:12","aldi",
"29","290","01/09/2019 0:00:00","19:47:12","RTR201909V00018","L07272","FAK201901V00017","","005","8992829100024","19","0,8550","8552,7200","162501,68","130227272","16250,168","MEMO 035 - 999D01195","Y","25/09/2019 19:47:12","aldi",
"29","290","01/09/2019 0:00:00","19:47:12","RTR201909V00018","L07272","FAK201901V00017","","006","8992829100019","76","3,4200","8552,7200","650006,72","130227272","65000,672","MEMO 035 - 999D01195","Y","25/09/2019 19:47:12","aldi",
"29","290","01/09/2019 0:00:00","19:59:01","RTR201909V00019","L07272","FAK201902V00078","","001","8992829111156","3","0,7500","12918,1700","38754,51","130227272","3875,451","MEMO 035 - 999D08181","Y","25/09/2019 19:59:01","aldi",
"29","290","01/09/2019 0:00:00","19:59:01","RTR201909V00019","L07272","FAK201902V00078","","002","8992829110037","3","0,1500","5790,9100","17372,73","130227272","1737,273","MEMO 035 - 999D08181","Y","25/09/2019 19:59:01","aldi",
"29","290","01/09/2019 0:00:00","19:59:01","RTR201909V00019","L07272","FAK201902V00078","","003","8992829100016","11","0,5500","13809,0800","151899,88","130227272","15189,988","MEMO 035 - 999D08181","Y","25/09/2019 19:59:01","aldi",
"29","290","01/09/2019 0:00:00","19:59:01","RTR201909V00019","L07272","FAK201902V00078","","004","8992829100022","3","0,1350","13809,0800","41427,24","130227272","4142,724","MEMO 035 - 999D08181","Y","25/09/2019 19:59:01","aldi",
"29","290","01/09/2019 0:00:00","19:59:01","RTR201909V00019","L07272","FAK201902V00078","","005","8992829100024","363","16,3350","8552,7200","3104637,36","130227272","310463,736","MEMO 035 - 999D08181","Y","25/09/2019 19:59:01","aldi",
"29","290","01/09/2019 0:00:00","20:02:59","RTR201909V00020","L07118","FAK201904V00276","","001","8992829100016","177","8,8500","14427,6400","2553692,28","130227118","255369,228","MEMO 037 - 322273","Y","25/09/2019 20:02:59","aldi",
