"KodeProduk","NamaProduk",
"8992829101131","Teh Apel Celup SC Culture Royale-Paper Sachet 2 g",
"8992829101132","Teh Wangi Celup SC Culture Royale-Paper Sachet 2 g",
"8992829101133","Teh Vanila Celup SC Culture Royale-Paper Sachet 2 g",
"8992829101134","Teh Hitam Celup SC Bumi Sangkuriang-Paper Sachet 2 g",
"8992829101135","Teh Lemon Celup SC Bumi Sangkuriang-Paper Sachet 2 g",
"8992829101136","Teh Hijau Celup SC Bumi Sangkuriang-Paper Sachet 2 g",
"8992829101137","Teh Hitam Celup SC Intercontinental-Paper Sachet 2 g",
"8992829101138","Teh Jahe Celup SC Intercontinental-Paper Sachet 2 g",
"8992829101139","Teh Lemon Celup SC Intercontinental-Paper Sachet 2 g",
"8992829101140","Teh Hijau Celup SC Intercontinental-Paper Sachet 2 g",
"8992829101141","Teh Hitam Celup SC Garden Permata-Paper Sachet 2 g",
"8992829101142","Teh Hijau Celup SC Garden Permata-Paper Sachet 2 g",
"8992829101143","Teh Hitam Celup SC Crowne Plaza Jakarta-Paper Sachet 2 g",
"8992829101144","Teh Jahe Celup SC Crowne Plaza Jakarta-Paper Sachet 2 g",
"8992829101145","Teh Lemon Celup SC Crowne Plaza Jakarta-Paper Sachet 2 g",
"8992829101146","Teh Hijau Celup SC Crowne Plaza Jakarta-Paper Sachet 2 g",
"8992829101147","Teh Wangi Celup SC Crowne Plaza Jakarta-Paper Sachet 2 g",
"8992829101148","Teh Earl Grey Celup SC Crowne Plaza Jakarta-Paper Sachet 2 g",
"8992829101149","Teh English Breakfast Celup SC Crowne Plaza Jakarta-Paper Sachet 2 g",
"8992829101150","Teh Hitam Celup SC Panghegar-Paper Sachet 2 g",
"8992829101151","Teh Hitam Celup SC Lingga-Paper Sachet 2 g",
"8992829101152","Teh Hitam Celup SC Bumi Asih-Paper Sachet 2 g",
"8992829101153","Teh Hitam Celup SC Gumilang Regency-Paper Sachet 2 g",
"8992829101154","Teh Lemon Celup SC Gumilang Regency-Paper Sachet 2 g",
"8992829101155","Teh Blackcurrant Celup SC Gumilang Regency-Paper Sachet 2 g",
"8992829101156","Teh Hitam Celup SC Walini Reguler-Paper Sachet 2 g",
"8992829101157","Teh Hijau Celup SC Walini Reguler-Paper Sachet 2 g",
"8992829101158","Teh Jahe Celup SC Walini Reguler-Paper Sachet 2 g",
"8992829101159","Teh Lemon Celup SC Walini Reguler-Paper Sachet 2 g",
"8992829101160","Teh Blackcurrant Celup SC Walini Reguler-Paper Sachet 2 g",
"8992829101161","Teh Mint Celup SC Walini Reguler-Paper Sachet 2 g",
"8992829101162","Teh Leci Celup SC Walini Reguler-Paper Sachet 2 g",
"8992829110036","Teh Hitam Celup SC Goalpara IHT-Paper Sachet 2 g (100 TB x 2 gr)",
"8992829110035","Teh Hitam Celup SC Goalpara IHT-Paper Sachet 2 g (1 TB x 2 gr)",
"8992829110034","Teh Hitam Celup SC Goalpara IHT-Dus 100 g (50 TB X 2 g)",
"8992829110033","Teh Hitam Celup SC Goalpara IHT-Sachet 10.8 g (6 TB X 1,8 g )",
"8992829110032","Teh Hitam Celup SC Goalpara IHT-Sachet * Dus (6 TB x 1.8 g)",
"8992829110031","Teh Hitam Celup DC Goalpara IHT-Dus 60 Dus (30 TB x 2 g)",
"8992829100000","Teh Hitam Celup DC Walini-Dus 50 g (25 TB x 2 g)",
"8992829100001","Teh Jahe Celup DC Walini-Dus 50 g (25 TB x 2 g)",
